"","stock_data$CHRW.Open","stock_data$CHRW.High","stock_data$CHRW.Low","stock_data$CHRW.Close","stock_data$CHRW.Volume","stock_data$CHRW.Adjusted"
"1",56.75,59.75,55.470001,55.66,20104600,49.910768
"2",55.57,65.529999,54.5,65.199997,39679200,58.46536
"3",65.349998,68,63.82,64.989998,35943000,58.277052
"4",65.699997,70.870003,65.209999,69.919998,29388500,62.939937
"5",70.410004,73.32,68.739998,70.480003,35531700,63.444037
"6",70.57,74.580002,69.709999,73.709999,22071900,66.351585
"7",74.529999,81.019997,74.269997,80.190002,24373200,72.7235
"8",80.910004,82.050003,75.849998,77.089996,25573000,69.912136
"9",77.43,78.639999,70.330002,72.389999,30339300,65.649756
"10",72.660004,74.199997,70.32,74.129997,29661500,67.503969
"11",74.550003,81.529999,73.300003,80.18,22329600,73.013199
"12",80.769997,81.209999,78.269997,80.220001,19077900,73.049625
"13",79.949997,80.519997,75.669998,78.839996,17148900,72.053448
"14",79.099998,82.610001,71.529999,72.309998,21743700,66.085552
"15",73.18,73.18,62.299999,70.5,42119700,64.694568
"16",70.540001,71.370003,64.309998,68.470001,26941900,62.831732
"17",67.809998,76.760002,64.900002,69.43,27168000,63.712679
"18",68.209999,70.559998,63.209999,68.510002,22517700,62.868439
"19",68.279999,71.010002,65.290001,69.779999,15709500,64.352285
"20",71.419998,71.760002,65.279999,68.839996,24526100,63.485399
"21",64.900002,67.980003,62.84,66.169998,32651400,61.325405
"22",66.330002,67.400002,63.619999,65.489998,23141600,60.69519
"23",65.410004,67.309998,58.73,59.740002,34722900,55.366176
"24",59.720001,62.66,57.299999,58.259998,32723200,54.289337
"25",57.209999,59.990002,55.349998,58.529999,26033600,54.540936
"26",58.779999,61.970001,50.810001,52.849998,34239700,49.248051
"27",52.98,57.830002,51.919998,56.610001,25462000,52.751794
"28",56.68,60.939999,55.560001,58.580002,27309900,54.907495
"29",58.900002,63.16,57.16,60.310001,30116100,56.529037
"30",60.419998,63.490002,58.630001,61.740002,21503800,57.869387
"31",62.029999,64.139999,60.139999,63.220001,18780000,59.593506
"32",64.110001,67.93,61.650002,66.150002,30071300,62.355433
"33",66.75,67.379997,55.810001,57.02,41709600,54.087323
"34",56.740002,59.779999,56.27,59.459999,32762100,56.401827
"35",59.5,61.110001,55.68,59.389999,27909800,56.335427
"36",59.459999,61.91,55.73,56.700001,39100400,53.783782
"37",56.73,57.580002,53.740002,56.310001,30953300,53.746786
"38",56.860001,61.130001,55.889999,59.619999,19048900,56.906114
"39",60.220001,61.349998,55.259998,56.869999,27920600,54.281293
"40",57.459999,62.459999,56.650002,59.59,28102500,57.226115
"41",59.709999,61.669998,57.099998,59.740002,32480200,57.370166
"42",60.049999,61.939999,57.389999,58.650002,40887500,56.323405
"43",58.810001,59.110001,55.919998,58.349998,40512000,56.380714
"44",58.209999,60.310001,56.099998,58.540001,37449900,56.564304
"45",57.91,58.880001,51.619999,51.860001,47857200,50.10975
"46",51.669998,52.810001,50.209999,52.389999,36415000,50.963703
"47",52.709999,60.189999,51.099998,58.900002,48432300,57.296473
"48",58.880001,59.98,57.830002,59.860001,24807300,58.230336
"49",59.900002,64.089996,59.09,63.790001,30679800,62.419163
"50",64.07,69.5,63.09,67.459999,35018600,66.010293
"51",67.449997,68.989998,65.879997,68.260002,33967900,66.793104
"52",68.339996,68.57,65.489998,66.32,24822600,65.228712
"53",66.18,74.949997,63.419998,69.209999,38475900,68.071157
"54",69.279999,74.919998,67.879997,73.739998,26155500,72.526615
"55",73.389999,77.489998,69.139999,74.889999,29520200,74.049543
"56",74.849998,75.239998,69.230003,71.220001,38058500,70.420732
"57",72.010002,75.489998,67.110001,74.300003,47978500,73.466168
"58",74.400002,76.18,71.660004,73.220001,37130900,72.768611
"59",72.849998,73.089996,64.010002,64.389999,40057500,63.993045
"60",64.720001,66.839996,61.549999,61.73,31327100,61.349443
"61",62.040001,64.980003,61.459999,63.82,17706400,63.82
