"","stock_data$HUM.Open","stock_data$HUM.High","stock_data$HUM.Low","stock_data$HUM.Close","stock_data$HUM.Volume","stock_data$HUM.Adjusted"
"1",47.259998,50.16,45.540001,45.669998,25779700,43.574813
"2",45.509998,47.869999,43.59,47.02,34186300,44.862882
"3",48.41,51.240002,47.209999,47.790001,37087700,45.597557
"4",48.34,53.549999,48.130001,50.240002,39371100,47.93516
"5",50.59,58.400002,49,58.290001,42769100,55.615853
"6",59.25,61.330002,54.57,56.040001,45322700,53.469075
"7",56.900002,57.810001,54.240002,54.740002,26819500,52.228715
"8",55.060001,60.41,54.57,57.970001,33525300,55.310533
"9",58.32,67,57.700001,65.010002,44801100,62.027563
"10",65.050003,70,62.02,69.940002,35729500,66.731391
"11",69.779999,77.800003,69.18,76.120003,31745600,72.627874
"12",76.550003,80.790001,72.5,80.529999,35268700,76.835554
"13",80.470001,83.400002,76.610001,80.540001,29181500,77.083244
"14",80.900002,84.32,71.269997,74.580002,31876100,71.379046
"15",78.690002,78.809998,65.5,77.639999,66863500,74.30771
"16",77.690002,80.639999,71.209999,72.730003,36432400,69.828284
"17",72.720001,87.32,65.199997,84.889999,45064400,81.503131
"18",82.809998,89.220001,80.889999,88.68,32221800,85.141922
"19",87.989998,90.949997,84.379997,87.610001,25190700,84.34936
"20",89.209999,96.459999,84.550003,89.019997,36422100,85.706879
"21",89.639999,93,84.040001,87.099998,48528300,83.858339
"22",87.110001,93.360001,84.68,92.480003,33213800,89.291494
"23",92.489998,92.550003,79.599998,80.68,32804400,77.898329
"24",81.260002,85.18,73.709999,76.389999,42140800,73.756238
"25",75.279999,81.419998,75.019997,77.440002,37774300,75.01889
"26",77.690002,78.199997,59.919998,61.599998,49581700,59.674114
"27",61.290001,70.949997,60.950001,70.080002,59908900,67.888995
"28",70.919998,72.440002,67.970001,70.150002,27916300,68.207394
"29",70.550003,76.989998,70.279999,74.269997,32505500,72.213297
"30",74.389999,77.019997,63.93,65.410004,59376700,63.598657
"31",65.75,68.760002,64.459999,68.629997,28977600,66.984097
"32",69.739998,75.260002,65.989998,74.360001,37890600,72.576682
"33",74.769997,81.870003,67.82,68.260002,64488600,66.622975
"34",68.050003,71.370003,65.879997,69.110001,47852800,67.716552
"35",69.339996,82.470001,69.07,74.110001,65807200,72.615738
"36",76.18,83.400002,73.629997,80.779999,43477900,79.151251
"37",81.169998,85.900002,78.550003,84.379997,24218500,82.943977
"38",84.849998,92.739998,82.139999,91.260002,24888500,89.706894
"39",90.389999,94.669998,89,92.080002,20814800,90.512939
"40",92.809998,99.849998,91.480003,93.330002,22269700,92.003867
"41",93.660004,96.849998,90.190002,92.150002,27347600,90.840634
"42",92.309998,104.690002,91.339996,103.989998,27655300,102.512394
"43",104.010002,105.800003,98.620003,103.220001,21018300,102.019399
"44",102.760002,103.879997,94.199997,97.300003,36525500,96.168259
"45",97.190002,114.760002,91,112.459999,46639100,111.151922
"46",114.199997,119.93,109.209999,112.720001,30161900,111.675898
"47",112.769997,115.010002,103.889999,109.75,32148900,108.733408
"48",110.519997,126.440002,107.989998,124.459999,31139100,123.307151
"49",124.959999,129.360001,122.360001,127.720001,18632300,126.812316
"50",128.220001,134.929993,116.379997,117.650002,26629500,116.813882
"51",117.300003,129.589996,115.510002,128.740005,20808700,127.825071
"52",129.149994,135.860001,126.510002,130.289993,23756700,129.640548
"53",130.279999,139.869995,121.040001,138.850006,25647000,138.157892
"54",139,140.919998,129.309998,137.970001,28130400,137.282274
"55",137.649994,151.520004,137.179993,143.630005,24805200,143.19044
"56",144.949997,155.300003,137.449997,146.440002,21424900,145.991837
"57",146.880005,166.199997,143.440002,164.380005,22868500,163.876936
"58",164.380005,183.050003,158.160004,178.020004,34017800,177.758437
"59",177.830002,182.960007,164.940002,165.600006,24405100,165.356688
"60",167,219.789993,162.350006,214.649994,34184900,214.334606
"61",213.149994,219.479996,210.330002,214.449997,20608600,214.134903
