"","stock_data$BIG.Open","stock_data$BIG.High","stock_data$BIG.Low","stock_data$BIG.Close","stock_data$BIG.Volume","stock_data$BIG.Adjusted"
"1",33.16,35.34,31.27,32.09,36936300,31.467131
"2",32.209999,36.48,31.719999,34.310001,27052600,33.644042
"3",34.830002,35.25,30.02,31.26,39602900,30.653241
"4",31.52,34.549999,31.49,33.25,22714200,32.604615
"5",33.380001,34,31,31.370001,32175900,30.761107
"6",31.370001,31.620001,28.84,30.65,45982100,30.055081
"7",30.940001,31.200001,27.82,30.459999,39213900,29.868768
"8",30.620001,32.779999,30.25,31.790001,24512300,31.172955
"9",31.91,42.27,31.57,41.029999,43795800,40.233603
"10",41.240002,43.869999,39.77,43.43,42085500,42.587021
"11",43.48,44.439999,40.57,41.110001,29161700,40.312052
"12",40.98,41.419998,30.83,33.41,69079100,32.761509
"13",33.220001,33.48,31.32,33.150002,38765900,32.506558
"14",33.41,36.439999,33.080002,34.830002,19853400,34.153949
"15",35.23,35.27,28.889999,33.900002,34634700,33.242
"16",34,36,30.790001,34.830002,31753400,34.153949
"17",34.73,38.91,32.549999,37.689999,25985800,36.958433
"18",36.830002,41.810001,36.130001,40.110001,30082500,39.331463
"19",39.98,40.619999,35.650002,37.759998,25661500,37.027074
"20",38.25,41.540001,37.119999,39.490002,22602800,38.723498
"21",39.619999,44.82,39.48,43.849998,21405100,42.998867
"22",44.049999,47.220001,41.990002,43.02,29776300,42.184979
"23",42.639999,45.98,34.459999,36.639999,44757600,35.928814
"24",36.669998,38.150002,33.77,36.75,37703500,36.03668
"25",36.02,41.419998,36.02,40.790001,23718400,39.998264
"26",41.029999,41.34,38.060001,40.509998,18730300,39.723696
"27",40.650002,42.259998,29.33,30.440001,42738500,29.849158
"28",30.49,31.9,29.08,29.58,24320700,29.00585
"29",29.76,31.26,28.459999,29.129999,23806600,28.564584
"30",29.17,31.719999,26.690001,28.16,21687400,27.613412
"31",28.290001,32.130001,27.09,28.459999,36158900,27.907588
"32",29.040001,32.66,27.42,32.150002,26189000,31.525968
"33",32.259998,34.93,32,33.299999,40455800,32.653644
"34",33.119999,36.73,32.59,35.27,21345000,34.585407
"35",35.189999,37.810001,33.759998,36.419998,13676200,35.713083
"36",36.32,39.220001,34.049999,34.049999,21840700,33.389086
"37",34.02,34.240002,31.17,31.530001,18006700,30.918001
"38",31.879999,36.560001,31.67,36.130001,16428100,35.428715
"39",36.369999,37.27,31.559999,35.419998,15205500,34.732493
"40",35.650002,37.98,34.25,37.09,9583000,36.370081
"41",37.09,37.869999,35.259998,36.360001,9093600,35.65425
"42",36.540001,38.639999,35.400002,38.330002,9084100,37.586014
"43",38.279999,39.02,30.219999,32.290001,30222900,31.66325
"44",32.299999,32.34,26.49,26.790001,25384700,26.270005
"45",26.84,29.809999,25.5,29.549999,21985400,28.976432
"46",29.389999,38.400002,28.83,37.869999,45340500,37.134939
"47",37.740002,40.240002,36.619999,39.5,23249200,38.733302
"48",39.630001,43.200001,36.759998,42.439999,22239800,41.616235
"49",42.259998,46.290001,42.150002,45.700001,21717900,44.81296
"50",45.689999,46.389999,43.18,43.75,13334400,43.06335
"51",43.509998,48.52,42.900002,46.349998,16771100,45.622542
"52",46.490002,47.639999,43.009998,43.049999,17916100,42.530257
"53",42.939999,46.790001,41.23,45.650002,27902100,45.09887
"54",45.68,51.75,44.360001,50.799999,18735900,50.186692
"55",48.580002,48.779999,38.150002,40.02,38134000,39.702798
"56",40.360001,48.220001,38.740002,45.91,26753500,45.546112
"57",45.900002,48.91,44.450001,47.709999,11892500,47.331845
"58",47.740002,51.110001,47.049999,48.029999,24311500,47.831615
"59",47.959999,49.610001,44.950001,45.57,14580000,45.381776
"60",45.740002,48.529999,43.75,43.900002,22585700,43.718676
"61",44.099998,46.740002,43.959999,46.68,9e+06,46.68
