"","stock_data$DISCA.Open","stock_data$DISCA.High","stock_data$DISCA.Low","stock_data$DISCA.Close","stock_data$DISCA.Volume","stock_data$DISCA.Adjusted"
"1",36.520009,40.130008,35.179991,35.710006,116881600,18.24732
"2",35.610004,38.79999,34.699998,38.610004,79627200,19.72918
"3",39.340005,39.990003,36.189999,37.750002,77964000,19.28973
"4",38.239995,44.390005,38.219995,43.550003,65360300,22.253451
"5",43.80001,45.419994,42.360009,44.669994,58909900,22.825751
"6",44.920001,45.180009,39.619993,40.780006,92570700,20.838021
"7",41.380001,43.540003,40.610001,41.700011,57787600,21.30813
"8",41.999999,42.250007,37.699999,38.999995,86285200,19.928459
"9",38.020009,44.330003,37.62,43.110009,62289700,22.02862
"10",43.179993,43.179993,38.480003,39.9,70121600,20.38835
"11",40.080005,44.520007,39.50001,44.26,59798400,22.616249
"12",44.139998,45.810003,42.870002,43.560003,61785300,22.25856
"13",43.349998,43.740007,39.539991,40.959992,78449000,20.929991
"14",40.979992,42.519996,39.50001,39.799998,73456600,20.33725
"15",39.960003,42.459993,34.749998,42.280007,137162200,21.6045
"16",42.190004,42.769999,36.939999,37.62,87374300,19.223301
"17",37.499995,43.869991,35.650003,43.46,61383100,22.207461
"18",42.080002,45.140006,38.859993,41.98,70294500,21.451201
"19",41.939997,42.240007,39.330005,40.970011,61532900,20.93511
"20",41.97,44.819995,40.24001,42.880005,46394800,21.911091
"21",43.339995,46.889995,42.790003,46.650006,57428900,23.837509
"22",46.610006,50.880003,46.029993,50.599996,62824900,25.8559
"23",50.479994,54.999999,49.619988,54.430004,57454400,27.812981
"24",54.610008,55.350009,48.240012,50.100004,76343100,25.600411
"25",49.709991,54.299998,48.000005,53.999991,64389700,27.593251
"26",54.189996,55.110001,48.59,50.629996,63253400,25.871229
"27",49.749994,55.110001,48.750005,54.839994,59465100,28.02248
"28",54.560005,60.480008,54.560005,59.600006,49895700,30.454781
"29",60.190001,62.360003,57.930001,59.020007,39099100,30.158409
"30",59.600006,61.609999,54.889997,60.410005,62462500,30.868679
"31",60.500012,64.500001,59.859991,63.479994,64027000,32.437401
"32",65.039993,69.640001,64.440002,69.379997,47754000,35.452221
"33",69.820005,73.689997,67.889993,73.340006,52656600,37.475731
"34",72.929993,80.34,72.800006,78.739994,65196800,40.235051
"35",79.07,81.43001,76.260008,78.819993,59709500,40.275929
"36",78.699995,80.969995,75.670005,78.869996,62024900,40.30148
"37",78.799993,79.659995,72.769988,77.239994,58169400,39.468571
"38",77.600003,89.580014,77.369995,79.720002,43726600,40.735821
"39",80.450002,84.71,76.980005,77.510001,35418000,39.606541
"40",78.730013,85.730007,76.339984,84.419993,53920300,43.137452
"41",84.050002,89.099999,77.269989,88.859995,51131000,45.406231
"42",89.059999,89.300003,83.600005,87.269992,46631600,44.593762
"43",86.340002,90.760004,81.689992,90.419994,46465800,46.20337
"44",90.209994,90.249993,76.689998,79.780001,70116300,40.76648
"45",78.370003,84.130001,77.14001,83.320001,63950200,42.575371
"46",82.949988,86.360002,81.229998,82.700003,53756800,42.258561
"47",83.229999,84.769999,74.720001,75.899998,61681300,38.783852
"48",76.019997,79.419991,71.559995,76.960005,75813300,39.325501
"49",77.030008,81.43001,71.649997,74.279992,74454600,37.956051
"50",74.349995,86.809999,74.199986,85.209992,72841100,43.54113
"51",85.000007,85.239996,40.650002,43.720001,52058000,43.720001
"52",43.900002,44.290001,37.299999,37.799999,84263600,37.799999
"53",37.630001,37.889999,33.209999,35.349998,80356100,35.349998
"54",35.349998,35.73,31.290001,34.900002,95382700,34.900002
"55",34.630001,35.779999,32.48,34.450001,65423000,34.450001
"56",34.630001,34.639999,28.75,28.99,86656100,28.99
"57",29.16,33.82,28.719999,32.299999,117859800,32.299999
"58",32.380001,34.049999,30.6,30.76,84358600,30.76
"59",30.83,34.310001,30.51,32.360001,84868800,32.360001
"60",32.580002,34.080002,30.549999,33.939999,88985600,33.939999
"61",34.07,34.790001,33.080002,33.23,20470200,33.23
