"","stock_data$WDC.Open","stock_data$WDC.High","stock_data$WDC.Low","stock_data$WDC.Close","stock_data$WDC.Volume","stock_data$WDC.Adjusted"
"1",34.110001,35.619999,30.02,30.16,79786300,28.495958
"2",30.1,33.5,26.27,26.389999,137468900,24.933962
"3",26.790001,27.5,23.059999,24.16,145633000,22.827001
"4",24.959999,28.969999,24.959999,28.389999,123715300,26.823615
"5",28.52,32.66,27.41,32.009998,131897700,30.243885
"6",32.189999,35.07,31.15,33.5,89844800,31.651677
"7",34,35.919998,32.400002,33.900002,58216000,32.029609
"8",34.080002,35.119999,31.35,34.02,109355400,32.142987
"9",34.299999,36.790001,29.139999,30.58,87434100,28.892785
"10",30.639999,38.169998,29.4,37.290001,130989100,35.232569
"11",37.490002,41.869999,36.82,39.799999,87134200,37.604081
"12",40.09,40.200001,35.419998,36.650002,58948800,34.627881
"13",36.450001,37.09,33.220001,36.380001,75710500,34.372778
"14",36.23,39.02,34.360001,34.459999,76870200,32.558709
"15",35,35.369999,26.24,29.49,112859000,27.862924
"16",29.440001,30.440001,25.41,25.719999,79989900,24.300929
"17",25.559999,29.48,22.639999,26.639999,143090900,25.170169
"18",25.690001,29.219999,24.959999,29.07,112484900,27.466097
"19",28.879999,33.400002,28.5,30.950001,79414200,29.242371
"20",31.379999,37.849998,30.49,36.349998,88147800,34.34443
"21",37.830002,40.919998,37.419998,39.25,68133900,37.084428
"22",39.389999,43.099998,36.959999,41.389999,98007200,39.106355
"23",41.360001,44.439999,37.400002,38.810001,107093000,36.668706
"24",38.68,41.09,31.01,31.389999,129670900,29.658093
"25",30.49,31.73,28.309999,30.48,86451400,28.798302
"26",30.59,40.880001,29.58,39.77,110936900,37.575738
"27",40.23,45.939999,38.919998,41.82,82084900,39.512631
"28",42.080002,44.299999,38.27,38.73,92884100,36.825308
"29",38.720001,39.349998,32.25,34.23,73196500,32.546612
"30",34.299999,37.16,33.389999,33.43,65098200,31.785956
"31",33.59,42.75,33.200001,42.490002,93089700,40.66682
"32",43.529999,49.5,41.619999,47,96890500,44.983301
"33",47.400002,49.240002,44.439999,47.16,47756000,45.136435
"34",47,51,46.439999,50.290001,54330200,48.38664
"35",50.41,57.959999,48.779999,55.279999,68274200,53.187778
"36",55.200001,64.260002,54.5,63.32,60203300,60.923483
"37",63.02,65.260002,58.040001,62.09,48932100,59.989744
"38",62.09,70.610001,61.490002,64.379997,51020700,62.20228
"39",65.25,68.830002,59.360001,62,47194300,59.902788
"40",62.68,66.699997,62,63.400002,41298300,61.490381
"41",63.560001,74.330002,62.400002,69.629997,46221200,67.532728
"42",68.849998,76.849998,68.139999,75.040001,42907400,72.779782
"43",74.449997,84.699997,74.379997,83.900002,43953300,81.669426
"44",83.790001,90.440002,82.220001,86.169998,53856600,83.879073
"45",85.699997,89.790001,80.839996,86.989998,33128800,84.677272
"46",86.260002,92.470001,82.419998,91.82,41505800,89.67829
"47",92.559998,95,85.940002,88.080002,39760200,86.025528
"48",85.529999,88,80.779999,87.849998,46180200,85.80089
"49",87.790001,93.410004,86.949997,92.300003,33170300,90.546777
"50",93.160004,102.889999,93.099998,99.889999,44378800,97.992602
"51",98.720001,103.510002,98.43,103.010002,31761500,101.053341
"52",103.07,103.25,95.43,97.32,37743200,95.471419
"53",96.480003,98.589996,82.849998,98.370003,50444600,96.899749
"54",98.720001,104,96.389999,103.269997,36418700,101.726506
"55",103.099998,114.690002,101.330002,110.699997,41893100,109.432694
"56",111.800003,113.879997,96.699997,97.230003,46519800,96.116906
"57",97.260002,111.839996,95.540001,106.980003,38268500,105.755287
"58",107.419998,110,90.279999,91.010002,45561800,90.454792
"59",90.559998,102.07,89.82,97.739998,46363300,97.143732
"60",98.110001,99.93,92.510002,97.360001,36636200,96.766052
"61",97.599998,98.190002,91.410004,93.599998,11929500,93.028988
