"","stock_data$ARG.Open","stock_data$ARG.High","stock_data$ARG.Low","stock_data$ARG.Close","stock_data$ARG.Volume","stock_data$ARG.Adjusted"
"1",63.099998,64.470001,61.959999,62.200001,11804500,56.751667
"2",62.529999,65.93,61.470001,65.290001,21746000,59.571002
"3",65.760002,66.989998,64.839996,65.800003,18312600,60.036331
"4",66.230003,68.300003,63.02,67.949997,44724200,62.237301
"5",68.230003,71.150002,67.370003,70.889999,26793100,64.930132
"6",71.050003,71.279999,60.310001,61.099998,42784100,55.963196
"7",61.700001,66.5,60.549999,62.459999,58083300,57.435338
"8",63.07,64.279999,61.900002,62.669998,22303300,57.628443
"9",62.790001,64.730003,61.450001,62.580002,39933100,57.545687
"10",62.639999,67.410004,60.759998,66.419998,31265000,61.362266
"11",66.559998,69.480003,65.220001,69.449997,15433300,64.161537
"12",69.510002,69.919998,65.910004,69.080002,20623800,63.819716
"13",68.629997,70.519997,65.260002,70.040001,19173800,64.992798
"14",70.120003,70.919998,68.150002,68.699997,13324800,63.749357
"15",69.379997,69.580002,58,64.879997,22833700,60.204633
"16",64.599998,68.07,59.66,63.82,18293200,59.533582
"17",63.529999,72.389999,61.299999,68.949997,16117500,64.319027
"18",67.050003,77.099998,66.910004,76.949997,13984800,71.781713
"19",76.5,80.589996,74.870003,78.080002,11376600,73.141413
"20",79.68,81.620003,76.959999,78.93,12433600,73.937649
"21",79.529999,82.730003,75.779999,82.330002,10082700,77.122599
"22",82.5,89.900002,80.239998,88.970001,9775300,83.666987
"23",88.720001,91.849998,85.870003,91.639999,8925500,86.177841
"24",91.690002,93.050003,83.050003,86.809998,13200400,81.635729
"25",85.07,87.339996,79.709999,84.010002,13219600,79.372662
"26",83.949997,84.730003,76.010002,79.32,11698600,74.941547
"27",79.739998,84.360001,78.150002,83.07,9285500,78.484547
"28",82.949997,86.43,79.580002,82.300003,12121800,78.122928
"29",82.669998,88.989998,78.489998,88.970001,11032700,84.454396
"30",88.910004,91.300003,85.080002,88.57,13142700,84.074696
"31",88.839996,93.459999,86.25,91.290001,11942100,87.037847
"32",92.82,95.900002,88.599998,95.239998,11019000,90.803859
"33",95.620003,101.32,94.889999,100.279999,9432200,95.609104
"34",99.93,103.830002,96.5,99.160004,12406400,94.912574
"35",99.300003,99.440002,93.629997,96.650002,9593000,92.510085
"36",96.790001,104.400002,93.410004,102.889999,10102800,98.482799
"37",102.82,103.889999,92.860001,95.459999,11702300,91.816856
"38",95.730003,103.970001,94.370003,103.209999,9154400,99.271085
"39",104.120003,106.629997,100.529999,101.650002,5193300,97.770623
"40",102.940002,107.720001,102.25,106.050003,7620400,102.471233
"41",107.370003,112.43,104.599998,109.07,9319300,105.389317
"42",109.43,110.720001,106.889999,108.629997,4778600,104.964162
"43",108.589996,112.599998,106.160004,111.849998,7016100,108.548176
"44",111.75,113.160004,102.07,103.239998,11802200,100.192343
"45",104.779999,108.470001,99.32,107.800003,8656400,104.617737
"46",106.919998,109.050003,105.029999,106.510002,10253900,103.82852
"47",106.709999,109.559998,103.839996,106.260002,9909800,103.584814
"48",105,107.489998,101.360001,106.32,11961900,103.643301
"49",106.440002,110,105.529999,108.910004,10599500,106.702289
"50",109.010002,111.400002,106.669998,106.919998,8756200,104.752623
"51",106.720001,110.82,106.220001,110.379997,7997300,108.142484
"52",110.559998,113.739998,107.709999,110.650002,6961300,108.955991
"53",110.370003,114.889999,102.489998,111.540001,12375600,109.832365
"54",111.790001,118.75,110.129997,115.629997,5422300,113.859745
"55",114.919998,118.459999,109.470001,115.18,10502000,113.9657
"56",115.440002,116,110.029999,112.639999,6928500,111.452477
"57",113.339996,118.129997,111.050003,117.220001,8172500,115.984194
"58",117.220001,119,102.669998,106.110001,14521600,105.497414
"59",106.099998,107.150002,101.199997,101.279999,11705700,100.695296
"60",101.510002,105.769997,99.610001,101.940002,13596300,101.35149
"61",102.029999,104.790001,101.559998,103.93,4389100,103.329999
