"","stock_data$SHW.Open","stock_data$SHW.High","stock_data$SHW.Low","stock_data$SHW.Close","stock_data$SHW.Volume","stock_data$SHW.Adjusted"
"1",75.07,78.400002,69.059998,69.190002,20947400,64.719335
"2",69.150002,73.769997,66.32,69.150002,30257900,64.681919
"3",69.580002,71.150002,66.129997,70.379997,25725800,66.17433
"4",69.989998,76.919998,69.849998,75.139999,19200400,70.64989
"5",75.120003,75.790001,69.559998,72.970001,25959400,68.609564
"6",73.099998,75.279999,71.25,74.169998,16404600,70.080825
"7",74.989998,84.989998,74.980003,83.75,15589100,79.132657
"8",83.900002,86.769997,81.690002,84.730003,22312200,80.058631
"9",85.080002,86.510002,80.349998,82.120003,15052100,77.930953
"10",82.349998,84.690002,79.25,83.989998,20032500,79.705557
"11",84.5,86.5,81.449997,82.290001,21131500,78.092279
"12",82.68,87.870003,82.370003,87.839996,20824500,83.71613
"13",87.730003,87.800003,80.699997,83.870003,22884400,79.932518
"14",84.110001,86.5,76.059998,77.169998,27101100,73.547061
"15",77.32,77.5,69.470001,75.739998,38089100,72.538206
"16",75.580002,78.239998,69.519997,74.32,28291500,71.178236
"17",74.029999,86.449997,73.059998,82.709999,32241700,79.213561
"18",80.860001,87.300003,80.279999,86.830002,21776700,83.513762
"19",86.389999,90.419998,82.349998,89.269997,16523300,85.860567
"20",90.400002,99.599998,90.209999,97.529999,23509100,93.805101
"21",97.879997,103.57,96.209999,103.150002,18137300,99.599018
"22",103.239998,110.790001,101.800003,108.669998,22524200,104.928986
"23",107.449997,121.919998,107.290001,120.279999,25299700,116.139307
"24",120.660004,130.25,114.68,129.639999,34232200,125.590666
"25",127.790001,133.970001,123.040001,132.350006,30746500,128.216025
"26",132.300003,136.160004,122.790001,134.350006,27694500,130.153554
"27",134.630005,144.899994,132.289993,143.080002,20636900,138.994339
"28",143.169998,150.800003,141.699997,148.910004,13743100,144.657864
"29",149.399994,156.5,138.360001,142.580002,21963700,138.508616
"30",142.990005,159.800003,140.119995,152.520004,26077100,148.545799
"31",152.789993,154.600006,146.490005,153.820007,17899900,149.811928
"32",155.990005,167.240005,154.740005,162.139999,19483500,157.915126
"33",162.699997,167.270004,153.940002,161.589996,16205600,157.87488
"34",160.490005,172.399994,159.729996,168.889999,12758300,165.007049
"35",168.369995,184.779999,162.220001,183.110001,18789300,178.900118
"36",182.5,194.550003,180.979996,188.529999,13416300,184.672606
"37",188.5,189.070007,170.059998,176.600006,12546000,172.986705
"38",177.550003,190.679993,163.630005,174.169998,21595600,170.606416
"39",174.350006,179.279999,166.320007,172.399994,17181700,169.354317
"40",172.919998,184.470001,170.320007,182.179993,13509600,178.961539
"41",182.160004,195.320007,174.490005,188,17604200,184.678728
"42",188.809998,189.080002,180.440002,183.029999,10365500,180.285108
"43",183.410004,187.5,170.630005,183.5,13336000,180.74806
"44",182.029999,198.470001,180.669998,183.259995,16533100,180.511654
"45",183.539993,201.5,174.289993,200.479996,16927900,198.021916
"46",198.539993,208.630005,192.520004,197.130005,12144600,194.712999
"47",197.729996,204.309998,188.25,199.839996,16049900,197.389763
"48",199.5,205.320007,195.850006,204.610001,10615700,202.65787
"49",204.509995,208,201.360001,206.910004,8397100,204.93593
"50",207.020004,215.619995,201.470001,206.229996,12808400,204.26241
"51",205.440002,219.210007,203.649994,218.110001,10015000,216.594678
"52",218.589996,222.529999,213.610001,218.990005,8874700,217.468569
"53",218.630005,229.729996,202.009995,229.559998,17248100,227.965125
"54",229.880005,249.660004,227.199997,244.860001,10246000,243.722949
"55",244.490005,266.25,242.289993,263.040009,12975900,261.818535
"56",262.179993,277.290009,259.109985,271.269989,14570900,270.010298
"57",272.76001,291.269989,268.429993,285.200012,10529400,284.538164
"58",285.200012,290.98999,275.839996,284.5,16214300,283.839776
"59",285.130005,292.51001,277.170013,278,14827300,277.35486
"60",279.579987,294.350006,274.019989,288.179993,11984900,288.179993
"61",288.920013,289.200012,276.890015,282.48999,3754000,282.48999
