"","stock_data$NWL.Open","stock_data$NWL.High","stock_data$NWL.Low","stock_data$NWL.Close","stock_data$NWL.Volume","stock_data$NWL.Adjusted"
"1",16.58,17.290001,14.55,14.64,70833000,13.241369
"2",14.7,16.059999,14.14,15.5,75312600,14.019209
"3",15.76,16.85,14.86,15.01,95270600,13.620945
"4",15.21,18.17,15.2,17.809999,75810600,16.161827
"5",17.969999,18.48,17.190001,17.65,77942700,16.016633
"6",17.719999,18.139999,16.709999,16.77,81225200,15.262491
"7",16.99,18.41,16.950001,18.18,62256100,16.545742
"8",18.27,19.74,17.57,19.25,83031000,17.519555
"9",19.41,20.379999,18.98,19.34,47879200,17.646574
"10",19.42,19.690001,18.540001,19.129999,64334000,17.454961
"11",19.24,19.809999,18.540001,19.059999,55399900,17.39109
"12",19.1,19.129999,17.190001,17.809999,67064200,16.325213
"13",17.74,17.860001,14.14,15.78,126474900,14.464451
"14",15.85,16.27,14.23,15.52,71219900,14.226127
"15",15.55,15.79,11.5,13.84,135743400,12.762037
"16",13.78,14.03,11.31,11.87,79390100,10.945475
"17",11.72,15.98,10.87,14.8,93057300,13.647265
"18",14.4,16.530001,14.22,15.3,86988000,14.187973
"19",15.21,16.469999,14.64,16.15,44992500,14.976194
"20",16.48,18.950001,15.93,18.469999,71539600,17.127572
"21",18.83,19.49,18.09,18.299999,56813700,17.044113
"22",18.41,19.049999,17.190001,17.809999,53139600,16.587741
"23",17.82,18.959999,16.629999,18.200001,55439500,16.950977
"24",18.200001,19.120001,17.450001,18.4,81222300,17.228213
"25",18.1,18.780001,17.139999,18.139999,57261100,16.984771
"26",18.23,18.719999,17.209999,17.65,57987100,16.525976
"27",17.74,18.030001,16.67,17.93,64583200,16.885411
"28",17.9,19.74,17.610001,19.09,57168700,17.97783
"29",19.08,21.23,18.799999,20.639999,63337700,19.437527
"30",20.84,22,19.93,21.809999,63245000,20.684621
"31",21.860001,22.49,21.49,22.27,58042900,21.120886
"32",22.629999,23.709999,21.719999,23.48,57070200,22.26845
"33",23.049999,24.51,22.24,23.34,63586500,22.282011
"34",23.25,26.110001,23.059999,26.1,59211100,24.916902
"35",26.15,26.959999,24.9,26.34,55642900,25.146022
"36",26.35,28.469999,25.9,27.040001,60534300,25.95556
"37",27.030001,27.85,25.25,26.25,47227300,25.197243
"38",26.24,27.969999,25.889999,27.02,34024900,25.936362
"39",27.209999,27.879999,24.32,25.299999,52005800,24.430762
"40",25.6,27.82,25.6,27.5,40168000,26.555177
"41",27.52,30.440001,26.290001,29.629999,43487000,28.611996
"42",29.75,30.540001,28.6,30.35,29079000,29.453165
"43",30.23,32.540001,29.639999,32.41,42690900,31.452292
"44",32.400002,32.540001,29.59,30.9,50543200,29.986912
"45",30.85,32.310001,30.07,32.110001,40930300,31.309873
"46",31.879999,32.299999,29.139999,29.9,68011800,29.154942
"47",30.059999,30.610001,28.610001,30.110001,43345600,29.35971
"48",30.040001,30.52,28.27,29.280001,45416700,28.716553
"49",29.34,31.610001,28.889999,30.99,41550100,30.393646
"50",31.030001,33.169998,30.85,32.48,41953900,31.854973
"51",32.48,33.93,32.279999,33.52,32628100,33.0435
"52",33.689999,35.25,33.599998,34.41,31099000,33.920848
"53",34.41,35.43,31.139999,33.330002,47290700,32.856202
"54",33.549999,36.389999,33.369999,36.310001,31693200,35.963101
"55",36.189999,38.73,34.439999,38.09,41265000,37.726094
"56",38.150002,38.77,36.689999,36.869999,41919800,36.517749
"57",36.939999,40.369999,36.330002,39.290001,32928600,39.101106
"58",39.290001,39.860001,37.549999,39.07,29469500,38.882162
"59",39.049999,40.73,37.950001,38.130001,27672400,37.946683
"60",39.330002,40.48,38.529999,39.529999,32020500,39.529999
"61",39.599998,41.080002,39.139999,41.080002,14934800,41.080002
