"","stock_data$ALL.Open","stock_data$ALL.High","stock_data$ALL.Low","stock_data$ALL.Close","stock_data$ALL.Volume","stock_data$ALL.Adjusted"
"1",29.190001,31.040001,28.68,28.73,76294500,25.55201
"2",28.870001,29.549999,27.25,28.24,98309500,25.116212
"3",28.66,29.639999,26.860001,27.6,100202200,24.727433
"4",27.93,32.360001,27.66,31.549999,95689600,28.266322
"5",31.889999,33.290001,30,30.49,103010700,27.316645
"6",30.559999,31.360001,29,29.110001,106793800,26.256492
"7",29.530001,32.209999,29.52,31.879999,68558400,28.754961
"8",32.220001,32.5,30.43,31.139999,86301500,28.0875
"9",31.41,32.610001,30.469999,31.780001,104477100,28.664765
"10",31.83,32.200001,30.67,31.780001,96822100,28.854121
"11",31.33,34.119999,30.809999,33.84,87969200,30.724463
"12",33.93,34.400002,30.860001,31.379999,89229100,28.683699
"13",31.23,31.24,29.27,30.530001,93458100,27.906736
"14",30.66,31.01,27.530001,27.719999,85973400,25.338182
"15",28.709999,28.709999,23.620001,26.23,163825700,24.183925
"16",26.17,26.42,22.27,23.690001,121148100,21.842059
"17",23.49,27.98,22.34,26.34,107350700,24.285345
"18",26.389999,27.190001,24.5,26.790001,111459800,24.912046
"19",26.700001,27.709999,25.860001,27.41,87511500,25.488583
"20",27.879999,29.91,26.98,28.85,88177200,26.827641
"21",29.110001,31.870001,29.059999,31.43,93599600,29.226785
"22",31.219999,33.330002,30.76,32.919998,77358300,30.828123
"23",32.93,34.07,31.93,33.330002,76025900,31.212073
"24",33.380001,34.990002,32.419998,33.939999,139346400,31.988782
"25",33.459999,35.150002,32.799999,35.09,91835100,33.07267
"26",35.32,35.419998,33.349998,34.299999,78712200,32.328086
"27",35.860001,38.5,35.799999,37.279999,95334700,35.344119
"28",37.290001,40.720001,37.259998,39.610001,67747700,37.553128
"29",39.790001,42.810001,39.279999,39.98,74314400,37.903914
"30",40.740002,40.970001,37.919998,40.48,93612600,38.587977
"31",40.52,41.91,39.540001,40.169998,64590900,38.292465
"32",40.900002,44.5,40.650002,43.900002,60809000,41.848129
"33",44.220001,47.080002,43.849998,46.02,68739000,44.112163
"34",45.959999,49.130001,45.5,49.07,59084600,47.035719
"35",49.169998,50.560001,48.220001,49.259998,71546500,47.217841
"36",49.279999,50.689999,48.029999,48.240002,80424700,46.478139
"37",48.240002,48.57,45.599998,48.119999,79146600,46.362519
"38",48.299999,52.450001,48.040001,50.98,54647900,49.118064
"39",51.93,52.610001,47.32,47.919998,59334300,46.412464
"40",48.919998,52.98,47.830002,50.549999,60886900,48.959727
"41",50.669998,54.57,50.209999,53.060001,64877800,51.390766
"42",53.310001,54.84,52.759998,54.27,36806300,52.8047
"43",54.279999,54.599998,51.75,54.540001,46420600,53.067411
"44",54.09,54.450001,50.349998,51.200001,57114300,49.817591
"45",51.200001,54.799999,49.18,54.259998,65751100,53.070919
"46",53.709999,56.650002,53.599998,56.580002,51982400,55.34008
"47",56.830002,57.34,54.810001,56.950001,52901400,55.701971
"48",56.93,58.689999,56.43,58.259998,48656600,57.2575
"49",58.470001,59.68,58.279999,58.720001,45258900,57.709587
"50",58.93,59.889999,56.630001,58.450001,49426300,57.444233
"51",58.5,62.09,57.75,61.490002,52230100,60.706702
"52",61.73,62.59,60.73,61.369999,38834700,60.588228
"53",61.330002,65,59.279999,64.849998,60108600,64.023897
"54",64.5,68.470001,64.5,68.150002,36152900,67.560382
"55",68.07,71.529999,66.809998,70.25,49377100,69.642212
"56",70.589996,72.540001,68.449997,69.790001,44591400,69.186192
"57",69.739998,72.870003,69.040001,70.599998,51659400,70.285663
"58",70.599998,72.330002,68.379997,71.169998,53042800,70.853125
"59",71.18,72.510002,69.330002,69.660004,42455700,69.349853
"60",70.129997,70.349998,66.559998,67.32,58403300,67.32
"61",67.650002,67.980003,65.599998,66.910004,17564800,66.910004
