"","stock_data$EMC.Open","stock_data$EMC.High","stock_data$EMC.Low","stock_data$EMC.Close","stock_data$EMC.Volume","stock_data$EMC.Adjusted"
"1",18.16,19.65,18.120001,18.299999,357277600,17.640275
"2",18.27,20.65,17.870001,19.790001,595427900,19.076562
"3",20.049999,20.969999,17.9,18.24,551188000,17.582439
"4",18.43,21.83,18.41,20.309999,544852600,19.577814
"5",20.48,21.620001,19.389999,21.02,601631600,20.262219
"6",21.08,22.35,20.540001,21.49,425779100,20.715275
"7",21.73,23.200001,21.73,22.9,302216500,22.074443
"8",22.9,25.049999,22.84,24.889999,533119700,23.992703
"9",24.98,27.379999,24.98,27.209999,466749100,26.229065
"10",27.34,27.59,25,26.559999,491302600,25.602498
"11",26.940001,28.73,25.59,28.34,399042300,27.318329
"12",28.639999,28.700001,26.780001,28.469999,372536800,27.443642
"13",28.23,28.57,25.389999,27.549999,415795500,26.556808
"14",27.51,28.25,25.870001,26.08,318561900,25.139803
"15",26.42,26.5,19.84,22.59,786194800,21.775619
"16",22.559999,22.99,20.059999,20.99,455745400,20.2333
"17",20.68,25.129999,19.99,24.51,505518300,23.626403
"18",23.83,25.09,21.809999,23.01,414836200,22.180478
"19",22.82,23.99,21.25,21.540001,449299200,20.763473
"20",21.92,25.959999,21.59,25.76,498000400,24.831339
"21",25.9,28.309999,25.59,27.690001,376585100,26.691762
"22",27.719999,30,27.07,29.879999,415265800,28.80281
"23",29.83,29.99,27.34,28.209999,376938700,27.193015
"24",28.16,28.75,23.530001,23.85,455232300,22.990196
"25",23.35,25.65,22.77,25.629999,445255600,24.706025
"26",25.52,26.67,22.790001,26.209999,386523900,25.265116
"27",26.459999,27.09,25.440001,26.290001,344477600,25.342233
"28",26.27,28.18,25.969999,27.27,302945100,26.286903
"29",27.35,27.889999,23.76,24.42,460658400,23.539647
"30",24.5,25.49,23.23,24.82,351330600,23.925226
"31",24.9,26.200001,24.450001,25.299999,330823800,24.387922
"32",25.51,25.75,23.110001,24.610001,682027700,23.722798
"33",24.790001,25.02,22.780001,23.01,378374800,22.180478
"34",22.969999,25.65,22.75,23.889999,449805700,23.028753
"35",23.860001,23.92,21.450001,22.43,523701700,21.621388
"36",22.389999,25.290001,22.1,24.76,512546000,23.86739
"37",24.629999,25.389999,23.08,23.620001,453399000,22.864193
"38",23.629999,27.34,23.25,26.15,383096200,25.313235
"39",26.360001,27.200001,25.459999,25.780001,275887000,24.955076
"40",25.950001,27.299999,25.5,25.559999,304133500,24.836623
"41",25.559999,25.85,23.290001,24.07,586381400,23.388792
"42",24.059999,24.280001,23.35,23.85,376824000,23.175019
"43",23.92,25.23,23.15,25.15,511314900,24.438226
"44",25.030001,26.469999,24.190001,24.24,543736100,23.64831
"45",24.15,26.6,23.469999,26.370001,430165200,25.726318
"46",25.9,28.26,25.77,27.41,453635800,26.838848
"47",27.48,28.1,24.92,25.799999,422633000,25.262395
"48",25.700001,26.82,25.049999,26.559999,269571500,26.006559
"49",26.57,26.959999,25.9,26.34,269717100,25.904586
"50",26.440001,29.9,26.34,29.299999,429645800,28.815655
"51",29.08,30.129999,28.68,29.530001,251597600,29.041855
"52",29.4,30.18,28.530001,29.26,377162400,28.890728
"53",29.129999,29.200001,26.110001,28.73,364375200,28.367416
"54",28.799999,30.66,28.559999,30.35,216693100,29.966972
"55",30.23,30.92,27.969999,29.74,277599000,29.475406
"56",29.790001,30.049999,25.85,25.93,306972700,25.699304
"57",25.93,29.24,25.48,28.940001,247223700,28.682525
"58",28.940001,28.969999,25.07,25.559999,389770200,25.44887
"59",25.709999,27.559999,25.219999,26.91,371079100,26.793001
"60",27,27.370001,25.959999,26.34,253073300,26.225479
"61",26.52,27.49,26.41,27,104527600,26.882609
