"","stock_data$ADSK.Open","stock_data$ADSK.High","stock_data$ADSK.Low","stock_data$ADSK.Close","stock_data$ADSK.Volume","stock_data$ADSK.Adjusted"
"1",26.889999,29.879999,24.299999,24.360001,71002700,24.360001
"2",24.32,29.85,23.639999,29.540001,91526700,29.540001
"3",30,31.120001,26.629999,27.73,86851800,27.73
"4",28.26,33.599998,28.17,31.969999,66532700,31.969999
"5",31.23,36.290001,31,36.200001,69288000,36.200001
"6",36.220001,36.639999,33.200001,35.290001,64307200,35.290001
"7",35.720001,39.799999,35.720001,38.200001,48141600,38.200001
"8",38.630001,42.32,38.040001,40.68,54281900,40.68
"9",41,44.439999,39.57,42.049999,54287300,42.049999
"10",42.130001,44.43,38.139999,44.110001,62006400,44.110001
"11",43.07,45.599998,41.720001,44.98,45234900,44.98
"12",45.32,46.150002,41.169998,42.98,55348900,42.98
"13",42.75,42.959999,35.529999,38.599998,76732300,38.599998
"14",38.599998,40.450001,33.669998,34.400002,57907600,34.400002
"15",34.650002,34.799999,22.99,28.200001,135069900,28.200001
"16",28.389999,30.32,25,27.790001,99367300,27.790001
"17",27.08,36.349998,24.629999,34.599998,81073700,34.599998
"18",33.450001,36.849998,29.76,34.07,72316000,34.07
"19",34.139999,35,29.75,30.33,57546100,30.33
"20",31.219999,37.970001,29.82,36,61868700,36
"21",36.330002,39.650002,36.049999,37.849998,55249100,37.849998
"22",38.060001,42.599998,35.549999,42.32,63520400,42.32
"23",41.380001,42.689999,38.459999,39.369999,49144000,39.369999
"24",39.48,41.279999,28.52,32.02,84193200,32.02
"25",31.27,35.130001,30.049999,34.990002,47961200,34.990002
"26",35.029999,35.029999,30.120001,33.919998,49511200,33.919998
"27",34.220001,36.209999,27.700001,31.049999,102579500,31.049999
"28",30.91,34.16,30.83,33.349998,58276100,33.349998
"29",32.610001,33.810001,30.200001,31.85,61039300,31.85
"30",32.049999,33.630001,30.219999,33.130001,62872900,33.130001
"31",33.349998,36.959999,32.77,35.349998,48312000,35.349998
"32",36.049999,40,35.84,38.880001,49950200,38.880001
"33",39.389999,39.669998,35.77,36.720001,65612000,36.720001
"34",37.25,41.419998,36.549999,41.25,55531600,41.25
"35",40.09,40.68,35.509998,39.380001,54782400,39.380001
"36",39.23,40.27,34.400002,37.73,72193700,37.73
"37",37.950001,38.07,33.009998,33.939999,55974200,33.939999
"38",34.009998,37.220001,33.220001,35.389999,46849600,35.389999
"39",34.790001,41.720001,34.16,36.75,78620600,36.75
"40",37.110001,42.41,36.68,41.169998,65475700,41.169998
"41",40.360001,42.82,39.240002,39.900002,81615200,39.900002
"42",40.110001,45.950001,40.09,45.25,64473500,45.25
"43",45.27,50.5,44.950001,50.32,50373600,50.32
"44",49.330002,54.18,48.290001,51.25,58923500,51.25
"45",51.009998,58.68,48.93,52.48,64744900,52.48
"46",51.32,53.939999,47.91,49.18,60812000,49.18
"47",48.860001,50.290001,44.759998,48.02,63115400,48.02
"48",47.84,52.790001,46.09,52.369999,49053900,52.369999
"49",52.450001,57.169998,51.73,56.380001,36413600,56.380001
"50",56.07,57.59,53.169998,53.349998,37089300,53.349998
"51",53.360001,58.529999,51.880001,53.639999,55172500,53.639999
"52",53.959999,55.98,52.689999,55.099998,56903000,55.099998
"53",53.48,58.75,48.380001,57.540001,81928800,57.540001
"54",57.77,63,57.369999,62,44430400,62
"55",61.720001,61.970001,56.119999,60.060001,31659300,60.060001
"56",60.060001,60.490002,53.889999,54.009998,28645600,54.009998
"57",54.34,65,53.02,64.239998,39015000,64.239998
"58",64.050003,64.720001,58.360001,58.639999,49948500,58.639999
"59",57.68,63.209999,56.380001,56.830002,43436300,56.830002
"60",57.110001,59.419998,54.139999,54.150002,50982500,54.150002
"61",54.389999,55.330002,53.439999,54.970001,20116900,54.970001
