"","stock_data$STT.Open","stock_data$STT.High","stock_data$STT.Low","stock_data$STT.Close","stock_data$STT.Volume","stock_data$STT.Adjusted"
"1",37.09,38.540001,33.73,33.82,91250500,31.192038
"2",33.73,40.18,32.470001,38.919998,132644700,35.895744
"3",39.540001,40.25,34.369999,35.080002,90364300,32.354132
"4",35.580002,39.82,35.400002,37.66,79242900,34.742805
"5",38.130001,41.799999,37.310001,41.759998,86432600,38.525212
"6",41.950001,45.970001,41.220001,43.200001,78436600,39.85367
"7",43.970001,47.860001,43.779999,46.34,76530900,42.759602
"8",46.93,50.259998,45.919998,46.720001,88836200,43.110243
"9",47.040001,48,43.610001,44.720001,69038300,41.264771
"10",44.650002,45.599998,42.060001,44.939999,80294500,41.637759
"11",45.299999,47.099998,44.450001,46.549999,64788900,43.129455
"12",46.779999,47.639999,44.669998,45.77,60601500,42.406771
"13",45.52,45.52,42.099998,45.09,83056100,41.948307
"14",45.139999,46.939999,40.57,41.470001,77794400,38.580536
"15",41.990002,42.330002,31.35,35.52,150166100,33.045107
"16",35.419998,35.759998,30.190001,32.16,115890300,30.087304
"17",30.469999,42.240002,29.860001,40.389999,145478700,37.786885
"18",39.09,41.860001,36.139999,39.650002,93518300,37.094579
"19",39.360001,41.75,38.720001,40.310001,70487000,37.881238
"20",41.459999,43.900002,38.209999,39.18,98314500,36.819322
"21",39.509998,43,39.110001,42.23,80135700,39.685552
"22",42.380001,47.200001,40.810001,45.5,76018100,42.985415
"23",45.330002,46.82,42.73,46.220001,68487000,43.665625
"24",46.16,47.130001,40.669998,41.209999,81514700,38.932504
"25",40.389999,44.830002,39.27,44.639999,83187700,42.409702
"26",44.619999,45.09,38.950001,40.380001,80203600,38.362541
"27",40.380001,42.330002,39.349998,41.599998,68023600,39.521585
"28",41.599998,44.610001,41.419998,41.959999,77243500,40.094303
"29",42.259998,45.07,41.09,44.57,96167400,42.588253
"30",44.68,46.650002,43.599998,44.439999,80991500,42.464032
"31",44.619999,47.299999,44.049999,47.009998,77630200,45.153717
"32",48,56.610001,47.709999,55.650002,114813300,53.452553
"33",56.099998,58.150002,55.59,56.59,76565800,54.355434
"34",56.240002,60.650002,55.759998,59.09,63711300,57.004731
"35",59.139999,60.779999,54.57,58.470001,64114100,56.406612
"36",58.299999,68.18,57.369999,66.18,71229500,63.844528
"37",66.5,67.879997,63.23,65.209999,67836300,63.16144
"38",65.510002,71.269997,64.919998,69.669998,55418200,67.481329
"39",70.160004,70.889999,66.459999,66.720001,40232400,64.624005
"40",67.510002,69.879997,65.269997,65.75,44477000,63.932687
"41",66.040001,70.769997,64.25,70.07,65587600,68.133283
"42",70.080002,73.269997,67.540001,72.610001,41982300,70.603079
"43",72.809998,73.629997,69.089996,73.389999,37108100,71.616729
"44",73.349998,76.239998,66.660004,66.949997,51829800,65.332332
"45",66.940002,69.730003,64.300003,65.669998,59168300,64.08326
"46",65.089996,70.769997,64.209999,69.550003,64726500,68.128141
"47",69.889999,70.199997,62.669998,64.559998,57618300,63.24015
"48",64.550003,66.050003,62.669998,65.269997,56109600,63.935634
"49",65.410004,68.43,64.660004,67.260002,42386100,66.178344
"50",67.620003,73.139999,66.419998,70.440002,50402900,69.307204
"51",70.389999,72.559998,68.900002,72.029999,35377800,70.87163
"52",72.32,76.779999,71.339996,73.610001,41725800,72.719804
"53",73.589996,75.580002,64.209999,75.459999,63791400,74.547429
"54",75.620003,78.43,75,76.730003,34490500,75.802075
"55",75.800003,80.919998,74.269997,78.5,40599200,77.842905
"56",79.220001,79.309998,70.5,71.510002,63942700,70.911418
"57",71.730003,78.879997,71.519997,74.449997,55392800,73.826803
"58",74.449997,76.57,71.339996,73.529999,61856600,73.213461
"59",73.260002,78.550003,72.559998,77.120003,45806100,76.78801
"60",77.839996,79.589996,76,77.93,40743200,77.594521
"61",78.230003,81.199997,76.5,80.68,17677100,80.332682
