"","stock_data$XOM.Open","stock_data$XOM.High","stock_data$XOM.Low","stock_data$XOM.Close","stock_data$XOM.Volume","stock_data$XOM.Adjusted"
"1",61.5,64.5,56.919998,57.07,560935900,49.987189
"2",56.98,61.880001,55.939999,59.68,613489500,52.273269
"3",60.639999,62.990002,58.049999,59.110001,475629700,52.144486
"4",60.040001,62.439999,59.720001,61.790001,423362300,54.508675
"5",62.32,66.809998,61.799999,66.489998,430427600,58.654825
"6",66.720001,71.900002,66.629997,69.559998,486318500,61.749431
"7",70.379997,73.690002,70.379997,73.120003,409237200,64.9097
"8",73.720001,80.82,73.639999,80.68,449380100,71.620821
"9",81.139999,88.230003,81.040001,85.529999,443594000,76.326372
"10",86.410004,86.5,78.800003,84.129997,439334000,75.07702
"11",84.720001,88,82.379997,87.980003,309722400,78.512739
"12",88.099998,88.129997,79.419998,83.470001,403834500,74.910508
"13",83.550003,83.650002,76.720001,81.379997,444344200,73.034825
"14",81.190002,85.410004,79.760002,79.790001,375467600,71.607876
"15",80.82,81.18,67.029999,74.019997,774165900,66.868258
"16",74.150002,74.980003,67.93,72.629997,550523400,65.612559
"17",72.050003,82.199997,69.209999,78.089996,514198800,70.545018
"18",75.82,80.529999,73.900002,80.440002,444321100,73.100955
"19",80.199997,85.629997,78.660004,84.760002,380150300,77.026814
"20",85.970001,87.940002,83.459999,83.739998,333545900,76.099871
"21",84.230003,87.830002,83.190002,86.5,300700700,79.038312
"22",86.470001,87.25,84.050003,86.730003,338912600,79.248475
"23",86.599998,87.669998,81.879997,86.339996,300234500,78.892111
"24",86.459999,87.519997,78.410004,78.629997,353685200,72.342153
"25",77.870003,85.699997,77.129997,85.57,497990800,78.727181
"26",85.440002,87.849998,82.830002,86.849998,314314800,79.904821
"27",87.019997,88.910004,85.5,87.300003,248010000,80.840807
"28",87.330002,92.57,86.519997,91.449997,254195800,84.683749
"29",91.790001,93.669998,89.68,91.169998,241112300,84.424467
"30",90.25,92.050003,85.059998,88.139999,285676100,82.129666
"31",88.550003,90.370003,84.699997,86.550003,282441200,80.648093
"32",87.790001,91.93,87.239998,89.970001,261496700,83.834879
"33",90.440002,90.5,87.610001,89.550003,237182000,83.976613
"34",89.07,90.980003,87.900002,90.110001,265045600,84.501758
"35",90.129997,90.989998,85.019997,88.989998,296347200,83.451462
"36",88.519997,93.5,87.480003,90.470001,276095000,85.426254
"37",90.529999,92.269997,88.019997,90.349998,291767600,85.312942
"38",90.389999,95.489998,89.959999,93.75,237784200,88.523392
"39",92.690002,93.099998,86.389999,87.160004,271631600,82.869628
"40",87.699997,89.870003,85.610001,86.040001,238532800,81.804756
"41",85.989998,90.959999,84.790001,89.620003,287672200,85.208535
"42",89.739998,96,88.269997,93.480003,250351200,89.483276
"43",93.269997,101.739998,92.919998,101.199997,269290800,96.873202
"44",100.599998,101.220001,91.699997,92.160004,256867500,88.219713
"45",91.919998,97.25,89.25,96.269997,253283700,92.806674
"46",95.760002,98.849998,93.010002,97.68,255698300,94.165953
"47",97.650002,102.57,96.239998,102.410004,230900200,98.725794
"48",101.959999,103.449997,100.32,100.529999,179886600,97.571404
"49",100.529999,104.610001,99.589996,100.68,208958300,97.716991
"50",101.150002,104.760002,98.93,98.940002,189374200,96.028201
"51",98.620003,100.43,97.629997,99.459999,187455300,97.205356
"52",99.43,99.589996,93.620003,94.050003,231845900,91.917999
"53",94.110001,96.889999,86.910004,96.709999,342092200,94.517696
"54",96.559998,97.199997,90.110001,90.540001,218118100,89.12643
"55",90.360001,95.330002,86.190002,92.449997,400728600,91.006606
"56",92.25,93.050003,86.029999,87.419998,326819500,86.055139
"57",87.849998,93.449997,87.5,88.540001,276302400,87.813694
"58",88.339996,88.519997,82.68,85,330260500,84.302732
"59",85.699997,88.669998,83.809998,87.370003,251671200,86.653294
"60",87.849998,90.089996,84.769997,85.199997,198269900,85.199997
"61",85.25,85.970001,83.779999,85.209999,80478000,85.209999
