"","stock_data$CA.Open","stock_data$CA.High","stock_data$CA.Low","stock_data$CA.Close","stock_data$CA.Volume","stock_data$CA.Adjusted"
"1",19.26,20.530001,18.4,18.4,71565700,16.047454
"2",18.4,19.9,17.799999,19.559999,120814600,17.059142
"3",19.73,20.01,17.700001,17.99,84130500,15.72135
"4",18.24,21.629999,18.18,21.120001,86304700,18.456639
"5",21.290001,23.24,21.08,23.200001,92336500,20.274338
"6",23.299999,23.889999,22.629999,22.889999,66892700,20.00343
"7",23.309999,25.08,23.23,24.440001,60647200,21.393637
"8",24.709999,25.68,23.120001,23.799999,88605500,20.83341
"9",23.98,25.52,23.780001,24.780001,77175600,21.726032
"10",24.809999,24.93,22.23,24.18,112968000,21.199978
"11",24.23,24.98,23.469999,24.59,60707000,21.559448
"12",24.68,25.120001,22.32,23.4,105946300,20.560863
"13",23.190001,23.530001,21.219999,22.84,115389200,20.068809
"14",22.870001,23.5,21.450001,22.299999,99731500,19.594327
"15",22.58,22.629999,18.610001,20.99,132463000,18.489241
"16",21.040001,21.610001,19.379999,19.41,89850200,17.097483
"17",19.23,22.549999,18.67,21.66,93208300,19.079417
"18",21.110001,22.34,19.540001,21.200001,71221600,18.719813
"19",21.25,21.77,19.799999,20.219999,66218300,17.854462
"20",20.57,26.209999,20,25.780001,96509900,22.763999
"21",26,27.42,25.9,27.030001,75683500,24.089746
"22",27.139999,28,26.370001,27.559999,70319500,24.562093
"23",27.639999,27.860001,26.190001,26.42,70583200,23.546099
"24",26.52,26.93,24.610001,24.870001,172649600,22.382862
"25",24.42,27.09,24.290001,27.09,89529800,24.380849
"26",27.23,27.24,23.91,24.07,80393100,21.662866
"27",24.200001,26.200001,23.940001,26.030001,82066300,23.657163
"28",25.91,27.58,25.59,25.77,67190200,23.420864
"29",25.940001,25.98,22.389999,22.51,80063000,20.458038
"30",22.719999,23.41,21.48,22.16,102911600,20.37165
"31",22.32,22.66,21.67,21.98,88291400,20.206176
"32",22.379999,25.57,22.25,24.82,89209000,22.816983
"33",24.940001,25.360001,23.98,24.51,79213200,22.759138
"34",24.379999,25.559999,24.049999,25.18,54307600,23.381277
"35",25.23,26.99,24.01,26.969999,64679100,25.043408
"36",26.969999,27.959999,25.77,27.32,91045200,25.599363
"37",27.299999,29.83,27.09,28.620001,89690000,26.817489
"38",29,30.299999,27.75,29.74,63946200,27.86695
"39",30.1,31.43,29.190001,29.25,56648000,27.636058
"40",29.709999,31,29.030001,29.67,48600800,28.032883
"41",29.639999,32.950001,28.559999,31.76,57042600,30.007563
"42",31.959999,33.369999,31.42,33,49914000,31.418981
"43",32.970001,33.790001,31.610001,33.650002,53204400,32.037841
"44",33.490002,36.220001,31.809999,32.09,68078700,30.552579
"45",32,33.700001,30.75,33.5,54929300,32.138574
"46",33.32,33.619999,30.27,30.98,63697700,29.720985
"47",31.08,31.99,29.41,30.139999,60408200,28.915122
"48",30.07,30.549999,28.540001,28.690001,60701200,27.761819
"49",28.780001,29.469999,28.1,28.74,59437100,27.810201
"50",28.84,29.780001,27.84,28.879999,60653100,27.945671
"51",28.790001,28.879999,27.870001,28.24,33526700,27.568891
"52",28.24,29.469999,27.530001,27.940001,50303300,27.276021
"53",27.870001,29.290001,25.25,29.059999,83445400,28.369403
"54",29.049999,31.24,29.030001,31.15,46356000,30.664679
"55",30.969999,31.73,28.83,30.450001,59400100,29.975586
"56",30.700001,31.940001,29.74,30.299999,81490200,29.827922
"57",30.469999,33.310001,29.889999,32.52,51823700,32.260505
"58",32.509998,33.419998,30.17,32.610001,65490600,32.349787
"59",31.139999,32.57,30.65,31.77,52383500,31.516489
"60",31.860001,32.25,30.299999,30.450001,55862300,30.450001
"61",29.969999,30.389999,29.26,30.08,23223000,30.08
