"","stock_data$NEE.Open","stock_data$NEE.High","stock_data$NEE.Low","stock_data$NEE.Close","stock_data$NEE.Volume","stock_data$NEE.Adjusted"
"1",49.139999,52.990002,47.959999,48.759998,31032300,40.955645
"2",49.02,54,48.439999,52.299999,33596400,43.929046
"3",52.599998,55.25,51.310001,53.73,38947200,45.549668
"4",53.98,55.98,53.369999,54.389999,37482900,46.109184
"5",54.080002,56.259998,53,55.040001,41525100,46.660224
"6",55.23,55.23,50,50.619999,37136400,43.329069
"7",51.220001,52.490002,50.25,51.990002,43355400,44.501747
"8",52.18,54.73,51.540001,53.459999,40690300,45.760017
"9",53.790001,55.549999,53.700001,55.470001,31531600,47.480513
"10",55.459999,55.860001,52.040001,55.119999,45207800,47.665234
"11",55.25,57,54.279999,56.57,35208700,48.919128
"12",56.77,58.98,56.34,57.950001,35052400,50.112489
"13",57.459999,57.5,54.16,57.459999,37334400,50.164872
"14",57.470001,58.25,55.16,55.25,30061900,48.235455
"15",55.549999,56.82,49,56.720001,71499200,50.017915
"16",56.830002,57.040001,52.900002,54.02,53132600,47.636948
"17",53.889999,58.09,51.330002,56.400002,42964400,49.735726
"18",55.529999,57.669998,52.32,55.439999,47038000,49.385723
"19",55.439999,61.200001,55.34,60.880001,42779000,54.231655
"20",61.16,61.16,58.57,59.849998,50704600,53.314132
"21",60.16,61,59.099998,59.509998,52656900,53.542436
"22",59.549999,61.209999,59.189999,61.080002,33571000,54.955002
"23",61.200001,64.849998,61.200001,64.349998,39109200,57.897089
"24",62.849998,66,62.619999,65.339996,54912400,59.334083
"25",64.57,68.959999,64.309998,68.809998,34557000,62.485129
"26",69.230003,71.860001,67.57,70.900002,30052900,64.383024
"27",71.290001,72.220001,66.989998,67.309998,31382400,61.663998
"28",67.339996,70.480003,65.949997,70.330002,42675200,64.430683
"29",70.699997,72.209999,68.910004,70.059998,34810000,64.183327
"30",70.300003,70.300003,66.050003,68.709999,33421900,63.50842
"31",68.809998,71.190002,67.75,69.190002,33076200,63.952085
"32",69.989998,72.870003,69.809998,72.050003,33285900,66.595574
"33",72.449997,73.5,71.419998,71.870003,51879200,67.041452
"34",71.849998,77.790001,71.510002,77.68,42304200,72.461108
"35",77.610001,82.650002,77.239998,82.029999,34030400,76.518854
"36",81.650002,82.199997,74.860001,75.620003,36005800,71.159765
"37",75.660004,81.779999,74.779999,81.480003,44735700,76.674129
"38",81.879997,87.650002,79.040001,86.610001,41525800,81.501548
"39",87.019997,88.389999,79.739998,80.360001,35327200,76.240714
"40",81.07,83.889999,78.809998,80.160004,45962100,76.050969
"41",80.269997,86.730003,78.970001,84.75,37956300,80.40568
"42",86.330002,89.75,84.379997,84.589996,41368800,80.873817
"43",84.839996,85.839996,81.519997,85.620003,45446200,81.858574
"44",85.389999,92.25,83.970001,91.93,46336400,87.891363
"45",92.050003,94.040001,89.010002,91.389999,40038700,88.071856
"46",90.870003,96.129997,89.809998,95.620003,42216500,92.148278
"47",95.610001,101.5,93.279999,99.849998,43196900,96.224693
"48",100.220001,100.349998,94.220001,97.360001,46773800,94.529024
"49",97.150002,102.510002,94.190002,102.480003,48361400,99.50015
"50",102.440002,102.459999,93.800003,93.889999,39166700,91.159921
"51",93.5,98.629997,91.790001,98.449997,35522200,96.309246
"52",98.290001,98.519997,92.57,93.879997,34904000,91.838619
"53",93.68,100.510002,90.330002,100.220001,49301700,98.040762
"54",100.32,105.940002,99.650002,104.389999,38527600,102.842432
"55",103.839996,110.839996,99.57,106.290001,49164100,104.714266
"56",106.629997,112.639999,105.190002,109.239998,40889100,107.620529
"57",109.529999,110.629997,102.699997,103.459999,40530600,102.671476
"58",103.459999,107.470001,97.480003,104.050003,59670700,103.256983
"59",103.940002,106.629997,100.25,100.93,35964700,100.16076
"60",101,103.940002,98.82,102.339996,46497200,102.339996
"61",102.550003,104.379997,98.07,99.120003,18842800,99.120003
