"","stock_data$DTE.Open","stock_data$DTE.High","stock_data$DTE.Low","stock_data$DTE.Close","stock_data$DTE.Volume","stock_data$DTE.Adjusted"
"1",45.650002,48.810001,45.360001,45.610001,18588900,37.147259
"2",45.459999,49.060001,44.93,46.16,27332500,37.595208
"3",46.59,47.860001,45.169998,46.849998,29853600,38.157181
"4",47.189999,48.419998,45.41,45.93,33955100,37.8477
"5",46.220001,47.66,45.919998,46.759998,20798900,38.531643
"6",46.860001,47.240002,44.27,44.549999,21130600,36.710538
"7",44.970001,46.59,44.939999,45.32,24078700,37.810089
"8",45.560001,47.16,45.169998,46.259998,20034500,38.594321
"9",46.57,47.549999,46.02,47.080002,16079000,39.278443
"10",47.240002,49.360001,46.43,48.959999,38709600,41.332461
"11",49.110001,50.580002,48.060001,50.529999,19107600,42.657868
"12",50.619999,52.779999,50.610001,51.619999,22625800,43.578056
"13",51.419998,51.580002,48.330002,50.02,19323500,42.735793
"14",50.130001,51.830002,49.439999,49.84,16271100,42.582006
"15",50.299999,50.790001,43.220001,50.560001,38713900,43.197156
"16",50.720001,52,47.82,49.02,32323900,42.383668
"17",49.02,52.82,47.029999,52.110001,25233700,45.055344
"18",50.970001,52.68,49.060001,52.650002,22282000,45.52224
"19",52.639999,55.279999,51.310001,54.450001,23778000,47.619942
"20",54.939999,55.040001,52.459999,53.209999,15512700,46.535483
"21",53.41,55.060001,52.759998,53.990002,18185500,47.217644
"22",54.099998,56.52,53.59,55.029999,29722700,48.644797
"23",55.049999,56.779999,53.700001,56.380001,19974100,49.838157
"24",56.490002,57.380001,54.950001,56.830002,17893500,50.235943
"25",56.290001,60.25,56.18,59.330002,22191500,52.964134
"26",58.779999,62.220001,58.599998,61.369999,16069400,54.785248
"27",61.43,62.560001,58.220001,58.400002,16107600,52.133919
"28",58.599998,60.900002,58.060001,59.939999,15551500,54.074622
"29",59.93,62.490002,59.470001,62.099998,11478200,56.023257
"30",62.200001,62.32,58.200001,60.580002,14200900,54.651998
"31",60.509998,62,58.860001,60.049999,15883600,54.734309
"32",60.830002,63.48,60.330002,63.310001,11181000,57.705733
"33",63.490002,67.010002,63.349998,66.800003,13698100,60.886796
"34",66.660004,68.379997,65.739998,68.339996,21974800,62.873234
"35",68.339996,73.32,68.129997,72.879997,24500800,67.050063
"36",72.860001,73.209999,65.449997,66.610001,23317600,61.281626
"37",66.589996,67.760002,63.380001,67.010002,25013900,62.2643
"38",67.599998,71.589996,64.709999,70.699997,18509600,65.692966
"39",71.07,71.769997,66.470001,66.870003,16744100,62.134215
"40",67.279999,68.650002,64.919998,65.980003,25923800,61.913789
"41",66.160004,70.309998,64.449997,69.139999,25466800,64.879041
"42",69.260002,70.639999,66.660004,66.739998,20983300,62.626946
"43",66.860001,67.650002,64.519997,66.389999,23212600,62.92298
"44",66.400002,68.339996,64.839996,68.220001,22511400,64.657415
"45",68.230003,72.949997,66.779999,71.760002,24819100,68.01255
"46",71.410004,74.610001,69.580002,74.290001,22733000,71.064456
"47",74.230003,78.699997,73.650002,78.139999,25275500,74.747294
"48",78.290001,79.449997,73.989998,76.120003,18500800,72.815003
"49",75.980003,78.199997,72.760002,77.870003,17721800,75.152339
"50",77.959999,78.099998,73.739998,73.82,23205800,71.243681
"51",73.599998,78.260002,71.599998,78.25,20600100,75.519074
"52",78.129997,78.889999,74.620003,76.080002,16465100,74.085949
"53",76.220001,82.330002,75.760002,82.160004,33309900,80.006594
"54",82.360001,84.419998,79.540001,81.459999,21813700,79.324937
"55",81.059998,90.769997,80.709999,86.370003,21867400,84.820156
"56",86.830002,92.269997,85.690002,89.660004,14959300,88.05112
"57",89.860001,90.82,80.629997,82.029999,24005300,80.55803
"58",81.910004,82.010002,76.839996,80.690002,27502500,79.94795
"59",80.620003,84.269997,79.190002,79.629997,22219200,78.897693
"60",79.82,81.290001,76.779999,79.230003,19340400,78.501377
"61",79.330002,79.720001,74.339996,75.029999,10337500,74.339997
