"","stock_data$M.Open","stock_data$M.High","stock_data$M.Low","stock_data$M.Close","stock_data$M.Volume","stock_data$M.Adjusted"
"1",21,22.309999,17.629999,17.9,154765200,16.383644
"2",17.82,20.35,16.93,18.65,216532900,17.070109
"3",19.08,21.190001,18.700001,19.41,219102000,17.765728
"4",19.700001,23.4,19.66,23.08,154197200,21.175735
"5",23.32,25.26,21.9,23.67,206736800,21.717056
"6",23.870001,26.32,23.559999,25.68,178855400,23.561217
"7",26.16,26.200001,24.52,25.299999,149838200,23.258192
"8",25.5,25.809999,22.780001,23.15,158893300,21.281705
"9",23.26,25.030001,21.690001,23.9,192836500,21.971178
"10",24.02,24.700001,22.5,24.26,182352200,22.349474
"11",24.48,25.99,23.620001,23.91,171653500,22.027037
"12",24.360001,30,23.98,28.879999,243823600,26.605639
"13",28.75,29.34,26.48,29.24,180270000,27.036578
"14",29.18,30.620001,28.32,28.870001,133593800,26.694461
"15",29.110001,29.440001,22.66,25.950001,256984500,23.994502
"16",26.76,28.209999,24.200001,26.32,188466600,24.431721
"17",26.110001,32.349998,24.379999,30.530001,200037500,28.339683
"18",29.049999,32.669998,28.690001,32.330002,183463000,30.010546
"19",32.299999,33.259998,30.42,32.18,113695400,29.963731
"20",32.869999,35.919998,32.290001,33.689999,146359100,31.369734
"21",33.939999,38.34,33.380001,37.970001,125666400,35.354968
"22",38.27,40.740002,37.110001,39.73,121252800,37.181634
"23",39.669998,41.5,38.259998,41.02,99129100,38.388891
"24",41.139999,42.169998,35.009998,38.049999,159018800,35.609392
"25",37.169998,37.970001,32.700001,34.349998,139210300,32.321808
"26",34.450001,36.98,32.310001,35.84,135557500,33.723833
"27",35.98,40.799999,34.889999,40.310001,118813700,37.929904
"28",40.23,40.700001,36.939999,37.619999,100419300,35.579939
"29",37.709999,41.240002,37.709999,38.07,92438600,36.005537
"30",39.259998,41.98,38.02,38.700001,128979600,36.601375
"31",38.93,39.720001,36.299999,39.02,106166100,37.094937
"32",39.549999,40,36.349998,39.509998,116544600,37.560761
"33",39.959999,41.57,38.52,41.099998,101639800,39.072318
"34",40.740002,42.889999,40.360001,41.84,98694400,39.966265
"35",41.779999,45.400002,41.509998,44.599998,85451300,42.602661
"36",44.540001,50,44.330002,48.34,82255900,46.175173
"37",48.59,49.48,45.720001,48,69517100,46.087669
"38",48.25,50.77,47.48,48.34,77297100,46.414124
"39",48.919998,49.720001,43.349998,44.43,128140600,42.659899
"40",44.759998,46.18,42.68,43.27,105330000,41.780414
"41",43.23,46.73,42.18,46.110001,108525700,44.522646
"42",46.18,54.07,45.560001,53.259998,118349200,51.426503
"43",52.990002,53.860001,51,53.400002,77204300,51.811839
"44",53.169998,56.650002,51.360001,53.200001,94546800,51.617786
"45",53.119999,58.66,50.049999,57.860001,80524400,56.139194
"46",57.189999,59.950001,56.700001,59.290001,77750800,57.771709
"47",59.189999,61.259998,56.470001,57.43,68773900,55.95934
"48",57.689999,59.93,54.82,59.889999,88393500,58.356343
"49",60.09,60.34,57.029999,58.02,54246200,56.836369
"50",58.200001,60.25,56.369999,57.790001,63635000,56.611061
"51",57.650002,63.099998,55.810001,62.290001,104412000,61.01926
"52",62.369999,62.970001,57.860001,58.18,89586400,57.292428
"53",58.34,59.919998,54.84,57.82,120616200,56.937919
"54",57.959999,65.739998,55.639999,64.910004,120384700,63.919761
"55",64.339996,66.589996,60.220001,65.75,90643900,65.083044
"56",66.330002,68.300003,62.23,63.880001,84308400,63.232014
"57",64,66.089996,61.099998,63.720001,85015400,63.073637
"58",63.400002,66.139999,61.849998,64.910004,76135400,64.570853
"59",64.519997,69.980003,64.300003,64.629997,92184800,64.292309
"60",64.160004,69.220001,62.799999,66.949997,123128000,66.600187
"61",67.029999,69.989998,66.5,68.900002,42851600,68.540003
