"","stock_data$BDX.Open","stock_data$BDX.High","stock_data$BDX.Low","stock_data$BDX.Close","stock_data$BDX.Volume","stock_data$BDX.Adjusted"
"1",69.410004,72.559998,67,67.620003,25450800,60.971724
"2",67.730003,71.019997,66.470001,68.800003,35827800,62.035709
"3",69.550003,72.690002,68.07,68.190002,26000300,61.485683
"4",68.839996,74.900002,68.830002,74.099998,20204900,67.166524
"5",74.559998,77.639999,73.389999,75.519997,21102000,68.453654
"6",75.919998,78.760002,74.650002,77.93,28609000,70.638156
"7",78.610001,85.5,78.339996,84.519997,31546800,76.999466
"8",85.169998,85.690002,81.559998,82.949997,24350300,75.569164
"9",83.379997,85.900002,78.57,80,31848000,72.881656
"10",80.129997,81.269997,75.440002,79.620003,29456200,72.91192
"11",79.949997,86.339996,79.300003,85.940002,26446900,78.699452
"12",86.209999,89.730003,85.459999,87.550003,23659900,80.173808
"13",87.300003,87.669998,84.190002,86.169998,20208300,79.291592
"14",86.330002,89.75,82.209999,83.610001,24942200,76.935943
"15",84.160004,84.160004,75,81.379997,44278000,74.883947
"16",81.209999,82.18,71.709999,73.32,36372000,67.82187
"17",72.800003,79.809998,69.589996,78.230003,29824700,72.363682
"18",76.870003,77.18,70.610001,73.779999,42719500,68.247375
"19",73.769997,75.389999,70.050003,74.720001,32644600,69.539077
"20",75.589996,80.25,72.300003,78.410004,32120600,72.973223
"21",78.610001,80.559998,76.040001,76.220001,26173800,70.935071
"22",76.220001,78.239998,74.949997,77.650002,23019200,72.699571
"23",77.419998,78.57,74.629997,78.449997,20525300,73.448564
"24",78.150002,78.349998,72.800003,73.129997,23111300,68.467731
"25",72.480003,75.040001,71.559998,74.75,24485000,70.421007
"26",75.120003,76.440002,72.68,75.709999,18522500,71.32541
"27",74.629997,77.25,74.099998,75.980003,24939000,71.579778
"28",76.080002,79.68,75.809998,78.559998,20003700,74.447828
"29",78.650002,79.660004,74.849998,75.68,17197200,71.718582
"30",75.489998,78.510002,74.18,76.669998,23992000,72.656759
"31",76.720001,79.339996,76.029999,78.190002,18933200,74.574191
"32",79.260002,85,78.730003,84.040001,20239900,80.153663
"33",84.860001,89.160004,84.459999,88.059998,25468500,83.987759
"34",88,95.730003,87.540001,95.610001,23179100,91.697535
"35",95.650002,97.139999,93.059998,94.300003,23866600,90.441144
"36",94.309998,102.720001,93.309998,98.620003,22998900,94.584365
"37",98.959999,100.660004,94.25,98.830002,18675900,95.265146
"38",99.43,104.980003,96.779999,103.720001,17950100,99.97876
"39",104,104,96.949997,97.379997,19646100,93.867444
"40",98.419998,102.989998,96.730003,100.019997,13340300,96.898086
"41",100.110001,106.989998,98.300003,105.129997,13694400,101.848589
"42",105.559998,110.129997,104.599998,108.589996,15130100,105.200591
"43",108.760002,110.940002,104.940002,110.489998,16256700,107.589286
"44",110.410004,112.709999,106.330002,108.120003,17756100,105.281511
"45",108.32,116.360001,105.209999,115.220001,20980300,112.195112
"46",114.68,117.260002,113.139999,117.080002,16930000,114.543145
"47",118,118.769997,111.169998,113.029999,16892400,110.580897
"48",112.93,118.529999,111.07,117.699997,16722800,115.149707
"49",117.68,120.660004,116.980003,118.300003,15212500,116.268212
"50",118.800003,120.410004,115.940002,116.239998,12635400,114.243588
"51",115.839996,118.809998,114.360001,117.169998,12425900,115.157615
"52",117.300003,117.830002,112.150002,113.809998,19844800,112.381418
"53",114.029999,130.210007,112.980003,128.699997,54292600,127.084513
"54",128.539993,142.330002,125.349998,140.330002,22459900,138.568535
"55",140.029999,142.559998,134,139.160004,24177500,138.008301
"56",140.270004,146.740005,138.009995,138.080002,25297400,136.937237
"57",137.509995,149.139999,136.020004,146.720001,22772600,145.505731
"58",146.720001,149.979996,140.169998,143.589996,30954000,142.975444
"59",143.630005,146.089996,139.800003,140.869995,21865600,140.267084
"60",141.050003,144.75,138.119995,140.509995,20749700,139.908624
"61",141.399994,141.919998,137.820007,140.050003,8543000,140.050003
