"","stock_data$FIS.Open","stock_data$FIS.High","stock_data$FIS.Low","stock_data$FIS.Close","stock_data$FIS.Volume","stock_data$FIS.Adjusted"
"1",26.959999,28.040001,26.780001,26.82,55018100,24.761735
"2",27.01,28.780001,26.35,28.67,129732300,26.469759
"3",28.85,29,25.530001,25.85,184241300,23.866177
"4",26.83,27.809999,26.290001,27.129999,43420600,25.093286
"5",27.200001,28.99,26.450001,27.1,48804100,25.06554
"6",27.18,28.1,26.639999,26.9,25492800,24.880553
"7",27.17,28.48,26.91,27.389999,37567600,25.379415
"8",27.549999,30.959999,27.49,30.43,28037900,28.196262
"9",30.58,32.400002,30.549999,32.389999,24453300,30.012385
"10",32.389999,32.990002,30.08,32.689999,31086800,30.339313
"11",32.779999,33.720001,32.57,33.110001,22119100,30.729113
"12",33.200001,33.759998,31.030001,32.18,26987400,29.865988
"13",32.130001,32.259998,29.91,30.790001,31304800,28.621531
"14",30.879999,31.370001,28.950001,30.02,26306300,27.90576
"15",30.27,30.450001,26.15,28.18,57536400,26.195347
"16",28.209999,28.389999,23.67,24.32,39794100,22.651526
"17",24.16,27.469999,23.059999,26.18,37083800,24.383921
"18",24.389999,26,22.530001,24.09,47276900,22.437306
"19",23.99,26.84,23.93,26.59,41374600,24.814971
"20",27.059999,28.67,26.309999,28.559999,27919100,26.653461
"21",28.530001,31.969999,28.469999,31.73,45273800,29.611847
"22",31.799999,33.439999,30.969999,33.119999,35061900,31.103025
"23",32.98,34,32.040001,33.669998,36023400,31.61953
"24",33.689999,34.150002,31.299999,32.779999,36742600,30.783731
"25",32.330002,34.080002,30.959999,34.080002,32845000,32.20522
"26",34.110001,34.849998,31.389999,31.440001,37117300,29.710448
"27",31.52,32.189999,30.459999,31.5,39726700,29.767147
"28",31.52,32.830002,31.200001,31.219999,36427400,29.688334
"29",31.33,33.07,30.76,32.869999,34089100,31.257383
"30",32.860001,36.43,32.68,36.099998,38550100,34.328918
"31",36.139999,37.139999,33.990002,34.810001,66812700,33.285296
"32",35.169998,37.93,35.130001,37.110001,39506900,35.484554
"33",37.310001,37.869999,35.209999,37.650002,38792000,36.000902
"34",37.459999,39.66,36.869999,39.619999,50780400,38.102455
"35",39.709999,42.299999,38.849998,42.049999,51866500,40.43938
"36",41.93,45.950001,41.84,44.900002,37434600,43.18022
"37",44.889999,45.23,42.09,42.84,34631800,41.403445
"38",43.139999,45.43,42.610001,43.16,26281600,41.712714
"39",43.349998,47.73,43.259998,44.459999,31648100,42.96912
"40",44.91,47.330002,44.18,46.439999,20287000,45.099169
"41",46.470001,49.630001,44.459999,48.75,27594100,47.342475
"42",48.950001,51.490002,47.400002,50.68,22747900,49.216752
"43",50.799999,53.73,49.740002,53.68,21947400,52.358233
"44",53.400002,53.610001,50.200001,50.700001,32971800,49.45161
"45",50.73,56.200001,48.169998,55.610001,29209500,54.24071
"46",55,56.68,52,53.450001,26668300,52.363432
"47",53.57,54.59,50.990002,53.43,29111700,52.343838
"48",53.509998,54.970001,52.130001,54.150002,27036800,53.049202
"49",54.110001,55.43,53.419998,54.740002,21793400,53.864718
"50",54.889999,57.07,54.66,56.400002,25469200,55.498175
"51",56.110001,57.650002,54.790001,56.75,24118700,55.842577
"52",56.91,58.860001,55.73,56.299999,26043300,55.632015
"53",56.110001,59.240002,51.380001,58.389999,31699700,57.697218
"54",58.619999,61.66,57.189999,61.189999,19717600,60.463996
"55",60.830002,64.300003,59.709999,62.200001,21069600,61.704828
"56",62.330002,64.419998,60.360001,62.43,17133400,61.932997
"57",62.860001,68.980003,61.650002,67.589996,21981300,67.051914
"58",67.480003,68.889999,64.5,68.059998,20932900,67.784195
"59",67.940002,68.550003,60.790001,62.490002,40261600,62.236771
"60",62.700001,65.699997,62.18,62.700001,24488800,62.445919
"61",62.75,63.040001,61.540001,62.529999,9268500,62.276606
