"","stock_data$KIM.Open","stock_data$KIM.High","stock_data$KIM.Low","stock_data$KIM.Close","stock_data$KIM.Volume","stock_data$KIM.Adjusted"
"1",13.98,15.62,13.39,13.44,94426100,10.95892
"2",13.47,15.56,12.51,15.07,126331400,12.288016
"3",15.36,15.62,14,14.91,98274400,12.157553
"4",15.17,17.049999,15.05,15.74,107147000,12.834331
"5",15.75,17.5,15.64,17.209999,95780600,14.177075
"6",17.309999,18.4,15.61,16.66,98928800,13.724002
"7",16.940001,18.41,16.450001,18.040001,93218300,15.009993
"8",18.27,18.43,17.52,18.09,105223100,15.051594
"9",18.209999,19.469999,17.959999,19.379999,72686000,16.124924
"10",19.4,19.5,16.98,18.34,76254800,15.259604
"11",18.299999,19.67,17.280001,19.540001,74081100,16.4192
"12",19.709999,19.799999,18.5,19.51,69341500,16.393991
"13",19.450001,19.469999,17.01,18.639999,116111300,15.662941
"14",18.459999,20.309999,18.379999,19.030001,87120400,16.146576
"15",19.23,19.32,14.6,17.700001,147039100,15.018097
"16",17.76,17.860001,14.54,15.03,86554200,12.752655
"17",14.65,17.93,13.55,17.469999,102013900,15.002618
"18",16.85,17.59,14.56,15.77,90663000,13.542719
"19",15.72,17.08,15.29,16.24,66824800,14.108604
"20",16.690001,19,16.209999,18.25,79505000,15.854805
"21",18.379999,18.950001,18.129999,18.41,64614200,15.993805
"22",18.4,19.9,17.969999,19.26,98901300,16.732249
"23",19.190001,19.440001,17.780001,19.41,62464400,17.030568
"24",19.42,19.959999,17.6,17.950001,63236600,15.749548
"25",17.540001,19.030001,17.16,19.030001,64748000,16.697152
"26",18.77,19.690001,18.620001,19.49,76491600,17.273222
"27",19.57,20.48,19.35,20.32,69831900,18.008818
"28",20.33,21.16,20.1,20.27,57309700,17.964506
"29",20.24,20.950001,19.4,19.52,62899600,17.463503
"30",19.51,19.780001,18.110001,19.26,67713000,17.230895
"31",19.34,19.83,18.92,19.32,67393200,17.473427
"32",19.639999,20.889999,19.41,20.77,66054800,18.784839
"33",20.93,21.98,20.809999,21.77,65915000,19.689261
"34",21.67,22.49,21.540001,22.4,50308600,20.259045
"35",22.200001,23.780001,22.040001,23.780001,59104200,21.710685
"36",23.74,25.09,22.02,22.15,84185800,20.222526
"37",22.15,22.360001,20.25,21.43,96746600,19.56518
"38",21.299999,23.24,21.030001,22.549999,56092500,20.791461
"39",22.66,22.950001,19.889999,20.030001,67027700,18.467982
"40",20.23,21.370001,19.68,20.18,72878000,18.606284
"41",19.959999,21.77,19.219999,21.48,100809800,20.013168
"42",21.530001,21.83,20.610001,20.620001,64284800,19.211897
"43",20.58,21.209999,19.709999,19.75,62734600,18.609309
"44",19.77,21.08,19.610001,20.91,70658700,19.702312
"45",20.860001,22.299999,20.299999,22.26,63558700,20.974341
"46",22.17,22.700001,21.299999,21.879999,63287500,20.616287
"47",21.700001,22.959999,21.41,22.92,48778400,21.820611
"48",22.91,23.24,22.5,22.92,55682100,21.820611
"49",22.91,23.629999,22.27,22.98,55015700,21.877733
"50",22.92,23.82,22.360001,22.379999,40096900,21.51719
"51",22.379999,23.75,22.040001,23.49,53092900,22.584397
"52",23.540001,23.66,21.540001,21.91,56112800,21.06531
"53",21.700001,24.99,21.559999,24.950001,82154100,24.237007
"54",25,25.77,24.42,25.450001,51896800,24.722718
"55",25.41,26.040001,24.84,25.139999,78871600,24.649992
"56",25.26,28.540001,25.200001,27.65,62852200,27.11107
"57",27.65,28.1,26,26.280001,61546400,25.767774
"58",26.26,27.950001,25.25,26.85,53944100,26.326663
"59",26.549999,27.059999,24.07,24.1,46439300,23.84339
"60",24.139999,25.030001,23.68,23.959999,56656100,23.70488
"61",23.99,24.379999,22.98,23.27,17862300,23.022228
