"","stock_data$AEE.Open","stock_data$AEE.High","stock_data$AEE.Low","stock_data$AEE.Close","stock_data$AEE.Volume","stock_data$AEE.Adjusted"
"1",24.049999,25.77,23.719999,23.77,25375800,18.752392
"2",23.82,26.41,23.450001,25.370001,34225600,20.014648
"3",25.75,28.52,25.66,28.07,63386600,22.144704
"4",28.379999,28.99,27.34,28.4,45181700,22.710224
"5",28.65,29.450001,28.049999,28.98,48563200,23.174025
"6",29.17,29.889999,28.440001,28.719999,42621400,22.966114
"7",28.98,29.34,27.65,28.190001,40622100,22.843174
"8",28.33,29.139999,27.9,28.370001,30167200,22.989033
"9",28.5,28.92,27.08,27.959999,36612700,22.656797
"10",27.98,28.469999,26.459999,28.07,46899200,23.06432
"11",28.16,29.35,27.9,29.309999,27672200,24.083193
"12",29.389999,30.139999,28.690001,29.709999,38584300,24.411861
"13",29.690001,29.74,27.780001,28.84,37433000,24.01506
"14",28.91,30.110001,28.26,28.82,29894300,23.998406
"15",29.1,30.33,25.549999,30.26,71467000,25.197494
"16",30.5,31.440001,28.32,29.77,49651600,25.11671
"17",29.610001,32.529999,27.98,31.879999,39793700,26.896899
"18",31.16,33.830002,30.780001,33.810001,42700400,28.525226
"19",33.91,34.110001,31.389999,33.130001,46834700,28.300147
"20",33.650002,33.68,30.9,31.639999,37740200,27.027365
"21",31.76,32.380001,30.889999,32.07,29949900,27.394678
"22",32.060001,32.580002,31.16,32.580002,32608400,28.183506
"23",32.549999,32.91,31.15,32.790001,29413200,28.365167
"24",32.790001,33.110001,31.690001,32.310001,31026400,27.949941
"25",31.98,34.040001,31.93,33.540001,37797100,29.367248
"26",33.689999,34.740002,32.950001,34.209999,23084800,29.953891
"27",34.299999,35.299999,32.619999,32.720001,37217900,28.649266
"28",32.709999,33.259998,32.27,32.669998,33058700,28.955185
"29",32.779999,33.209999,32.209999,32.880001,28580300,29.141309
"30",32.880001,33,28.43,29.969999,40721900,26.562195
"31",30,31.379999,29.299999,30.719999,48169600,27.598106
"32",31.139999,32.599998,30.639999,32.439999,40006600,29.143312
"33",32.580002,34.040001,32.369999,33.790001,32690300,30.356121
"34",33.709999,35.119999,33.450001,35.02,39228100,31.836891
"35",34.939999,36.360001,34.259998,36.25,31237100,32.955091
"36",36.240002,36.740002,33.41,34.040001,37049600,30.945968
"37",34.110001,34.990002,32.34,34.439999,42250800,31.672513
"38",34.439999,36.470001,33.150002,35.810001,28862400,32.932427
"39",35.720001,36.700001,33.240002,33.810001,30415100,31.093141
"40",34.049999,35.970001,32.610001,34.84,39779600,32.431704
"41",34.91,36.779999,34.18,36.18,32738800,33.679077
"42",36.279999,37.310001,35.259998,35.849998,25440400,33.371887
"43",35.93,36.639999,34.709999,36.16,34399900,34.034049
"44",36.049999,37.939999,35.220001,37.84,32563200,35.615277
"45",37.849998,42.240002,36.740002,40.41,37954500,38.034179
"46",40.330002,41.470001,39.299999,41.200001,37555000,39.17052
"47",41.119999,41.919998,39.41,41.310001,47567500,39.275102
"48",41.419998,41.619999,37.939999,39.349998,41566300,37.411647
"49",39.330002,40.990002,37.669998,40.880001,31097400,39.265219
"50",40.68,40.959999,38.439999,38.450001,27045700,36.931205
"51",38.41,39.990002,36.650002,39.990002,33569400,38.410375
"52",39.93,40.310001,37.529999,38.330002,24889900,37.185214
"53",38.32,42.709999,38.25,42.34,37222700,41.075447
"54",42.439999,44.220001,41.889999,43.110001,26572200,41.82245
"55",42.860001,48.139999,42.150002,46.130001,34630800,45.180154
"56",46.290001,46.810001,44.639999,45.279999,32918400,44.347654
"57",45.459999,45.66,41.139999,42.41,40532100,41.53675
"58",42.299999,43.119999,40.509998,42.200001,41652400,41.749075
"59",42.209999,43,40.68,40.939999,29835500,40.502537
"60",41.049999,41.93,39.66,40.23,26893300,39.800124
"61",40.25,40.490002,37.799999,37.810001,11290100,37.810001
