"","stock_data$BHI.Open","stock_data$BHI.High","stock_data$BHI.Low","stock_data$BHI.Close","stock_data$BHI.Volume","stock_data$BHI.Adjusted"
"1",39.970001,45.419998,39.959999,41.57,89211200,39.271394
"2",42.529999,49.98,40.830002,48.27,110303900,45.741289
"3",49.18,50.5,36.759998,37.580002,156625000,35.611305
"4",38.119999,43.130001,38.119999,42.599998,96610700,40.36832
"5",43.169998,47.549999,42.209999,46.419998,89395600,44.13062
"6",48.43,52.990002,46.830002,52.16,99478600,49.587532
"7",53.060001,57.450001,52.75,57.169998,71818700,54.350443
"8",57.689999,69.709999,54.330002,68.510002,130875500,65.131172
"9",68.849998,71.900002,65.809998,71.050003,97401500,67.694311
"10",71.599998,74.940002,65.099998,73.43,112853200,69.961901
"11",74.059998,79.239998,66.260002,77.410004,102784800,73.753929
"12",77.790001,78.040001,67.75,73.93,125783300,70.584893
"13",73.860001,76.650002,66.5,72.559998,99242300,69.276878
"14",72.559998,81,71.449997,77.379997,99076000,73.878788
"15",78.459999,78.919998,52.709999,61.110001,187546700,58.466813
"16",61.59,62.48,46.040001,46.150002,128672600,44.153878
"17",45.279999,61.900002,41.91,57.990002,151868500,55.481763
"18",52.689999,59.84,48.650002,54.610001,122864000,52.390504
"19",54.34,56.110001,44.68,48.639999,127230200,46.66314
"20",50.700001,52.959999,45.509998,49.130001,159569600,47.133226
"21",49.889999,52.93,46.900002,50.279999,138019600,48.382864
"22",50.529999,50.880001,40.200001,41.939999,189121900,40.357543
"23",41.84,44.349998,39.400002,44.110001,137303600,42.445668
"24",44.400002,45.169998,40.029999,41.73,136169000,40.291558
"25",40.599998,42.259998,37.080002,41.099998,120206400,39.683273
"26",41.150002,47.849998,38.139999,46.32,124350800,44.72334
"27",46.5,49.07,44.169998,45.599998,72647900,44.169152
"28",45.34,50.970001,43.950001,45.23,80682700,43.810763
"29",45.57,47.619999,41.810001,41.970001,100811300,40.653058
"30",42.259998,43.599998,39.439999,43.150002,78520300,41.945945
"31",43.529999,43.669998,39.560001,40.849998,85405400,39.710121
"32",41.669998,46.900002,40.98,44.720001,77939000,43.617689
"33",45.139999,47.77,43.650002,44.82,60907800,43.715222
"34",44.5,48,43.040001,46.41,77718400,45.26603
"35",46.25,47,42.599998,45.389999,88124000,44.271172
"36",44.889999,48.630001,44.25,45.48,63026100,44.509019
"37",45.630001,47.060001,43.34,46.130001,66083400,45.145144
"38",46.380001,49.540001,46.299999,47.43,74486200,46.417388
"39",48.080002,48.57,46.09,46.490002,56586600,45.641804
"40",47.040001,50.880001,46.57,49.099998,67323700,48.204182
"41",49.080002,58.830002,48.369999,58.09,103549400,57.177095
"42",58.360001,58.73,55.720001,56.959999,77469400,56.064852
"43",57.110001,57.169998,52.25,55.259998,78467900,54.391568
"44",54.98,57.34,50.799999,56.639999,113873200,55.900124
"45",56.75,63.75,55.889999,63.279999,93584100,62.453386
"46",62.77,65.75,60.919998,65.019997,74320000,64.170655
"47",64.720001,70.910004,63.099998,69.900002,85023300,68.986914
"48",69.57,71.519997,67.669998,70.519997,75552000,69.748486
"49",70.519997,75.040001,69.610001,74.449997,65842800,73.635491
"50",74.839996,75.639999,68.040001,68.769997,74493400,68.181321
"51",68.400002,70.150002,66.75,69.139999,65616700,68.548157
"52",69.260002,70.510002,64.470001,65.059998,69637100,64.50308
"53",64.940002,65.690002,47.509998,52.959999,154615600,52.676679
"54",53,67.809998,48.650002,57,276533100,56.695067
"55",56.5,58.669998,54.16,56.07,136415800,55.770042
"56",55.869999,59.560001,53.48,57.990002,99995100,57.679773
"57",58.93,65.040001,58.25,62.509998,88518900,62.175589
"58",62.34,64.5,57.790001,63.580002,82798200,63.412324
"59",63.860001,69.5,63.310001,68.459999,68993200,68.279452
"60",68.480003,70.449997,63.98,64.459999,50356000,64.290001
"61",64.379997,65.900002,63.18,65.089996,15497100,65.089996
