"","stock_data$HSP.Open","stock_data$HSP.High","stock_data$HSP.Low","stock_data$HSP.Close","stock_data$HSP.Volume","stock_data$HSP.Adjusted"
"1",51.93,57.98,51.889999,57.450001,24485700,57.450001
"2",57.150002,59.75,50.52,52.099998,34897400,52.099998
"3",52.580002,53.610001,50,51.360001,28889500,51.360001
"4",52.380001,58.25,52.119999,57.009998,27985000,57.009998
"5",57.16,59.889999,55.68,59.48,25534600,59.48
"6",59.459999,60.490002,55.509998,56.259998,16936000,56.259998
"7",56.84,57.490002,54.23,55.689999,22010800,55.689999
"8",55.75,57.259998,54.23,55.23,24498800,55.23
"9",55.139999,55.68,49.509998,52.849998,44273600,52.849998
"10",53.049999,56,51.400002,55.200001,39921500,55.200001
"11",55.5,59.200001,54.66,56.73,26345100,56.73
"12",57,57.25,53.740002,55.290001,25338800,55.290001
"13",55.259998,57,53.419998,56.66,26724300,56.66
"14",56.860001,57.119999,50.529999,51.119999,31124300,51.119999
"15",51.43,51.43,42.34,46.200001,29816700,46.200001
"16",46.150002,47.119999,34.18,37,40396000,37
"17",36.700001,39.299999,28.040001,31.450001,69489700,31.450001
"18",30.58,33.049999,26.92,28.190001,44697400,28.190001
"19",28.110001,31.17,27.24,30.370001,45594400,30.370001
"20",30.889999,35.849998,29.51,34.459999,41230400,34.459999
"21",34.630001,37.990002,33.650002,35.619999,38807300,35.619999
"22",35.66,38.490002,33.779999,37.389999,28330700,37.389999
"23",37.27,37.759998,33.830002,35.119999,24725800,35.119999
"24",35.029999,35.799999,31.17,31.26,24359800,31.26
"25",30.809999,35.25,30.809999,34.98,25059700,34.98
"26",34.950001,36.700001,33.360001,34.75,19150900,34.75
"27",34.810001,37.779999,33.009998,33.580002,24208100,33.580002
"28",33.560001,35.43,32.27,32.82,18269700,32.82
"29",32.990002,34.099998,30.42,30.690001,24580500,30.690001
"30",30.91,32.549999,28.620001,29.799999,38146600,29.799999
"31",29.959999,32.459999,29.709999,31.24,21465800,31.24
"32",31.73,36.009998,31.42,34.119999,33015300,34.119999
"33",34.310001,36.860001,28.709999,29.43,65922300,29.43
"34",29.23,32.950001,29.07,32.830002,32516400,32.830002
"35",32.75,33.900002,30.190001,33.119999,31122900,33.119999
"36",33,36.400002,30.959999,34.68,28288700,34.68
"37",34.790001,38.700001,34.09,38.310001,19163400,38.310001
"38",38.27,41.349998,38.060001,40.700001,21373500,40.700001
"39",41.049999,42.599998,38.799999,39.029999,15354600,39.029999
"40",39.439999,41.57,38.150002,39.220001,15440900,39.220001
"41",39.240002,42.150002,38.290001,40.52,13873200,40.52
"42",40.610001,42.5,38.110001,39.310001,19471000,39.310001
"43",39.310001,42.5,39.310001,41.279999,17372400,41.279999
"44",41.259998,45.240002,40.610001,44.009998,23518700,44.009998
"45",44,45.23,41.860001,43.279999,29226500,43.279999
"46",42.689999,44,40.41,43.25,27004800,43.25
"47",43.27,46.959999,42.009998,45.799999,25662100,45.799999
"48",45.73,49.25,44.48,49.169998,22839900,49.169998
"49",49.169998,52.860001,48.470001,51.369999,22010500,51.369999
"50",51.720001,56.779999,49.470001,55.470001,27848200,55.470001
"51",55.400002,56.080002,53.16,53.740002,20463700,53.740002
"52",53.889999,54.470001,51.419998,52.029999,16143900,52.029999
"53",52.029999,55.099998,46.560001,53.700001,21523000,53.700001
"54",53.5,60.779999,52.299999,59.639999,20446100,59.639999
"55",59.400002,63.360001,58.790001,61.25,20523000,61.25
"56",61.380001,66.559998,60.529999,63.43,20212300,63.43
"57",63.84,87.769997,62.169998,87.540001,121258800,87.540001
"58",87.540001,88.089996,87.480003,87.839996,45822200,87.839996
"59",87.809998,88.150002,86.449997,87.290001,36553100,87.290001
"60",87.339996,88.57,87.269997,88.419998,21518600,88.419998
"61",88.529999,88.68,88.190002,88.440002,6986200,88.440002
