"","stock_data$ANF.Open","stock_data$ANF.High","stock_data$ANF.Low","stock_data$ANF.Close","stock_data$ANF.Volume","stock_data$ANF.Adjusted"
"1",34.82,37.060001,30.120001,30.690001,48630900,27.848111
"2",30.51,38.799999,29.940001,36.939999,73464600,33.51936
"3",37.860001,40.310001,33.970001,34.599998,94908200,31.55318
"4",35.34,40.169998,34.07,39.32,61927000,35.857545
"5",39.759998,45.75,37.299999,42.860001,72891000,39.08582
"6",43.099998,51.150002,41.549999,50.25,72484200,45.993808
"7",51.040001,58.5,49.66,57.630001,56232100,52.74872
"8",58.369999,58.419998,48.200001,50.41,55290600,46.140255
"9",50.610001,59.549999,48.509998,57.369999,53701600,52.67366
"10",57.73,59.880001,52.549999,58.700001,58251700,53.894787
"11",59.02,72.610001,58.130001,70.800003,60248200,65.004276
"12",71.519997,77.650002,69.949997,75.769997,50220100,69.730627
"13",75.720001,75.860001,62.459999,66.919998,59140500,61.586032
"14",67.269997,78.25,66.910004,73.120003,41110100,67.291855
"15",74.139999,75.519997,55.700001,63.610001,92977000,58.71278
"16",63.34,69.989998,57.27,61.560001,51056000,56.820606
"17",61.110001,77.489998,57.169998,74.400002,42960500,68.672078
"18",71.809998,75.199997,44.220001,47.91,100972800,44.390926
"19",47.57,50.919998,45.02,48.84,38898400,45.252616
"20",49.580002,50.259998,43.560001,45.939999,66539500,42.565625
"21",46.02,50.439999,40.25,45.790001,92745300,42.582772
"22",46.130001,54.099998,46,49.610001,56043600,46.13521
"23",50.84,52.869999,46.009998,50.169998,40188500,46.655984
"24",52,54.049999,32.759998,33.540001,86870100,31.346011
"25",32.639999,34.700001,29.51,34.139999,59972800,31.906761
"26",34.810001,37,32.450001,33.799999,61249400,31.589002
"27",33.939999,37.439999,28.639999,35.990002,91017100,33.797568
"28",35.860001,39.650002,33.84,33.919998,53247200,31.853665
"29",33.279999,34.400002,30.059999,30.58,42665500,28.717132
"30",30.73,46.330002,30.73,45.889999,107476100,43.267232
"31",46.029999,49.099998,44.790001,47.970001,48610400,45.228355
"32",48.009998,50.939999,46.169998,50,39751300,47.142333
"33",50.34,52.439999,44.349998,46.630001,53356700,44.155266
"34",46.369999,50.07,45.09,46.200001,35435600,43.748086
"35",46.110001,50.43,45.25,49.560001,36820000,46.929766
"36",49.470001,55.23,47.939999,50.080002,48865300,47.612314
"37",50.150002,52.25,43.41,45.25,32873200,43.02031
"38",45.529999,52.380001,45.400002,49.869999,30031200,47.412659
"39",50,52.240002,35.09,35.310001,66044400,33.756811
"40",35.529999,39,34.639999,35.369999,51344400,33.814169
"41",35.5,38.139999,33.009998,37.48,68248100,35.831357
"42",37.380001,38.82,32.41,34.279999,82526900,32.967072
"43",34.279999,36.5,31.139999,32.91,66909600,31.649544
"44",32.439999,38.150002,31.77,35.380001,69428400,34.024944
"45",35.470001,40.419998,31.73,39.630001,57421300,38.112168
"46",39.080002,42.490002,37.639999,38.5,45240700,37.214981
"47",38.650002,40.25,34.549999,36.759998,41368600,35.533056
"48",37.880001,38.950001,34.529999,38.009998,51645000,36.741334
"49",38.049999,43.880001,37.610001,43.25,35428600,42.024409
"50",43.27,43.84,37.48,39.34,32440300,38.225208
"51",39.169998,45.5,38.290001,41.799999,51821900,40.800113
"52",41.82,42.400002,35.68,36.34,41619700,35.470721
"53",36.169998,36.389999,31.01,33.48,55991000,32.679134
"54",33.41,35.5,28.219999,28.85,58591500,28.353292
"55",28.799999,29.49,26.190001,28.639999,70520200,28.146907
"56",28.76,30.1,25.25,25.52,39595300,25.080625
"57",24.9,26.5,23.120001,24.74,44561200,24.518117
"58",24.74,24.74,19.34,22.040001,99658700,21.842333
"59",21.92,23.559999,21.23,22.48,50739400,22.278386
"60",22.58,22.629999,19.6,20.469999,54478500,20.469999
"61",20.42,23.719999,20.32,22.85,27723400,22.85
