"","stock_data$BIIB.Open","stock_data$BIIB.High","stock_data$BIIB.Low","stock_data$BIIB.Close","stock_data$BIIB.Volume","stock_data$BIIB.Adjusted"
"1",47.720001,50.549999,45.959999,47.450001,51280000,47.450001
"2",47.700001,58.16,46.150002,55.880001,91488400,55.880001
"3",56.59,58.16,53.139999,53.799999,46797700,53.799999
"4",54.48,58.639999,53.970001,56.119999,51792000,56.119999
"5",56,64.919998,55.630001,62.709999,49553900,62.709999
"6",62.889999,66.43,61.82,63.970001,46604300,63.970001
"7",64.889999,68.599998,64.629997,67.050003,37407500,67.050003
"8",67.68,68.989998,64.279999,65.470001,37412900,65.470001
"9",67.75,68.5,64.610001,68.400002,35170800,68.400002
"10",68.410004,73.529999,68.260002,73.470001,40811700,73.470001
"11",73.589996,106.989998,72.699997,97.650002,73743200,97.650002
"12",97.440002,99.190002,92.290001,94.730003,39837000,94.730003
"13",94.360001,109.629997,91.080002,106.919998,59713200,106.919998
"14",107.349998,109.139999,99.540001,101.870003,33091600,101.870003
"15",105.910004,105.980003,83.830002,94.199997,53673000,94.199997
"16",94.019997,102.010002,89.040001,93.150002,38950000,93.150002
"17",92.550003,120.660004,87.720001,116.360001,51276400,116.360001
"18",114.370003,115.5,106.309998,114.949997,36336400,114.949997
"19",114.949997,117.550003,109.050003,110.050003,26723000,110.050003
"20",111.440002,119.559998,111.440002,117.949997,38407100,117.949997
"21",118.459999,123.230003,114.529999,116.470001,27743500,116.470001
"22",116.010002,127.849998,116.010002,126,26028600,126
"23",126.110001,134.5,124.230003,134.009995,22423800,134.009995
"24",131.610001,138.490005,129.479996,130.75,29033800,130.75
"25",128.889999,144.380005,126.389999,144.380005,27198900,144.380005
"26",143.5,150.289993,137.880005,145.830002,21560000,145.830002
"27",146.300003,147.889999,141.880005,146.589996,16995100,146.589996
"28",145.899994,157.179993,144.899994,149.210007,20480000,149.210007
"29",149.160004,154.910004,136.279999,138.210007,24197300,138.210007
"30",139.300003,151.5,134,149.089996,24033200,149.089996
"31",150.039993,155.300003,145.039993,146.369995,17674000,146.369995
"32",148.720001,156.940002,139.720001,156.080002,38916200,156.080002
"33",157.279999,169.070007,155.100006,166.339996,24465500,166.339996
"34",165.300003,192.919998,164.449997,192.619995,28578200,192.619995
"35",193.660004,226.179993,191.800003,218.929993,32449600,218.929993
"36",215.389999,242.639999,208.5,237.490005,27267500,237.490005
"37",234.149994,234.699997,194.660004,215.199997,38129800,215.199997
"38",220.25,234.740005,214.210007,218.130005,28312400,218.130005
"39",218.820007,229,203.550003,213.020004,21995300,213.020004
"40",216,248.949997,213.050003,240.759995,22596700,240.759995
"41",242.850006,262,221.070007,244.190002,26383100,244.190002
"42",245.570007,297.980011,230.25,290.970001,27452600,290.970001
"43",291.709991,298.820007,270.269989,279.570007,23680600,279.570007
"44",279.440002,321.25,270.619995,312.640015,31039900,312.640015
"45",314.839996,353.470001,294.019989,340.679993,27912100,340.679993
"46",340.679993,358.890015,292.670013,305.869995,40173600,305.869995
"47",308.420013,317,272.019989,287.119995,41953100,287.119995
"48",287.109985,322.25,278.100006,319.369995,25217700,319.369995
"49",318.929993,322.049988,302.01001,315.309998,20471700,315.309998
"50",317.029999,349,298.309998,334.390015,28967400,334.390015
"51",332.929993,348.48999,317,343.040009,20935300,343.040009
"52",345.470001,347.790009,315.709991,330.809998,22151600,330.809998
"53",330.970001,331.149994,290.850006,321.079987,39377400,321.079987
"54",320.779999,330.369995,297.829987,307.690002,26191300,307.690002
"55",306.429993,361.929993,306.109985,339.450012,44103800,339.450012
"56",342.839996,397,334.399994,389.160004,39409700,389.160004
"57",389.029999,412.019989,381.359985,409.589996,26291800,409.589996
"58",410.670013,480.179993,406.019989,422.23999,52474600,422.23999
"59",423.200012,432.880005,368.880005,373.929993,45438800,373.929993
"60",377.519989,404,377.519989,396.98999,26880100,396.98999
"61",398.869995,399.579987,378,388.5,10538200,388.5
