"","stock_data$LO.Open","stock_data$LO.High","stock_data$LO.Low","stock_data$LO.Close","stock_data$LO.Volume","stock_data$LO.Adjusted"
"1",73.070011,75.929998,71.619987,71.97999,72466200,18.859185
"2",72.129988,77.720009,70.869987,76.23999,90138000,19.975331
"3",76.670008,78.849993,74.03001,76.01001,100056000,20.20958
"4",76.709999,83.03001,76.569992,80.310001,80637000,21.352864
"5",80.820002,87.470009,78.540001,85.340012,64796700,22.690245
"6",85.490009,89.70999,79.580011,79.580011,88174200,21.44767
"7",80.51001,82.98,80.51001,82.059992,65331600,22.116051
"8",82.569992,82.629988,72.399988,75.24,135383700,20.27799
"9",75.449999,80.559992,74.300011,76.77,133692000,21.038931
"10",80.51001,97.040005,76.929989,95.01,240748200,26.03763
"11",95.169989,106.749985,94.439999,106.5,77521800,29.186481
"12",106.98,116.900013,104.870007,115.28001,97313400,31.954
"13",115.23999,116.109993,96.500015,108.870003,176213700,30.177236
"14",109.340012,113.669998,104.430004,106.220009,87915300,29.442695
"15",106.859997,113.319992,97.379997,111.419998,134359200,31.244137
"16",111.560005,112.959995,105.290005,110.700005,111737100,31.042239
"17",110.660007,120,108.999985,110.660007,131184900,31.031023
"18",108.789986,111.620007,106.460014,111.620007,97011600,31.677089
"19",111.189995,115.089993,107.930008,114,63420000,32.352517
"20",115.28001,115.670013,106.830002,107.390007,74949300,30.47664
"21",107.750015,132.609993,106.98999,131.079987,109198800,37.646619
"22",131.379993,132.689999,126.759991,129.48,71012400,37.187098
"23",129.759991,138.879993,125.120007,135.290005,64308300,38.855751
"24",134.799992,135.180004,121.329987,123.600002,101541600,35.944884
"25",122.229984,133.310005,118.71999,131.949989,62073000,38.373196
"26",132.500015,141.069992,125.139988,128.640003,57484200,37.410598
"27",128.939999,131.709995,121.929989,125.51001,72543000,36.941518
"28",125.910004,127.149994,114.930004,116.450008,77700600,34.274877
"29",117.27,118.899994,110.100002,116.009995,69049200,34.145367
"30",116.150013,123.320011,112.169998,121.160007,55142100,36.121611
"31",121.670013,122.430004,113.910004,116.669998,58878300,34.782998
"32",118.389988,120.959999,38.77,39.07,73713200,34.943989
"33",39.310001,42.880001,38.349998,38.540001,73964500,34.949923
"34",38.34,40.619999,37.950001,40.349998,75470100,36.591316
"35",40.5,43.389999,40.02,42.889999,53888400,38.894711
"36",42.900002,44.639999,42.099998,42.439999,72274600,38.977529
"37",42.41,45.5,41.720001,43.68,76284400,40.116365
"38",43.669998,46.810001,42.310001,42.529999,69239800,39.060187
"39",42.810001,43.779999,41.560001,42.299999,73035900,39.349934
"40",42.52,45.599998,42.009998,44.779999,54645800,41.656975
"41",44.709999,51.73,44.119999,51.009998,62680500,47.452485
"42",51.119999,53.27,50.389999,51.330002,62800700,48.259037
"43",51.400002,51.549999,48.880001,50.68,63846200,47.647924
"44",50.66,50.810001,48.299999,49.220001,67092600,46.275274
"45",49.240002,50.220001,46.48,49.060001,74615700,46.712091
"46",51.560001,56.849998,49.759998,54.080002,97089000,51.491844
"47",53.77,59.970001,51.84,59.419998,61061100,56.576279
"48",59.450001,63.560001,55,62.169998,77408300,59.807698
"49",61.919998,65.279999,59,60.970001,50119700,58.653298
"50",60.290001,67.459999,59.5,60.48,129394000,58.181915
"51",60.48,61.509998,58.759998,59.700001,49123500,58.029646
"52",59.759998,60.48,58.610001,59.91,37935700,58.23377
"53",59.139999,61.709999,57.52,61.5,50954400,59.779283
"54",61.52,63.77,61.32,63.139999,30196100,61.973138
"55",62.970001,64.230003,61.34,62.939999,39483700,61.776834
"56",63.200001,66.489998,62.189999,65.610001,47736300,64.397492
"57",65.709999,69.610001,65.43,68.419998,46123600,67.799879
"58",68.510002,69.199997,65.010002,65.349998,85685900,64.757704
"59",65.230003,71.540001,65.199997,69.860001,106812500,69.22683
"60",70.010002,73.019997,69.699997,72.480003,103127200,72.480003
"61",72.459999,72.589996,70.809998,71.730003,30853100,71.730003
