"","stock_data$BLK.Open","stock_data$BLK.High","stock_data$BLK.Low","stock_data$BLK.Close","stock_data$BLK.Volume","stock_data$BLK.Adjusted"
"1",156.179993,163.419998,143.009995,143.399994,5628500,125.018731
"2",145.350006,162.639999,138.419998,157.490005,8996500,137.30266
"3",160,163.509995,139.160004,141.949997,7893400,124.631237
"4",144.630005,172.869995,143.210007,170.25,10408400,149.478469
"5",171.800003,181,165.169998,170.990005,11442800,150.128189
"6",171.740005,174.470001,161.529999,163,50911000,143.113012
"7",164.5,193.740005,163.75,190.580002,22334000,168.360968
"8",191.520004,202.059998,185.460007,198.020004,17243100,174.933567
"9",199.229996,207.470001,193.580002,203.990005,11611100,180.207548
"10",209.770004,209.770004,179.520004,201.009995,21655500,178.811406
"11",202.050003,204.5,189.059998,195.940002,35557800,174.30132
"12",196.860001,205.559998,187.470001,205.559998,12339100,182.858928
"13",207.25,207.419998,183.509995,191.809998,15053300,171.811105
"14",192.050003,199.100006,172.380005,178.460007,16162400,159.853038
"15",181.399994,181.5,144.639999,164.75,27765700,148.797619
"16",164.720001,166.399994,140.220001,148.009995,20389300,133.678512
"17",146.809998,170.800003,137,157.789993,22546400,142.511535
"18",152.089996,172.529999,149.839996,172.039993,18619600,155.381738
"19",169.5,179.770004,165.089996,178.240005,11944000,162.278397
"20",183.649994,191.679993,175.179993,182,14427400,165.70168
"21",185.479996,202.089996,181.110001,199,14301900,181.179309
"22",198.020004,208.690002,191.880005,204.899994,12316400,187.973203
"23",207.699997,209.369995,184,191.580002,15297500,175.753576
"24",191.339996,193.240005,160.25,170.800003,48375500,156.690213
"25",168.070007,177.660004,162.710007,169.820007,23116200,157.22045
"26",169.809998,176.949997,163.850006,170.259995,16093200,157.627793
"27",170.759995,181.339996,166,176.369995,10028100,164.678866
"28",176.699997,185.460007,175.289993,178.300003,11590400,166.480938
"29",179.570007,192.080002,175.490005,189.679993,19971900,177.106577
"30",189.520004,198.880005,185.199997,197.039993,15133200,185.387207
"31",198.130005,209.910004,190.240005,206.710007,12960500,194.485344
"32",210.619995,238.619995,208.770004,236.279999,18800000,222.306591
"33",234.639999,247,231.660004,239.75,15648500,225.571379
"34",238.169998,259.570007,233.800003,256.880005,15220800,243.383038
"35",256.5,269.809998,241.039993,266.5,16656000,252.497581
"36",265.380005,298.140015,260.690002,279.200012,14778300,264.53031
"37",279.940002,282.910004,240.600006,256.850006,22636000,244.895711
"38",257.609985,288.820007,253,281.959991,15633400,268.837029
"39",286,288.320007,257.190002,260.320007,12053200,249.821939
"40",265,285.429993,259.420013,270.619995,13298000,259.706554
"41",270,311.320007,262.679993,300.809998,14141400,288.679068
"42",300.920013,309.850006,294.369995,302.75,9874400,292.136364
"43",302.5,323,291.670013,316.470001,12110500,305.375378
"44",315.380005,326,296,300.470001,16842600,289.936297
"45",297.049988,308.899994,284.779999,304.839996,14508600,294.153091
"46",300.76001,315.709991,295.709991,314.480011,15987400,305.373554
"47",316.119995,321.459991,292.200012,301,14659200,292.283886
"48",299.980011,307.359985,294.660004,304.899994,10901100,296.070947
"49",304.959991,321.140015,302.329987,319.600006,11194800,312.284828
"50",321.700012,331.899994,304.730011,304.730011,12712600,297.755186
"51",300.700012,337.649994,299.339996,330.529999,11798900,324.844274
"52",332.410004,336.880005,320.549988,328.320007,11617400,322.672299
"53",327.470001,342.220001,293.390015,341.109985,15645100,335.242266
"54",342.940002,360.839996,337.049988,359.079987,9018400,352.90315
"55",356.720001,368.640015,334.600006,357.559998,11055800,353.308292
"56",357.980011,362.040009,338.549988,340.51001,11510100,336.461043
"57",342.369995,382.839996,339.440002,371.420013,11207800,367.0035
"58",371.420013,380.98999,356.070007,365.839996,10626000,363.611207
"59",364.51001,378.799988,361.549988,363.940002,10973100,361.722789
"60",366.529999,372.950012,361.049988,365.779999,8600600,363.551575
"61",366.079987,367.269989,350.429993,355.609985,4614400,355.609985
