"","stock_data$FITB.Open","stock_data$FITB.High","stock_data$FITB.Low","stock_data$FITB.Close","stock_data$FITB.Volume","stock_data$FITB.Adjusted"
"1",13.18,14.2,12.28,12.29,201714100,10.983398
"2",12.22,13.81,11.26,12.71,301708800,11.358746
"3",12.95,13.58,10.64,11.04,267495800,9.866291
"4",11.25,12.62,11.22,12.03,215442100,10.760073
"5",12.15,13.09,11.85,12.56,285826700,11.234126
"6",12.64,13.93,11.71,11.95,271036100,10.688519
"7",12.12,15.11,11.99,14.68,295203400,13.139067
"8",14.83,15.15,14.06,14.87,399258400,13.309123
"9",15.01,15.75,14.16,14.6,254509800,13.067465
"10",13.97,14.3,13.25,13.89,339022500,12.485772
"11",14.12,14.15,12.69,13.27,220535300,11.928452
"12",13.32,13.46,12.25,13.06,288475200,11.739682
"13",13.02,13.02,11.88,12.75,298816700,11.516658
"14",12.74,13.09,11.71,12.65,276383000,11.426331
"15",12.79,12.92,9.13,10.62,434632500,9.592698
"16",10.62,11.02,9.31,10.1,311740900,9.19338
"17",10.06,12.74,9.6,12.01,420648200,10.93193
"18",11.52,12.53,10.89,12.09,308516000,11.004748
"19",12.08,13.08,11.67,12.72,230126800,11.651303
"20",13,14.16,12.78,13.01,293568000,11.916938
"21",13.1,14.1,13.05,13.61,202502000,12.466527
"22",13.66,14.73,12.88,14.05,298018000,12.943523
"23",13.92,14.67,13.56,14.23,260215700,13.109347
"24",14.24,14.55,13.07,13.35,243385600,12.29865
"25",13.1,13.44,12.04,13.4,259251100,12.421926
"26",13.54,14.37,13.07,13.82,182626500,12.811271
"27",13.88,15.24,13.5,15.14,197640100,14.034924
"28",15.02,15.95,14.89,15.51,210645200,14.470918
"29",15.37,16.16,14.36,14.53,236567200,13.556572
"30",14.51,14.89,13.75,14.64,175183900,13.659203
"31",14.69,15.31,14.05,15.2,185966200,14.275979
"32",15.46,16.629999,15.19,16.290001,234249500,15.299718
"33",16.360001,16.77,15.43,15.84,206798200,14.877073
"34",15.73,16.620001,15.57,16.309999,179576800,15.422259
"35",16.280001,17.040001,15.62,17.030001,201402100,16.103071
"36",17.030001,18.74,16.700001,18.200001,166728200,17.209389
"37",18.23,18.700001,17.33,18.049999,207326300,17.182873
"38",18.23,19.790001,18.049999,19.24,192997300,18.315706
"39",19.440001,19.73,18.15,18.290001,139557200,17.411345
"40",18.530001,18.809999,17.799999,18.049999,163623300,17.296353
"41",17.98,19.389999,17.49,19.040001,184147800,18.245019
"42",19.08,20.98,18.75,20.32,147239900,19.471574
"43",20.360001,21.139999,19.76,21.030001,131210300,20.267525
"44",20.940001,21.959999,20.809999,21.02,163532500,20.257888
"45",20.940001,21.860001,20.370001,21.700001,167254400,20.913234
"46",21.530001,23.9,21.41,22.959999,163784100,22.242298
"47",23.09,23.41,20.309999,20.610001,186326900,19.965758
"48",20.559999,20.950001,19.82,20.690001,170426300,20.043257
"49",20.790001,21.809999,20.549999,21.35,172510200,20.808739
"50",21.459999,21.790001,20.110001,20.48,206913600,19.960794
"51",20.4,20.610001,19.450001,20.41,131929400,19.892569
"52",20.41,21.200001,19.98,20.02,123530100,19.638156
"53",20.030001,20.190001,17.65,19.99,198132400,19.608728
"54",19.99,20.43,19.700001,20.120001,89019000,19.736249
"55",20.02,20.82,19.23,20.379999,157181200,20.118311
"56",20.41,20.530001,17.139999,17.299999,250856400,17.077859
"57",17.52,19.540001,17.41,19.360001,177304300,19.111409
"58",19.32,19.75,18.66,18.85,182850100,18.735545
"59",18.780001,20.209999,18.629999,20,138580400,19.878561
"60",20.08,20.969999,19.879999,20.24,131519000,20.117104
"61",20.24,21.450001,19.879999,21.290001,71279800,21.16073
