"","stock_data$LUV.Open","stock_data$LUV.High","stock_data$LUV.Low","stock_data$LUV.Close","stock_data$LUV.Volume","stock_data$LUV.Adjusted"
"1",12.07,12.45,11.06,11.11,108410600,10.822141
"2",11.05,12.39,10.42,12.05,160332400,11.737786
"3",12.14,12.32,10.76,11.05,108980500,10.768568
"4",11.2,14.16,11.17,13.07,147323900,12.737121
"5",13.23,13.95,12.59,13.76,124008800,13.409548
"6",13.86,14.32,13.19,13.32,95589500,12.980753
"7",13.48,13.61,12.31,12.98,120889800,12.654276
"8",13.03,13.59,11.81,11.85,129882100,11.552633
"9",11.94,12.58,11.41,11.83,170537800,11.533135
"10",11.89,12.88,11.54,12.63,194332900,12.318266
"11",12.74,12.87,11.3,11.75,189422000,11.459986
"12",11.89,12.44,11.37,11.83,221902500,11.538011
"13",11.81,11.92,10.68,11.42,190605100,11.142951
"14",11.44,11.65,9.61,9.96,141411400,9.718371
"15",10.06,10.17,7.81,8.62,329056100,8.416239
"16",8.6,8.98,7.79,8.04,235222800,7.849949
"17",8.02,9.28,7.15,8.55,211820400,8.347894
"18",8.32,8.63,7.37,8.38,182291100,8.181913
"19",8.3,8.71,8.12,8.56,140578300,8.362595
"20",8.72,9.78,8.22,9.58,122195700,9.359072
"21",9.7,10.05,8.67,8.98,101917800,8.777884
"22",9.02,9.11,8.03,8.24,178081900,8.05454
"23",8.22,8.5,7.76,8.28,182216400,8.093639
"24",8.25,9.14,8,9.03,211008800,8.826759
"25",8.9,9.42,8.58,9.22,225293800,9.022564
"26",9.3,9.82,8.45,9.19,202143000,8.993206
"27",9.19,9.53,8.81,8.94,175484900,8.758162
"28",8.93,9.32,8.75,8.77,120278700,8.591621
"29",8.78,9.17,8.68,8.82,137233000,8.640603
"30",8.82,9.58,8.7,9.53,133572500,9.336162
"31",9.58,10.61,9.42,10.24,134684300,10.042359
"32",10.45,11.62,10.36,11.21,187986900,10.993638
"33",11.29,11.9,11.15,11.7,127153100,11.47418
"34",11.66,13.58,11.66,13.48,140992100,13.230814
"35",13.47,13.77,12.45,13.7,158625600,13.446747
"36",13.71,14.56,13.4,14.17,174503900,13.908059
"37",14.18,14.28,12.79,12.89,150874500,12.687536
"38",12.96,14.02,12.58,13.83,119536000,13.612771
"39",13.91,14.24,12.64,12.81,119007600,12.64469
"40",12.97,14.82,12.73,14.56,124606400,14.372106
"41",14.58,17.34,14.48,17.219999,151855900,16.997778
"42",17.26,18.98,17.200001,18.59,150545200,18.350099
"43",18.620001,19,17.73,18.84,122877900,18.637169
"44",18.85,22.1,18.780001,20.950001,195636400,20.724454
"45",20.98,22.629999,20.23,22.440001,154461900,22.198412
"46",22.15,24.17,21.82,23.610001,148114800,23.397786
"47",23.73,24.450001,22.35,24.17,141600700,23.952752
"48",24.17,26.639999,23.85,26.450001,105610500,26.21226
"49",26.48,27.700001,25.469999,26.860001,140138400,26.679093
"50",27.18,29.700001,25.860001,28.280001,141101900,28.089529
"51",28.209999,32.43,27.42,32.009998,102523100,31.856422
"52",32.080002,35.490002,32.029999,33.77,150320300,33.60798
"53",32.970001,35.349998,28.4,34.48,278862100,34.314573
"54",34.549999,42.419998,34.470001,41.82,150411100,41.619358
"55",42.240002,43.189999,38.73,42.32,193797600,42.177026
"56",42.689999,47.169998,38.259998,45.18,187090400,45.027365
"57",44.939999,45.490002,42.189999,43.240002,150631800,43.09392
"58",43.240002,46.5,42.209999,44.299999,133228800,44.210323
"59",44.07,44.189999,40.099998,40.560001,140859800,40.477896
"60",40.830002,43.450001,35.540001,37.049999,185917900,36.974999
"61",37.110001,38.299999,33.82,34.450001,113289200,34.450001
