"","stock_data$TGT.Open","stock_data$TGT.High","stock_data$TGT.Low","stock_data$TGT.Close","stock_data$TGT.Volume","stock_data$TGT.Adjusted"
"1",53.07,54.84,48.23,49.169998,102595600,43.510653
"2",48.990002,52.990002,48.299999,51.32,128499200,45.413195
"3",51.59,53.700001,49.369999,51.16,133602500,45.494935
"4",51.619999,55.279999,51.619999,53.439999,99388700,47.522464
"5",53.779999,55.080002,51.650002,51.939999,112940900,46.188562
"6",52.380001,57.450001,51.93,56.939999,124484300,50.871332
"7",57.599998,60.650002,57.25,60.130001,93733200,53.721344
"8",60.259998,60.970001,53.860001,54.830002,168323900,48.986219
"9",54.650002,55.529999,50,52.549999,171292100,47.166016
"10",52.689999,52.98,49.029999,50.009998,176080900,44.88625
"11",50.07,51.130001,49.02,49.099998,124969600,44.069483
"12",49.34,52.119999,48.509998,49.529999,160359300,44.672198
"13",49.610001,49.630001,45.650002,46.91,154391900,42.309163
"14",47.049999,52.130001,46.84,51.490002,139826700,46.439968
"15",51.669998,52.259998,45.279999,51.669998,213161300,46.89285
"16",52.18,53.389999,48.360001,49.040001,150933900,44.506009
"17",48.68,56,47.619999,54.75,128732900,49.68809
"18",53.240002,54.990002,51.119999,52.700001,141410600,48.099526
"19",52.77,54.299999,51.110001,51.220001,100749900,46.748724
"20",51.889999,51.91,47.25,50.810001,152735400,46.374515
"21",51.209999,56.919998,51.009998,56.689999,127717000,52.038978
"22",56.59,58.950001,56.119999,58.27,105585500,53.489352
"23",58.349998,58.619999,56.209999,57.939999,86701800,53.186424
"24",57.419998,58.459999,54.68,57.91,118775100,53.44816
"25",57.220001,59.400002,56.849998,58.189999,106499400,53.706586
"26",58.34,62.18,56.700001,60.650002,112913800,55.977051
"27",60.880001,64.989998,60.119999,64.089996,90631800,59.492827
"28",64,65.800003,62.450001,63.470001,67920600,58.917304
"29",63.18,64.410004,61.220001,63.75,79860700,59.177219
"30",62.970001,64.5,61.02,63.130001,103388100,58.941191
"31",63.099998,63.200001,58.299999,59.169998,96358400,55.243943
"32",58.57,62.130001,58.009998,60.41,101529500,56.401668
"33",60.939999,64.300003,60.330002,62.959999,126029600,59.119815
"34",63.220001,69.839996,63.220001,68.449997,98653600,64.274956
"35",68.300003,70.989998,67.400002,70.559998,78273100,66.256259
"36",70.449997,71.910004,67.580002,69.5,113918200,65.599541
"37",69.5,72.769997,67.839996,68.860001,93480800,64.99546
"38",69.190002,73.5,68.959999,71.25,65991000,67.251328
"39",71.690002,72.07,63.049999,63.310001,109933700,60.13398
"40",63.540001,65.589996,62.790001,63.98,80120600,60.770367
"41",63.939999,66.110001,62.029999,64.790001,99853100,61.539733
"42",64.889999,67.25,63.32,63.93,101405200,61.115756
"43",63.98,63.990002,61.259998,63.27,123385300,60.48481
"44",63.529999,64.169998,55.959999,56.639999,140607500,54.146666
"45",56.860001,62.880001,54.66,62.540001,168844000,60.242527
"46",61.939999,62.549999,58.599998,60.509998,99158500,58.287099
"47",60.740002,62.48,58.580002,61.75,90155900,59.481548
"48",61.849998,62.639999,55.25,56.759998,154043300,55.078744
"49",56.900002,59.32,56.290001,57.950001,101332000,56.233498
"50",58.389999,61.630001,57.950001,59.59,94866700,57.82492
"51",59.32,61.5,57.259998,60.07,108250800,58.816208
"52",60.279999,64.650002,59.98,62.68,84071300,61.371732
"53",62.68,63.450001,58.720001,61.82,97214500,60.529682
"54",61.82,74.760002,60.98,74,126509200,73.012726
"55",73.339996,76.650002,71.980003,75.910004,96591800,74.897247
"56",76.110001,77.75,72.739998,73.610001,114834000,72.627929
"57",73.190002,78.400002,71.900002,76.830002,84704600,76.32126
"58",76.830002,82.809998,75.080002,82.07,116613900,81.52656
"59",81.830002,83.980003,78.389999,78.830002,83013000,78.308016
"60",78.699997,81.370003,76.459999,79.32,98956700,79.32
"61",79.5,80.75,78.25,79.669998,32865900,79.669998
