"","stock_data$FDO.Open","stock_data$FDO.High","stock_data$FDO.Low","stock_data$FDO.Close","stock_data$FDO.Volume","stock_data$FDO.Adjusted"
"1",38.740002,39.830002,37.68,37.689999,38644300,35.37581
"2",37.5,42.259998,35.310001,41.349998,89570700,38.811084
"3",42.060001,44.029999,41.169998,42.790001,44018000,40.16267
"4",43.02,45.099998,42.150002,44.16,54255400,41.599911
"5",44.32,46.630001,43.919998,46.169998,50166800,43.493384
"6",46.330002,51.130001,46.169998,50.200001,40214100,47.289755
"7",50.630001,51.810001,48.630001,49.709999,29829900,46.974482
"8",50.060001,50.790001,42.200001,42.48,62743900,40.142346
"9",42.73,55.619999,41.310001,50.080002,70851800,47.324124
"10",49.830002,53.18,49.25,51.32,38252500,48.668845
"11",51.740002,54.41,51.119999,54.209999,15228500,51.409549
"12",54.389999,56.919998,51.240002,55.740002,17846200,52.860513
"13",55.169998,55.57,51.259998,52.560001,30331900,50.016734
"14",52.830002,55.25,52.18,53.110001,20373500,50.54012
"15",53.349998,53.779999,44.419998,53.389999,41410700,50.80657
"16",53.380001,55.889999,49.41,50.860001,33857000,48.570654
"17",50.66,60.529999,49.169998,58.630001,31433500,55.990906
"18",57.700001,59.470001,54.849998,59.419998,16882700,56.745343
"19",59.349998,59.990002,56.279999,57.66,14211200,55.237273
"20",58.490002,58.490002,53.029999,55.799999,28062100,53.455425
"21",55.48,58.459999,53.259998,53.990002,27020800,51.721479
"22",54.400002,64.080002,54.029999,63.279999,33059500,60.844439
"23",62.84,69.5,62.540001,67.550003,37934000,64.950096
"24",67.330002,70,63.830002,67.75,27974100,65.142396
"25",67.150002,74.730003,64.989998,66.480003,44641400,64.115229
"26",66.190002,71.019997,63.509998,66.080002,38365100,63.729456
"27",66.360001,67.120003,61.259998,63.639999,28453600,61.376247
"28",63.48,66.580002,62.560001,66.300003,25915600,64.155245
"29",66.25,70.169998,63.860001,65.959999,40003800,63.82624
"30",65.93,72.540001,64.940002,71.199997,25225000,68.896728
"31",71.25,71.25,61.900002,63.41,33280200,61.558597
"32",63.689999,64.400002,54.93,56.700001,57214000,55.044512
"33",57.110001,59.43,54.060001,57.549999,39506300,55.869693
"34",57.560001,62.540001,57.139999,59.049999,25170800,57.581466
"35",59.150002,64.150002,57.5,61.369999,38983300,59.843769
"36",61.27,65.82,60.580002,61.150002,22355900,59.629242
"37",61.130001,64.389999,59.299999,62.310001,27836100,61.011272
"38",62.580002,70.339996,62.5,68.760002,39137300,67.326835
"39",68.970001,74.440002,68.849998,71.190002,25460800,69.706187
"40",71.690002,75.290001,68.139999,72.019997,23053000,70.772616
"41",72,72.989998,67.400002,68.879997,32968700,67.687001
"42",69.010002,71.75,66.940002,69.769997,17745600,68.561586
"43",69.730003,70.010002,62.84,64.970001,24645900,64.099712
"44",65.040001,68.57,60.889999,61.82,61397300,60.991905
"45",61.82,67.75,59.669998,65.5,27613900,64.622611
"46",65.199997,66.129997,57.279999,58.009998,40539900,57.518737
"47",58.150002,60.200001,55.689999,58.75,49294800,58.252472
"48",58.740002,59.029999,55.639999,58.599998,22176100,58.10374
"49",58.700001,70.300003,58.209999,66.139999,47639100,65.88
"50",66.18,76.82,59.810001,74.75,85875100,74.456154
"51",74.879997,80.199997,74.879997,79.830002,67758800,79.516186
"52",80.379997,80.970001,77.099998,77.239998,36017300,77.239998
"53",77.260002,78.389999,75.440002,78.290001,26396400,78.290001
"54",78.279999,79.510002,77.5,79.050003,18212600,79.050003
"55",79.040001,79.889999,78.470001,79.209999,21076500,79.209999
"56",79.169998,79.339996,74.650002,76.099998,79268600,76.099998
"57",76.510002,79,76.269997,78.739998,18200200,78.739998
"58",78.989998,80.080002,78.43,79.239998,18170100,79.239998
"59",79.129997,80.599998,78.050003,78.139999,20344500,78.139999
"60",78.269997,79.18,77.470001,77.519997,20436300,77.519997
"61",77.809998,78.949997,77.629997,78.5,9002200,78.5
