"","stock_data$STX.Open","stock_data$STX.High","stock_data$STX.Low","stock_data$STX.Close","stock_data$STX.Volume","stock_data$STX.Adjusted"
"1",14.88,15.71,13,13.04,187939700,11.140101
"2",13,15.28,12.28,12.55,309149100,10.721493
"3",12.85,13.04,9.84,10.14,326938100,8.662625
"4",10.41,12.12,10.39,11.78,298598600,10.06368
"5",11.94,16.33,11.29,14.71,497085900,12.566786
"6",14.82,15.32,13.15,13.41,273981200,11.456193
"7",13.6,15.39,13.58,15.03,192085100,12.840162
"8",15.2,15.33,12.9,14,225532800,11.960231
"9",14.07,14.66,12.26,12.7,171706600,10.849638
"10",12.62,14.75,12.26,14.41,276001400,12.310495
"11",14.52,18.35,14.25,17.620001,320166200,15.205196
"12",17.66,17.9,16.35,16.799999,179951900,14.497575
"13",16.84,16.860001,14.14,16.16,238140200,13.945287
"14",16.18,17.17,13.86,13.89,225675800,11.986389
"15",14.11,14.25,9.96,11.58,264100300,10.131124
"16",11.65,12.16,10.18,10.28,139913800,8.993778
"17",10.22,16.950001,9.05,16.15,266948500,14.12933
"18",15.74,18.6,15.15,17.1,240098500,15.129089
"19",17.280001,17.700001,15,16.4,158200700,14.509769
"20",16.799999,21.23,16.209999,21.139999,245758400,18.703446
"21",23.59,27.780001,23.559999,26.26,286692100,23.457153
"22",26.440001,28.629999,25.93,26.959999,203050000,24.082438
"23",27.01,31.49,24.870001,30.76,300242000,27.711054
"24",30.860001,32.549999,22.889999,23.43,295167600,21.107607
"25",22.82,24.85,21.620001,24.73,318024400,22.27875
"26",24.690001,30.74,23.860001,30.02,224313600,27.044403
"27",30.139999,35.709999,29.450001,32.009998,237522600,29.118747
"28",32,32.900002,29.16,30.959999,198530400,28.163587
"29",31.26,31.49,26.75,27.33,177053400,24.861462
"30",27.34,30.35,24.9,25.1,192418400,23.082338
"31",25.35,30.889999,25.16,30.42,177563300,28.345732
"32",31.59,37.939999,30.82,33.98,195763100,31.662983
"33",34.380001,36.830002,30.26,32.16,106624800,29.967085
"34",32.029999,36.950001,31.549999,36.560001,102898100,34.067061
"35",36.860001,37.900002,33.220001,36.700001,114353400,34.197514
"36",36.799999,44.439999,36.41,43.080002,132716100,40.522692
"37",43.150002,45.5,40.68,44.830002,78268400,42.168809
"38",45.490002,47.82,40.200001,40.91,91276500,38.481506
"39",41.119999,41.93,37.169998,38.32,65949800,36.381627
"40",38.77,44.48,38.380001,43.759998,72436000,41.54645
"41",43.689999,50.66,43.52,48.689999,96479900,46.227072
"42",48.709999,50.220001,46.990002,49.040001,62264600,46.976118
"43",49.029999,57.07,48.66,56.16,66074600,53.796467
"44",55.93,62.759998,50.5,52.860001,88543800,50.63535
"45",53.009998,53.41,48.209999,52.189999,63819800,50.435147
"46",51.75,56.75,48.599998,56.16,74411300,54.27166
"47",56.68,58.349998,51.380001,52.580002,64098600,50.812037
"48",51.900002,53.779999,48.490002,53.73,60203400,51.923366
"49",53.700001,57.25,53.099998,56.82,45805600,54.909467
"50",57.23,61.610001,57.200001,58.599998,51945300,56.629615
"51",58.380001,62.950001,56.049999,62.580002,40431400,60.932416
"52",62.900002,63.27,55.779999,57.27,58006800,55.762215
"53",57.060001,62.860001,50.439999,62.830002,77637000,61.175834
"54",62.93,66.68,61.209999,66.110001,50818000,64.919382
"55",65.809998,69.400002,62.869999,66.5,51190300,65.302357
"56",66.669998,67.209999,56.310001,56.439999,79538900,55.423533
"57",56.509998,62.610001,55.889999,61.119999,55198500,60.560596
"58",61.209999,63.389999,51.740002,52.029999,89317100,51.553793
"59",52.049999,59.610001,51.049999,58.720001,76336500,58.720001
"60",58.98,60.09,54.299999,55.639999,53986300,55.639999
"61",55.740002,56.119999,52.23,53.59,23571700,53.59
