"","stock_data$SNA.Open","stock_data$SNA.High","stock_data$SNA.Low","stock_data$SNA.Close","stock_data$SNA.Volume","stock_data$SNA.Adjusted"
"1",41.98,44.779999,40.759998,40.91,5810800,37.11329
"2",40.939999,46.139999,40.09,44.669998,8459900,40.524337
"3",45.380001,46.099998,39.23,41.23,10705900,37.671398
"4",41.759998,47.279999,41.700001,46.509998,5567500,42.495675
"5",46.740002,51.119999,46.099998,51,6310600,46.59814
"6",51.220001,53.990002,50.790001,52.93,5870100,48.662642
"7",53.709999,57.77,53.68,56.580002,6229400,52.018371
"8",57.119999,58.16,54.400002,56.630001,5261800,52.064339
"9",57,61.43,55,57.43,8450000,53.077005
"10",57.77,60.59,55.490002,60.060001,5512800,55.507661
"11",60.419998,62.509998,58.75,61.77,6212400,57.088048
"12",62.220001,62.220001,58.18,60.32,6107600,56.052173
"13",60.23,62.939999,55.139999,62.48,6804500,58.059346
"14",62.490002,64.360001,56.150002,56.860001,8185600,52.836979
"15",57.419998,57.580002,45.59,52.91,12772500,49.483465
"16",52.82,53.439999,44.110001,44.400002,10596300,41.524587
"17",43.889999,55.650002,41.740002,53.669998,9151200,50.194244
"18",51.150002,56.220001,47.91,51.299999,8918100,48.271965
"19",51.049999,53.040001,48.860001,50.619999,7985000,47.632103
"20",51.740002,56.900002,50.18,56.509998,8001500,53.174439
"21",56.900002,62.599998,56.52,61.130001,7605000,57.839437
"22",60.950001,62.380001,58.439999,60.970001,6469200,57.68805
"23",60.790001,63.77,57.459999,62.540001,7672600,59.173538
"24",62.450001,63.66,57.900002,60.509998,9069200,57.578163
"25",60.82,64.480003,56.880001,62.25,8613200,59.233858
"26",62.349998,70.849998,58.849998,67.779999,9528600,64.495917
"27",68,70.68,64.75,69.419998,6702300,66.38781
"28",69.419998,74.269997,68.32,71.870003,5409800,68.730802
"29",72.089996,78.269997,70.959999,77.330002,6173100,73.952314
"30",76.790001,80.449997,73.989998,79.440002,6134900,76.359899
"31",80,80.279999,76.919998,78.989998,4602000,75.927342
"32",80.720001,82.559998,78.620003,81.019997,4975100,77.878632
"33",81.82,82.690002,76.599998,80.269997,7386700,77.540082
"34",79.720001,82.839996,77.580002,82.699997,5777900,79.88744
"35",82.709999,86.239998,79.879997,86.199997,6433400,83.268408
"36",86.199997,93.260002,84.32,91.089996,6192000,88.353422
"37",91.260002,92.629997,86.019997,89.379997,5548300,86.694796
"38",89.830002,96.5,89.699997,94.849998,6179700,92.000465
"39",95.580002,99.050003,93.449997,93.599998,5513900,91.147913
"40",95.400002,101.669998,93.349998,99.5,4551400,96.893349
"41",99.980003,104.239998,94.529999,104.07,7311900,101.343627
"42",104.629997,107.540001,103.129997,106.150002,3794200,103.802843
"43",105.860001,109.739998,102.879997,109.519997,4643700,107.098322
"44",109.279999,109.669998,98.480003,100.150002,5732900,97.935513
"45",99.669998,112.610001,96.239998,112.169998,8346600,110.13665
"46",110.620003,115.510002,109.550003,113.480003,5696600,111.422908
"47",113.879997,117.889999,108.82,116,6193700,113.897224
"48",115.839996,117.489998,112.629997,117.269997,6496800,115.590493
"49",117.559998,119.57,115.830002,118.519997,5073700,116.822591
"50",118.660004,126.589996,117.360001,120.199997,7824900,118.47853
"51",120.18,126.599998,118.279999,124.949997,6179800,123.590929
"52",125.290001,127.32,120.43,121.080002,7227500,119.763027
"53",120.980003,135.699997,111.279999,132.139999,10246700,130.702727
"54",131.770004,137.830002,131.369995,135.330002,8647400,134.382575
"55",135,140.220001,131.380005,136.740005,5801300,135.782707
"56",136.850006,138.029999,131.100006,132.710007,6105400,131.780922
"57",131.199997,148.410004,129.139999,147.229996,8242600,146.733613
"58",147.850006,148.320007,140.839996,147.059998,7862200,146.564188
"59",146.880005,154.979996,145.279999,149.550003,7452400,149.045799
"60",149.860001,158.130005,149.580002,155.399994,4806700,155.399994
"61",155.539993,158.050003,154.179993,157.880005,1785800,157.880005
