"","stock_data$DLTR.Open","stock_data$DLTR.High","stock_data$DLTR.Low","stock_data$DLTR.Close","stock_data$DLTR.Volume","stock_data$DLTR.Adjusted"
"1",61.919998,64.460009,41.16,41.630001,57280200,20.815001
"2",41.720001,45.119999,40.900002,44.32,74187400,22.16
"3",44.779999,46,40.599998,45.27,81799000,22.635
"4",45.950001,50.099998,45.619999,48.759998,55399600,24.379999
"5",49.16,52.619999,47.959999,51.310001,53408600,25.655001
"6",51.5,57.990002,51.049999,54.950001,59169000,27.475
"7",55.470001,57.439999,54.639999,56.080002,50092200,28.040001
"8",56.66,57,50.09,50.580002,78602000,25.290001
"9",50.93,55.799999,48.509998,50.32,75288600,25.16
"10",50.389999,56.25,49.990002,55.52,57616200,27.76
"11",55.830002,58.5,55.209999,57.5,38339000,28.75
"12",57.73,64.470001,57.639999,63.740002,43588800,31.870001
"13",63.349998,67.989998,61.02,66.620003,55773400,33.310001
"14",67.019997,70.540001,64.559998,66.230003,41388800,33.115002
"15",66.769997,74.720001,60,71.43,94367200,35.715
"16",72.07,79.349998,69.25,75.139999,67859200,37.57
"17",74.57,82.489998,72.300003,79.959999,58086800,39.98
"18",79.269997,81.599998,72.080002,81.489998,57344000,40.744999
"19",81.129997,84.510002,80.400002,83.110001,116581600,41.555
"20",84.400002,86.639999,81.580002,84.800003,47905800,42.400002
"21",85.389999,89.980003,84.75,88.510002,41819400,44.255001
"22",88.790001,96.199997,88.300003,94.489998,39307600,47.244999
"23",94.580002,102.519997,93.040001,101.660004,33604600,50.830002
"24",101.870003,104.080002,92.699997,103.18,49637000,51.59
"25",102.370003,113.629997,50.689999,53.799999,49305000,53.799999
"26",53.43,54.720001,49.799999,50.34,42153600,50.34
"27",50.380001,53,38.400002,48.169998,52848600,48.169998
"28",48.049999,49.57,45.43,48.290001,50280200,48.290001
"29",48.310001,48.68,38.450001,39.869999,105585900,39.869999
"30",39.84,42.66,37.119999,41.740002,92123300,41.740002
"31",41.91,41.990002,37.470001,40.560001,76695900,40.560001
"32",41.07,41.529999,37.700001,39.990002,74323300,39.990002
"33",40.25,46.709999,38.43,45.189999,82484200,45.189999
"34",45.02,48.610001,43.68,48.43,51079700,48.43
"35",48.560001,48.849998,45.57,47.560001,44539900,47.560001
"36",47.639999,51.200001,47.57,48.040001,39333500,48.040001
"37",48.5,51.290001,47.990002,50.84,34259700,50.84
"38",50.66,55,50.459999,53.650002,28430600,53.650002
"39",53.810001,55.02,50.330002,52.700001,31667900,52.700001
"40",53.139999,58.689999,52.310001,57.16,31972000,57.16
"41",57.32,60.189999,57.07,58.400002,32124600,58.400002
"42",58.880001,60.110001,55.150002,55.650002,43911700,55.650002
"43",55.630001,56.880001,54.669998,56.419998,46799700,56.419998
"44",55.990002,57.41,49.66,50.52,66991500,50.52
"45",50.490002,56.389999,49.59,54.77,57880200,54.77
"46",54.450001,55.32,51.220001,52.18,38273600,52.18
"47",51.52,53.150002,50.150002,52.07,37272700,52.07
"48",52.34,54.5,49.689999,53.029999,41584500,53.029999
"49",52.990002,57.220001,52.669998,54.459999,34075800,54.459999
"50",54.41,59.84,53.759998,54.470001,85956600,54.470001
"51",54.560001,56.650002,53.169998,53.630001,66937100,53.630001
"52",53.869999,57.400002,53.779999,56.07,56267100,56.07
"53",55.830002,61,53.700001,60.57,54766700,60.57
"54",60.84,69.5,60.209999,68.360001,43338800,68.360001
"55",68.32,71.529999,66.849998,70.379997,44090300,70.379997
"56",70.940002,72.589996,65.199997,71.099998,96048400,71.099998
"57",71.220001,80.849998,70.279999,79.68,66722800,79.68
"58",79.5,84.220001,78.720001,81.150002,52997800,81.150002
"59",81.330002,84,76.139999,76.410004,43233000,76.410004
"60",76.370003,80.220001,74.510002,74.989998,49778000,74.989998
"61",74.650002,79.860001,74.650002,78.230003,18440200,78.230003
