"","stock_data$WYNN.Open","stock_data$WYNN.High","stock_data$WYNN.Low","stock_data$WYNN.Close","stock_data$WYNN.Volume","stock_data$WYNN.Adjusted"
"1",78.839996,89.639999,75.830002,76.269997,44681600,56.085179
"2",77,89.830002,73.120003,87.68,57590200,64.475531
"3",89,93.980003,80,80.610001,52870300,59.435078
"4",81.279999,95.879997,79.889999,86.769997,55997700,63.976944
"5",87.599998,109,85.800003,107.160004,68421100,79.010831
"6",108.870003,117.5,100.389999,101.099998,65532300,80.449989
"7",104.5,107.25,99.209999,103.839996,46383100,82.630333
"8",106.25,121.739998,106.080002,116.330002,44615200,92.569213
"9",117,129.600006,115.5,122.93,42117700,97.82114
"10",123.760002,132.25,116.389999,127.160004,47282500,101.187151
"11",130,149.800003,129.050003,147.149994,43972500,117.497306
"12",148.360001,151.729996,139.800003,146.520004,35994300,116.994267
"13",146.070007,149.800003,128.149994,143.539993,42250400,114.614768
"14",144.520004,172.580002,143.539993,153.679993,43094100,123.085271
"15",157.740005,158.270004,123.690002,154.720001,69379000,123.918234
"16",155.899994,161.330002,111.709999,115.080002,70485100,92.169794
"17",111.860001,142.199997,107.779999,132.800003,101803900,106.748773
"18",129.009995,136.699997,106.769997,120.559998,67669500,101.059832
"19",119.849998,121.660004,101.019997,110.489998,46012700,92.618621
"20",114.470001,123.269997,104.620003,115.230003,50356300,96.591947
"21",117.339996,121.580002,109.18,118.540001,62477600,99.817987
"22",120,132.589996,118.599998,124.879997,58059500,105.156655
"23",124.730003,136.630005,120.75,133.399994,37620400,112.331017
"24",132.800003,138.279999,98.260002,103.040001,56624200,87.180944
"25",99.800003,107.57,95.82,103.720001,45992900,87.756285
"26",102.599998,104.57,90.110001,93.75,49478100,79.749076
"27",95.389999,110,92.559998,103.169998,32705400,87.762261
"28",102.599998,116.470001,99.32,115.440002,34141900,98.199824
"29",116,121.540001,109.949997,121.059998,35991300,102.980511
"30",121.239998,123.639999,103.339996,112.400002,32120000,102.394949
"31",112.970001,115.690002,107.5,112.489998,26923900,102.476935
"32",116.370003,126.949997,115.879997,125.220001,28429000,114.073803
"33",123.989998,126.980003,113.389999,116.900002,29023500,107.359497
"34",116.949997,125.410004,115.120003,125.160004,20614600,114.945379
"35",125.230003,137.529999,114.410004,137.300003,30867400,126.094603
"36",136.869995,144.990005,135.550003,135.889999,26490600,125.706124
"37",136.199997,140.410004,121.839996,127.970001,30677600,118.379667
"38",129.279999,134.75,124.57,133.130005,26926300,123.152969
"39",135.259995,146.039993,134.350006,141.039993,22455200,131.415535
"40",142.300003,159.850006,140.5,158.009995,20043000,147.227517
"41",157.809998,173.380005,155.770004,166.25,29946500,154.905231
"42",166.960007,170.309998,157.479996,165.869995,25023900,158.339909
"43",165.570007,194.529999,161.880005,194.210007,26562300,185.393354
"44",194.139999,219.910004,189.029999,217.419998,39838500,207.549669
"45",216.059998,244,202.199997,242.490005,34001600,232.79014
"46",239.570007,249.309998,207.059998,222.149994,30385300,213.263751
"47",229.419998,231,188.429993,203.889999,44305900,195.734176
"48",205.220001,222.330002,195.089996,214.970001,50321700,207.645304
"49",215.229996,218.039993,193.5,207.559998,29500600,200.487782
"50",207.929993,220.5,198.5,213.199997,31850200,205.935609
"51",212.570007,214.570007,191.889999,192.880005,31207000,187.508854
"52",189.100006,190.449997,172.529999,187.080002,49244100,181.870364
"53",185,192.449997,168.800003,190.009995,41661300,184.718765
"54",189.960007,191.729996,174.899994,178.610001,29884900,176.099709
"55",177.029999,177.119995,133.580002,148.759995,46146700,146.669233
"56",148.589996,157.75,138.110001,147.949997,33246600,145.870619
"57",148.220001,160.410004,140.960007,142.5,37714100,141.873295
"58",142.5,145.399994,121.529999,125.879997,58712200,125.326386
"59",126.110001,136.929993,108.269997,111.07,56616800,110.581522
"60",111.639999,118.93,100.449997,100.690002,46004100,100.690002
"61",101.029999,109.949997,97.889999,103.220001,25245200,103.220001
