"","stock_data$AMD.Open","stock_data$AMD.High","stock_data$AMD.Low","stock_data$AMD.Close","stock_data$AMD.Volume","stock_data$AMD.Adjusted"
"1",7.78,9.19,7.3,7.32,397092300,7.32
"2",7.35,8.25,6.96,7.49,708138000,7.49
"3",7.63,7.77,5.53,5.61,670320000,5.61
"4",5.75,7.44,5.67,7.11,643928600,7.11
"5",7.2,7.68,6.77,7.34,602273500,7.34
"6",7.48,8.24,7.24,7.29,430132400,7.29
"7",7.41,8.43,7.37,8.18,345150800,8.18
"8",8.44,9.25,7.34,7.83,661252800,7.83
"9",8.1,9.58,8.03,9.21,559169900,9.21
"10",9.27,9.39,7.93,8.6,431229300,8.6
"11",8.61,9.14,8.01,9.1,349835500,9.1
"12",9.16,9.17,8.31,8.68,307639900,8.68
"13",8.65,8.68,6.72,6.99,468109800,6.99
"14",6.99,7.87,6.09,7.34,511986100,7.34
"15",7.54,7.58,5.6,6.83,582782600,6.83
"16",6.83,7.44,5.07,5.08,546673900,5.08
"17",5.03,6.05,4.31,5.83,489208600,5.83
"18",5.56,6,4.96,5.69,374278500,5.69
"19",5.61,5.84,4.82,5.4,246292700,5.4
"20",5.53,6.95,5.35,6.71,348780400,6.71
"21",6.83,7.68,6.8,7.35,315144700,7.35
"22",7.47,8.35,6.76,8.02,340485500,8.02
"23",8.03,8.24,7.21,7.36,346033400,7.36
"24",7.34,7.72,5.89,6.08,356499800,6.08
"25",5.9,6.14,5.32,5.73,305370800,5.73
"26",5.75,6.08,3.98,4.06,422901800,4.06
"27",4.09,4.47,3.6,3.72,378898100,3.72
"28",3.69,4.02,3.22,3.37,596182800,3.37
"29",3.39,3.41,2.03,2.05,673971900,2.05
"30",2.07,2.35,1.81,2.2,589473800,2.2
"31",2.28,2.59,2.21,2.4,505946700,2.4
"32",2.55,2.93,2.43,2.6,578923500,2.6
"33",2.63,2.84,2.44,2.49,288580100,2.49
"34",2.5,2.75,2.36,2.55,256612600,2.55
"35",2.54,2.82,2.26,2.82,405342300,2.82
"36",2.81,4.42,2.79,4,956205200,4
"37",4.02,4.21,3.81,4.08,432452200,4.08
"38",4.11,4.65,3.58,3.77,887955000,3.77
"39",3.81,3.87,3.25,3.27,436575700,3.27
"40",3.32,4,3.25,3.81,549781400,3.81
"41",3.82,4.13,3.04,3.34,909573300,3.34
"42",3.37,3.68,3.2,3.64,312102400,3.64
"43",3.65,3.88,3.48,3.87,313148800,3.87
"44",3.85,4.6,3.35,3.43,770422000,3.43
"45",3.43,3.77,3.29,3.71,317509100,3.71
"46",3.66,4.14,3.6,4.01,451073000,4.01
"47",4.04,4.35,3.65,4.09,592512300,4.09
"48",4.13,4.24,3.85,4,310712200,4
"49",4.03,4.5,3.9,4.19,431502500,4.19
"50",4.21,4.8,3.67,3.91,1077857900,3.91
"51",3.91,4.32,3.87,4.17,462572700,4.17
"52",4.16,4.25,3.4,3.41,372637400,3.41
"53",3.39,3.46,2.54,2.8,673401900,2.8
"54",2.81,2.91,2.59,2.79,213791000,2.79
"55",2.77,2.82,2.35,2.67,303878400,2.67
"56",2.67,2.84,2.14,2.57,435407400,2.57
"57",2.69,3.37,2.65,3.11,339475900,3.11
"58",3.13,3.23,2.53,2.68,269815500,2.68
"59",2.66,2.94,2.25,2.26,335187000,2.26
"60",2.26,2.39,2.2,2.28,209094700,2.28
"61",2.29,2.36,2.25,2.32,67391200,2.32
