"","stock_data$PX.Open","stock_data$PX.High","stock_data$PX.Low","stock_data$PX.Close","stock_data$PX.Volume","stock_data$PX.Adjusted"
"1",77.230003,83.269997,75.849998,75.989998,30541100,68.582262
"2",75.720001,87.410004,75.699997,86.82,36773400,78.356522
"3",87.739998,89.739998,84.519997,86.029999,35472400,77.643533
"4",87.18,91,85.239998,90.260002,33414600,81.884238
"5",90.860001,94.300003,88.599998,91.339996,28122100,82.864013
"6",91.800003,93.989998,90.040001,92.050003,25364800,83.508134
"7",93.010002,96.339996,92,95.470001,27991400,87.025485
"8",95.989998,95.989998,90.040001,93.040001,32542600,84.810423
"9",93.459999,99.379997,93.43,99.379997,29328900,90.589634
"10",99.779999,102.190002,94.480003,101.599998,33242900,93.088309
"11",101.989998,108.449997,99.980003,106.419998,28061000,97.504506
"12",106.910004,107.239998,101.709999,105.839996,27928400,96.973095
"13",105.459999,108.510002,99.550003,108.389999,33079000,99.793194
"14",108.260002,111.739998,100.849998,103.639999,31215600,95.419934
"15",103.980003,104.459999,88.639999,98.489998,61235300,90.678398
"16",98.550003,102.32,91.870003,93.480003,37817500,86.506269
"17",92.790001,106.449997,89.75,101.669998,41126300,94.085279
"18",99.510002,102.610001,93.459999,102,33044100,94.390662
"19",101.940002,107.82,100.190002,106.900002,33538500,99.41994
"20",108.519997,111.209999,103.529999,106.199997,28727300,98.768916
"21",106.690002,110.400002,105.68,109,23241100,101.372996
"22",109.699997,114.889999,106.5,114.639999,22792500,107.155594
"23",114.580002,116.93,109.620003,115.699997,22603400,108.146388
"24",115.870003,116.870003,104.860001,106.239998,29610500,99.303996
"25",103.470001,108.779999,101.919998,108.730003,23292800,102.171874
"26",108.900002,110.279999,100,103.760002,21773900,97.501642
"27",103.949997,109.589996,102.660004,105.5,23505200,99.136691
"28",105.260002,109.410004,103.290001,103.879997,20776400,98.132226
"29",104.230003,108.389999,102.790001,106.209999,22925500,100.333307
"30",106.160004,110.919998,104.279999,107.209999,24928200,101.277976
"31",107.690002,110.690002,104.980003,109.449997,19818200,103.934798
"32",110.940002,114.639999,109.379997,110.370003,24808900,104.808445
"33",111,113.529999,109.080002,113.050003,22790300,107.353399
"34",112.870003,114.529999,110.580002,111.540001,22195600,106.485397
"35",111.82,114.669998,107.690002,114.300003,29404000,109.120325
"36",114.110001,116.900002,112.660004,114.330002,22987800,109.148964
"37",114.529999,120.160004,112.779999,115.160004,28891100,110.509719
"38",116.099998,121.82,113.199997,120.169998,31484300,115.317405
"39",121.620003,121.860001,115.790001,117.400002,21149200,112.659263
"40",118.760002,124.410004,116.379997,120.209999,21199000,115.948019
"41",119.879997,128.119995,117.540001,124.709999,18357900,120.288474
"42",125.169998,127.339996,123.269997,126.260002,16923100,121.783523
"43",126.110001,130.580002,122.339996,130.029999,19789000,126.028487
"44",129.139999,134.229996,123.610001,124.720001,29075000,120.881898
"45",124.870003,131.149994,121.220001,130.369995,24828400,126.35802
"46",129.710007,135.240005,128.550003,130.970001,26014000,127.572561
"47",132.559998,133.240005,126.470001,130.550003,25316300,127.163458
"48",130.830002,132.619995,129.380005,132.240005,16164400,128.809621
"49",132,134.839996,130.199997,132.839996,17932100,130.026282
"50",133.279999,133.649994,128.029999,128.139999,20194700,125.425837
"51",127.699997,131.979996,126.580002,131.550003,16852300,128.763613
"52",131.820007,134.059998,128.990005,129,24842800,126.891377
"53",128.809998,129.289993,117.32,125.989998,42571300,123.930576
"54",126.199997,131.179993,123.599998,128.380005,19770500,126.281516
"55",127.910004,132.949997,121.959999,129.559998,22938100,128.090398
"56",129.639999,130.220001,119.919998,120.589996,26840200,119.222144
"57",121.080002,129.5,119.879997,127.900002,22502200,126.449232
"58",127.900002,130.380005,119.690002,120.739998,32474700,120.035502
"59",120.580002,124.989998,119.75,121.93,30495400,121.218561
"60",122.25,123.660004,117.190002,122.860001,26634300,122.143135
"61",123.010002,123.089996,120.57,123.010002,11837100,123.010002
