"","stock_data$DHR.Open","stock_data$DHR.High","stock_data$DHR.Low","stock_data$DHR.Close","stock_data$DHR.Volume","stock_data$DHR.Adjusted"
"1",77.309998,78.739998,37.009998,37.119999,54475400,36.591529
"2",37.27,38.939999,35.669998,38.41,96835400,37.863164
"3",38.860001,39.700001,35.240002,36.330002,76338900,35.812779
"4",36.720001,41.560001,36.720001,40.610001,70634000,40.051363
"5",40.950001,43.470001,39.529999,43.360001,73246700,42.763534
"6",43.57,45,42.43,43.25,62009800,42.655046
"7",43.91,47.59,43.869999,47.169998,57472200,46.540824
"8",47.509998,47.959999,45.630001,46.060001,61636400,45.445633
"9",46.439999,52.209999,46.25,50.599998,73633700,49.925073
"10",50.689999,52.369999,48.959999,51.900002,70933000,51.22772
"11",52.27,56.09,51.189999,55.240002,62647600,54.524456
"12",55.610001,55.82,52.82,54.529999,62879600,53.82365
"13",54.360001,54.459999,50.75,52.990002,96465600,52.323319
"14",52.959999,55.66,47.799999,49.110001,78965200,48.492134
"15",49.59,49.84,39.889999,45.810001,140995500,45.233653
"16",45.610001,46.91,41.360001,41.939999,106694800,41.43575
"17",41.73,50.970001,39.34,48.349998,96281600,47.768682
"18",47.029999,50.150002,44.389999,48.380001,69105400,47.798324
"19",48.43,49,45.060001,47.040001,68933400,46.498825
"20",48.040001,53.200001,47.5,52.509998,59687700,51.905892
"21",52.799999,53.709999,51.060001,52.830002,62317100,52.222214
"22",52.860001,56.049999,52.040001,56,53451300,55.380784
"23",56,56.450001,52.16,54.220001,57471400,53.620467
"24",54.02,55,51.32,51.970001,67454000,51.395346
"25",50.919998,53,49.18,52.080002,66951000,51.529734
"26",52.080002,53.41,49.279999,52.810001,67141400,52.252021
"27",53.110001,54.220001,52.200001,53.57,54139200,53.003989
"28",53.669998,56.110001,52.57,55.150002,62146000,54.592309
"29",55.150002,57.150002,50.630001,51.73,97337300,51.206891
"30",52,54.07,51.32,53.970001,79208200,53.424241
"31",54.400002,56.580002,52.82,55.900002,56086600,55.36058
"32",56.959999,61.490002,56.169998,59.93,74907900,59.351691
"33",60.310001,62.139999,59.860001,61.599998,48978600,61.005574
"34",61.25,62.900002,60.720001,62.150002,48109300,61.575489
"35",61.860001,62.119999,57.610001,60.939999,69165700,60.376671
"36",60.669998,64.389999,60.099998,61.82,59900400,61.248538
"37",61.860001,64.800003,59.650002,63.299999,64439700,62.740033
"38",63.740002,69.019997,63.16,67.339996,67046400,66.744292
"39",67.82,68.190002,64.779999,65.519997,42766100,64.940392
"40",66.129997,70.940002,65.610001,69.32,49018600,68.731702
"41",69.449997,72.82,66.830002,72.089996,57445800,71.478191
"42",72.279999,75.93,71.699997,74.800003,44855700,74.165199
"43",74.589996,77.389999,72.879997,77.199997,47054900,76.569755
"44",76.660004,78.800003,73.650002,74.389999,61465900,73.782698
"45",74.529999,77.540001,71.889999,76.489998,53295600,75.865553
"46",75.739998,77.559998,72.949997,75,50838800,74.487796
"47",75.080002,76.699997,71.75,73.379997,73108800,72.878857
"48",73.379997,79.040001,72.169998,78.43,62822000,77.894372
"49",78.599998,81.139999,77.830002,78.730003,51209200,78.291116
"50",79.160004,79.720001,73.290001,73.879997,78504500,73.468147
"51",73.900002,77.589996,73.019997,76.610001,54016800,76.182932
"52",76.669998,80,74.940002,75.980003,60011600,75.654164
"53",75.699997,80.690002,70.120003,80.400002,88771100,80.055207
"54",80.349998,83.959999,79.650002,83.559998,40983500,83.201651
"55",83.110001,87.489998,81.849998,85.709999,57923400,85.440571
"56",86.010002,86.519997,81.25,82.379997,66834500,82.121037
"57",82.440002,88.099998,81.599998,87.279999,45799300,87.005635
"58",87.209999,87.839996,83.879997,84.900002,58548700,84.766295
"59",84.779999,85.989998,81.589996,81.879997,65953900,81.751047
"60",82.089996,90.25,81.870003,86.32,96880400,86.184057
"61",86.5,87.440002,84.699997,86.019997,20704500,85.884526
