"","stock_data$FTR.Open","stock_data$FTR.High","stock_data$FTR.Low","stock_data$FTR.Close","stock_data$FTR.Volume","stock_data$FTR.Adjusted"
"1",7.78,8.13,7.07,7.11,88844300,4.578223
"2",7.09,7.84,6.96,7.64,526186500,4.919496
"3",7.71,7.9,7.5,7.73,302220600,4.977449
"4",7.78,8.3,7.51,8.17,277971700,5.388354
"5",8.19,8.91,8.16,8.78,204296500,5.790666
"6",8.82,9.42,8.65,9.1,223222300,6.001716
"7",9.16,9.78,9.07,9.73,203979700,6.547195
"8",9.79,9.84,9.06,9.17,185509500,6.170378
"9",9.2,9.55,7.68,8.49,190281700,5.712815
"10",8.58,8.58,7.73,8.22,379107800,5.662066
"11",8.21,8.3,7.92,8.27,197804000,5.696507
"12",8.29,8.97,8.16,8.85,275495400,6.09602
"13",8.8,8.83,7.71,8.07,239613800,5.686468
"14",8.08,8.23,7.25,7.49,201657900,5.277776
"15",7.61,7.62,6.29,7.49,436724700,5.277776
"16",7.5,7.5,6.09,6.11,300742000,4.420965
"17",6.09,6.4,5.33,6.26,226938300,4.5295
"18",6.1,6.2,5.22,5.72,354170700,4.138776
"19",5.69,5.85,4.79,5.15,321894400,3.851623
"20",5.34,5.37,3.81,4.28,416282300,3.200961
"21",4.28,4.8,3.98,4.58,574250800,3.425327
"22",4.58,4.59,3.97,4.17,296512300,3.19156
"23",4.27,4.44,4.02,4.03,220022700,3.084409
"24",4.05,4.06,3.06,3.74,410019900,2.862454
"25",3.68,4.02,3.3,3.83,250590500,3.016303
"26",3.87,4.05,3.59,3.92,195654400,3.087182
"27",4.1,4.88,4.05,4.62,270917100,3.638464
"28",4.63,5.15,4.53,4.92,174574400,3.9597
"29",4.96,4.98,4.54,4.73,189372100,3.806785
"30",4.71,4.82,4.14,4.81,206136900,3.87117
"31",4.82,4.88,4.09,4.28,279758800,3.518064
"32",4.53,4.62,4.3,4.57,186091300,3.756437
"33",4.57,4.68,3.89,4.14,252180500,3.402986
"34",4.15,4.24,3.71,3.99,184593500,3.361682
"35",3.97,4.24,3.82,4.16,147554000,3.504912
"36",4.13,4.43,3.97,4.15,204759900,3.496487
"37",4.2,4.27,3.8,4.05,192210800,3.496279
"38",4.05,4.4,3.91,4.36,190369500,3.763895
"39",4.38,4.76,4.33,4.33,209672600,3.737997
"40",4.41,4.56,4.09,4.18,190849200,3.691459
"41",4.24,4.5,4.16,4.41,130771900,3.894578
"42",4.36,5.02,4.36,4.68,206493400,4.133022
"43",4.68,4.94,4.39,4.65,231508900,4.19698
"44",4.65,4.97,4.62,4.68,183103400,4.224057
"45",4.7,5.15,4.4,4.88,216422000,4.404573
"46",4.83,5.74,4.67,5.71,257747500,5.260857
"47",5.7,6.1,5.41,5.95,265275300,5.481978
"48",5.94,6.09,5.44,5.79,231802400,5.334564
"49",5.81,5.9,5.44,5.84,183160700,5.473561
"50",5.84,7.24,5.62,6.55,282778200,6.139011
"51",6.5,6.86,6.28,6.79,208165700,6.363951
"52",6.79,6.85,6.24,6.51,185633700,6.19355
"53",6.49,6.55,5.62,6.54,184790600,6.222091
"54",6.53,7.15,6.2,7.05,166421200,6.7073
"55",7.04,7.12,6.16,6.67,210076600,6.4434
"56",6.68,6.94,6.36,6.72,148462500,6.491701
"57",6.75,8.46,6.74,7.98,365252200,7.708895
"58",7.94,8.02,7.05,7.05,216280000,6.906541
"59",7.11,7.5,6.73,6.86,151354000,6.720407
"60",6.91,6.91,4.9,5.15,356208600,5.15
"61",5.19,5.52,4.93,4.98,555613800,4.98
