"","stock_data$CMS.Open","stock_data$CMS.High","stock_data$CMS.Low","stock_data$CMS.Close","stock_data$CMS.Volume","stock_data$CMS.Adjusted"
"1",14.64,15.71,14.56,14.65,39503900,12.067848
"2",14.7,16.58,14.47,15.92,69694700,13.114004
"3",16.07,17.84,15.84,17.5,103942600,14.550496
"4",17.65,18.379999,17.43,18.02,90660100,14.982854
"5",18.190001,19.07,17.959999,18.379999,104314600,15.282177
"6",18.540001,18.700001,17.57,17.969999,73109400,15.111713
"7",18.219999,19.25,18.059999,18.6,73091200,15.641506
"8",18.700001,19.780001,18.5,19.5,66694100,16.398353
"9",19.639999,19.77,18.700001,19.26,60654300,16.371761
"10",19.32,19.92,18.450001,19.639999,64107800,16.694775
"11",19.75,19.860001,18.700001,19.799999,78642000,16.830781
"12",19.83,20.459999,19.58,19.940001,55925600,17.130196
"13",19.99,20,19.139999,19.690001,50140900,16.915424
"14",19.73,20.219999,19.09,19.139999,40991300,16.442926
"15",19.59,19.780001,16.959999,19.700001,97586500,17.113868
"16",19.73,20.83,18.639999,19.790001,74852700,17.192053
"17",19.74,21.58,18.620001,20.82,76679000,18.086838
"18",20.33,21.209999,19.57,20.92,55322100,18.363964
"19",20.860001,22.370001,20.4,22.08,42946900,19.382233
"20",22.32,22.4,21.25,21.83,55287500,19.162778
"21",21.969999,22.200001,21.209999,21.41,60222300,19.002244
"22",21.440001,22.35,21.120001,22,53072700,19.525893
"23",21.969999,23,21.35,22.99,62334000,20.404558
"24",23.08,23.389999,22.309999,23.299999,71758500,20.895483
"25",23.219999,23.98,22.889999,23.5,55267200,21.074844
"26",23.559999,24.98,23.4,24.66,37626200,22.115134
"27",24.32,24.74,22.610001,23.07,53841300,20.892552
"28",23.08,23.74,22.879999,23.549999,42486600,21.327247
"29",23.540001,24.370001,23.370001,24.32,30434400,22.245001
"30",24.389999,24.450001,22.559999,24.43,58984100,22.345617
"31",24.450001,24.85,23.93,24.379999,44312700,22.299882
"32",24.74,25.74,24.6,25.700001,43223300,23.50726
"33",25.790001,26.790001,25.43,26.610001,38296500,24.581922
"34",26.610001,27.950001,25.99,27.940001,53957500,25.810556
"35",27.940001,29.940001,27.67,29.940001,50457300,27.658126
"36",29.98,29.98,26.790001,26.950001,44479400,25.10987
"37",26.969999,27.719999,25.76,27.17,55430500,25.314848
"38",26.959999,28.82,26.290001,27.99,72445600,26.314554
"39",28.17,28.620001,26.4,26.530001,41574200,24.941948
"40",26.700001,27.059999,25.74,26.32,63509400,24.744518
"41",26.34,28.290001,25.809999,27.459999,86723700,26.053894
"42",27.559999,27.809999,26.469999,26.540001,55034100,25.181005
"43",26.530001,27.09,25.9,26.77,49540100,25.399227
"44",26.799999,27.809999,25.950001,27.790001,54552200,26.366998
"45",27.75,28.83,26.82,28.43,39105400,27.243968
"46",28.290001,29.440001,27.620001,29.280001,41467700,28.058508
"47",29.33,30.530001,28.93,30.309999,65687100,29.308613
"48",30.299999,30.43,28.700001,29.75,54079600,28.767115
"49",29.76,31.23,28.969999,31.15,46925700,30.120862
"50",31.18,31.200001,28.870001,28.93,50494800,28.226226
"51",28.85,30.540001,27.9,30.540001,43997800,29.79706
"52",30.559999,30.83,29.15,29.66,47918000,28.938467
"53",29.65,32.91,29.59,32.669998,61078700,31.875242
"54",32.73,33.459999,32.049999,33.099998,38408500,32.562829
"55",32.970001,36.869999,32.790001,34.75,45544800,34.186054
"56",34.900002,38.66,34.650002,37.73,45437600,37.117692
"57",37.810001,38.119999,34.279999,35.130001,51440400,34.826796
"58",35.060001,35.880001,32.799999,34.91,77903100,34.608694
"59",34.860001,35.830002,33.619999,33.93,56612900,33.637153
"60",34.060001,34.599998,32.630001,34.139999,59269400,34.139999
"61",34.119999,34.27,31.440001,32.119999,28736200,32.119999
