"","stock_data$UPS.Open","stock_data$UPS.High","stock_data$UPS.Low","stock_data$UPS.Close","stock_data$UPS.Volume","stock_data$UPS.Adjusted"
"1",59.799999,63.490002,56.700001,56.889999,76304100,49.317206
"2",57.459999,65.349998,56.470001,65,102326300,56.347661
"3",65.730003,67.720001,62.610001,63.799999,95335100,55.708916
"4",64.839996,69.5,64.400002,66.690002,91598800,58.23241
"5",67.160004,70,65.440002,67.339996,95658300,58.799972
"6",67.379997,70.650002,66.900002,70.129997,77606700,61.656186
"7",70.970001,73.940002,70.870003,72.580002,76620000,63.810156
"8",73.18,73.889999,70.349998,71.620003,75609800,62.966154
"9",74,77,72.830002,73.800003,90685100,65.338308
"10",73.760002,74.949997,70.209999,74.32,109112500,65.798684
"11",74.989998,75.339996,71.480003,74.970001,66257700,66.374158
"12",75.339996,75.580002,72.290001,73.489998,81672900,65.520253
"13",73.510002,73.68,68.129997,72.93,100324800,65.020986
"14",73.089996,75.800003,68.360001,69.220001,91426500,61.713323
"15",69.860001,69.860001,60.740002,67.389999,167215000,60.565706
"16",67.330002,68.419998,61.119999,63.150002,141924800,56.755074
"17",63.110001,72.040001,61.27,70.239998,102705600,63.127097
"18",69.199997,71.800003,66.459999,71.75,88836500,64.956269
"19",71.57,73.809998,70.379997,73.190002,84150800,66.259923
"20",74.010002,76.93,72.150002,75.650002,85746400,68.486994
"21",76.370003,77.550003,75.459999,76.989998,78929000,70.221766
"22",77.150002,81.790001,75.379997,80.720001,85082700,73.623863
"23",80.309998,80.970001,76.559998,78.139999,72470800,71.27067
"24",78.139999,78.910004,73.559998,74.940002,77808800,68.860743
"25",74,78.760002,72.150002,78.760002,69290700,72.370858
"26",78.230003,80.529999,73.510002,75.610001,81493600,69.47639
"27",75.809998,76.879997,73.57,73.809998,55741400,68.331006
"28",73.57,75.25,71.18,71.57,124613800,66.257285
"29",72.089996,74.139999,71.019997,73.25,78419400,67.812577
"30",73.379997,74.5,69.559998,73.110001,69382800,68.236236
"31",73.5,76.199997,71.959999,73.730003,71280400,68.814907
"32",75.089996,82.760002,75.019997,79.290001,88022700,74.004256
"33",79.199997,84.870003,79,82.650002,76390200,77.71518
"34",82.550003,85.93,82.279999,85.900002,69668200,80.77113
"35",85.809998,86.459999,81.949997,85.839996,76190400,80.714708
"36",85.82,89.959999,84.650002,85.900002,80502400,81.337565
"37",85.870003,87.82,84.199997,86.480003,64818600,81.886761
"38",86.919998,91.779999,85.25,86.800003,85446700,82.189765
"39",87.370003,88.690002,85.18,85.580002,55845500,81.61318
"40",86.230003,92.120003,85.699997,91.370003,53471600,87.134801
"41",91.43,98.989998,88.449997,98.239998,73626200,93.686357
"42",98.279999,103.040001,97.75,102.379997,63275300,98.237258
"43",102.139999,105.370003,100.650002,105.080002,59003800,100.828009
"44",104.629997,104.910004,94.019997,95.230003,84589700,91.376584
"45",95.099998,97.910004,93.190002,95.769997,67875300,92.546185
"46",95.260002,99.07,94.809998,97.379997,60629200,94.10199
"47",97.739998,99.849998,95.449997,98.5,66424800,95.184291
"48",98.5,104.18,97.339996,103.879997,50197800,101.046668
"49",104.129997,104.300003,100.519997,102.660004,50431800,99.859949
"50",103.400002,105.089996,97.019997,97.089996,50710300,94.441864
"51",96.669998,99.160004,94.870003,97.330002,59857200,95.336419
"52",97.629997,100.389999,96.510002,98.290001,59222800,96.276754
"53",98.440002,105.839996,94.050003,104.910004,83362000,102.761162
"54",104.910004,111.089996,104.660004,109.919998,69899200,108.336796
"55",110.300003,113.099998,106.470001,111.169998,72304300,109.568792
"56",111.269997,114.400002,98.290001,98.839996,92891200,97.416382
"57",99,102.82,98.339996,101.730003,56856300,100.983116
"58",101.730003,102.370003,96.32,96.940002,64639800,96.228282
"59",96.489998,101.980003,94.879997,100.529999,73885900,99.791921
"60",100.949997,102.839996,98.580002,99.220001,63546700,99.220001
"61",99.769997,101.400002,98.57,100.459999,22374200,100.459999
