"","stock_data$COL.Open","stock_data$COL.High","stock_data$COL.Low","stock_data$COL.Close","stock_data$COL.Volume","stock_data$COL.Adjusted"
"1",55.509998,59.59,52.950001,53.130001,16843500,48.724027
"2",53.27,58.380001,51.849998,57.16,22097200,52.419825
"3",58.07,59,51.869999,53.93,21725300,49.670675
"4",54.700001,59.400002,54.700001,58.25,22273600,53.649486
"5",58.540001,62.25,57.419998,60.509998,15949300,55.730993
"6",60.400002,60.860001,54.099998,56.060001,30824800,51.840646
"7",56.98,59.009998,56.900002,58.259998,17432300,53.87506
"8",58.689999,65.330002,57.869999,64.139999,33061800,59.312503
"9",64.559998,67.290001,63.119999,64.440002,22647800,59.80415
"10",64.699997,65,60.549999,64.830002,20191300,60.166093
"11",65.110001,65.449997,61.389999,63.099998,19808900,58.560547
"12",63.349998,64.900002,59.630001,61.130001,18675600,56.947268
"13",61.009998,62,58.57,61.689999,22184400,57.468949
"14",61.860001,62.82,53.77,55.09,28859400,51.320546
"15",55.470001,55.470001,43.82,50.459999,54172700,47.260016
"16",50.419998,57.68,45.25,52.759998,55159200,49.414157
"17",52.52,57.34,50.040001,55.830002,36466900,52.289473
"18",54.060001,56.349998,50.889999,54.900002,23868800,51.638698
"19",54.950001,56.189999,52.900002,55.369999,22196900,52.080776
"20",56.41,61.459999,55.32,57.889999,25053700,54.451077
"21",58.369999,60.529999,57.950001,59.290001,15534100,55.997725
"22",59.360001,59.66,56.5,57.560001,17693600,54.36379
"23",57.560001,58.939999,54.849998,55.889999,28109500,52.78652
"24",55.82,56.049999,49.970001,50.369999,25083800,47.843491
"25",49.619999,51.380001,46.779999,49.349998,29816200,46.874653
"26",49.619999,51.09,46.369999,50.57,23463500,48.03346
"27",50.889999,51.509998,48.169998,48.869999,20018900,46.693939
"28",48.919998,54.34,48.080002,53.639999,19669100,51.251543
"29",53.860001,55.84,52.240002,53.580002,20392800,51.194217
"30",53.790001,57.389999,53.18,57.18,25482500,54.93154
"31",57.259998,59.02,55.290001,58.169998,18453000,55.882609
"32",59.27,61.84,58.610001,58.880001,20971500,56.564692
"33",59.139999,60.799999,57.75,60.110001,15570100,58.038961
"34",59.82,64.160004,58.779999,63.119999,17931600,60.945252
"35",62.939999,63.93,58.790001,62.919998,19176500,60.752142
"36",62.650002,67.580002,62.439999,64.75,13163000,62.807332
"37",64.93,65.790001,61.130001,63.41,13682600,61.507535
"38",63.599998,71.830002,62.439999,71.169998,14717400,69.034714
"39",71.589996,75.25,70.5,70.769997,18275500,68.923551
"40",71.199997,75.050003,67.68,67.860001,18814400,66.089479
"41",68.120003,72.459999,65.760002,69.830002,19944500,68.008081
"42",70.029999,73.43,69.510002,72.730003,13549800,71.131837
"43",72.730003,74.43,70.580002,73.919998,11716600,72.295683
"44",74,79.589996,72.949997,75.559998,22923000,73.899645
"45",75.669998,83.800003,73.510002,82.540001,18530500,81.050861
"46",82.019997,84.059998,78.290001,79.669998,16048300,78.232637
"47",79.849998,81.470001,75.790001,77.650002,13083600,76.249084
"48",77.599998,80.239998,75.839996,79.040001,14753500,77.906856
"49",79.019997,80.559998,77.730003,78.139999,11436700,77.019757
"50",78.349998,80.550003,72.910004,73.269997,15968900,72.219573
"51",73.309998,77.559998,71.889999,76.980003,14192400,76.19197
"52",76.970001,81.900002,76.260002,78.5,14239700,77.696407
"53",78.139999,84.949997,72.349998,84.150002,21804800,83.28857
"54",84.370003,86.199997,83.309998,85.529999,16909600,84.953468
"55",85.440002,86.599998,81.25,84.480003,20634900,83.91055
"56",84.82,88,83,85.620003,22369000,85.042865
"57",85.900002,91.709999,84.709999,89.080002,13940500,88.782108
"58",89.080002,97.489998,88.830002,96.550003,18784700,96.227128
"59",96.120003,99.190002,94.300003,97.330002,15508400,97.004519
"60",97.57,99.370003,94.720001,95.190002,14879000,95.190002
"61",95.25,95.720001,92.470001,94.059998,6785900,94.059998
