"","stock_data$PH.Open","stock_data$PH.High","stock_data$PH.Low","stock_data$PH.Close","stock_data$PH.Volume","stock_data$PH.Adjusted"
"1",59.630001,63.549999,55.18,55.459999,31671900,50.686127
"2",55.700001,63.290001,54.259998,62.119999,42530800,56.772849
"3",63.360001,66.25,58.709999,59.16,45947900,54.290176
"4",60.189999,72.120003,60.189999,70.059998,28853100,64.292928
"5",70.559998,78.709999,67.519997,76.550003,36308900,70.248701
"6",77.309998,82.300003,76.269997,80.230003,24766800,73.888113
"7",81.800003,87.360001,81.800003,86.300003,19653600,79.478301
"8",86.760002,93.150002,85.230003,89.410004,33967000,82.342468
"9",90.370003,93.599998,85.93,89.18,20757500,82.418227
"10",89.639999,95,82.800003,94.68,41948300,87.501208
"11",95.529999,99.400002,91.099998,94.32,28972100,87.168503
"12",94.790001,95.25,83.830002,88.849998,42114000,82.455577
"13",88.269997,90.589996,83.650002,89.739998,43180500,83.281524
"14",89.75,92.010002,77.239998,79.019997,31946000,73.333028
"15",80.5,80.639999,62.029999,73.43,80030800,68.518981
"16",73.349998,74.169998,60.360001,63.130001,48709900,58.907849
"17",62.669998,85.199997,59.259998,81.550003,52522100,76.095916
"18",78.480003,85.839996,74.959999,82.779999,39317100,77.5897
"19",82.779999,84.620003,73.620003,76.25,28964200,71.469132
"20",78.309998,86.599998,76.919998,80.68,35884600,75.621371
"21",82.260002,91.470001,81.32,89.809998,29973200,84.554716
"22",90.07,91,83.699997,84.550003,24696300,79.602513
"23",84.519997,89.449997,80.440002,87.690002,29608600,82.558774
"24",87.330002,88.720001,80.010002,81.739998,38893700,77.331225
"25",80.139999,82.970001,71.900002,76.879997,39976100,72.733356
"26",77.199997,81.75,70.419998,80.32,35696000,75.987817
"27",80.980003,84,76.160004,79.980003,29449500,76.047509
"28",79.690002,87.709999,78.959999,83.580002,24210600,79.470501
"29",83.769997,85.419998,75.800003,78.660004,34993600,74.792412
"30",78.730003,83.599998,77.339996,82.150002,31789000,78.511083
"31",82.75,87.040001,80.150002,85.059998,22470900,81.292178
"32",87.449997,94.809998,86.510002,92.970001,29837000,88.8518
"33",93.919998,97.5,90.830002,94.480003,22597000,90.710087
"34",93.82,98.150002,88.690002,91.580002,22260900,87.925801
"35",91.389999,91.599998,84.5,88.57,28167800,85.035903
"36",88.040001,101.879997,87.059998,99.760002,23652900,96.244401
"37",99.959999,100.269997,92.080002,95.400002,24261600,92.038049
"38",96.360001,104.379997,94.809998,103.279999,18192200,99.640351
"39",104.470001,107.260002,99.75,99.949997,20845200,96.847965
"40",101.989998,110.209999,100.32,108.720001,18323700,105.345785
"41",109.269997,117.940002,103.360001,116.720001,26259600,113.097498
"42",116.510002,120.120003,114.269997,117.839996,15965000,114.627642
"43",117.82,129.770004,114.32,128.639999,19340100,125.133234
"44",128.100006,129.399994,111.940002,113.370003,27714100,110.279502
"45",113.209999,121.57,108.660004,120.550003,26554000,117.765705
"46",119,125.349998,116.110001,119.709999,21208800,116.945103
"47",120.589996,127.099998,118.459999,126.879997,23011900,123.949498
"48",126.419998,127.279999,121.010002,125.230003,15978300,122.815335
"49",125.580002,130.440002,123.900002,125.730003,16552300,123.305695
"50",126.089996,127.599998,114.889999,114.949997,18769300,112.733547
"51",114.510002,118.769997,105.910004,115.5,30479000,113.739489
"52",115.650002,119.330002,112.330002,114.150002,25240600,112.410068
"53",113.68,127.589996,99.82,127.029999,37577800,125.093742
"54",127.419998,133.410004,125.339996,129.029999,21934500,127.692825
"55",129.190002,132.080002,120.540001,128.949997,24689300,127.613652
"56",129.240005,129.539993,116.050003,116.459999,34452000,115.253091
"57",117.449997,124.730003,116.309998,122.690002,21124100,122.057583
"58",122.690002,125.940002,115.860001,118.779999,29080800,118.167734
"59",118.43,124.980003,116.910004,119.360001,29086000,118.744746
"60",120.089996,125.330002,119.449997,120.43,25385600,120.43
"61",120.709999,122.139999,118.57,120.209999,8896500,120.209999
