"","stock_data$CMA.Open","stock_data$CMA.High","stock_data$CMA.Low","stock_data$CMA.Close","stock_data$CMA.Volume","stock_data$CMA.Adjusted"
"1",37.330002,39.98,36.700001,36.830002,37659200,34.08432
"2",36.790001,40.209999,35.119999,38.360001,62154000,35.500257
"3",39.040001,39.650002,33.110001,34.41,50328800,31.844729
"4",34.689999,38.389999,34.560001,37.150002,49371700,34.427367
"5",37.66,39.610001,34.43,35.779999,82061700,33.157768
"6",36,40.23,35.380001,36.490002,51524500,33.815737
"7",37.09,43.439999,36.779999,42.240002,55075100,39.240111
"8",42.970001,43.529999,37.91,38.200001,92192900,35.487032
"9",38.419998,40.41,37.16,38.900002,55944200,36.137319
"10",38.959999,39.27,36.200001,36.720001,58729300,34.200059
"11",36.990002,39,36.18,37.93,70050600,35.327021
"12",38.02,38.169998,35.07,36.110001,50041500,33.63192
"13",35.900002,35.919998,33.080002,34.57,56530400,32.293204
"14",34.709999,35.790001,31.85,32.029999,60749500,29.920489
"15",32.34,32.439999,22.120001,25.59,114694200,23.904631
"16",25.549999,25.610001,21.48,22.969999,97539700,21.552128
"17",22.639999,27.370001,21.530001,25.549999,109946800,23.972872
"18",24.24,27,22.83,25.219999,74783200,23.663242
"19",25.200001,26.74,24.030001,25.799999,58387100,24.301632
"20",26.389999,30.18,26.25,27.67,82807600,26.06303
"21",28.01,31.43,27.809999,29.690001,61035000,27.965716
"22",29.85,34,28.360001,32.360001,67911800,30.581051
"23",32.240002,32.689999,30.370001,32.02,58858700,30.259742
"24",32.09,32.880001,29.1,30.42,53142400,28.747699
"25",29.68,30.870001,27.879999,30.709999,49820600,29.17125
"26",31,32.110001,29.51,30.209999,42765500,28.696303
"27",30.35,31.59,29.32,30.709999,35500600,29.17125
"28",30.68,33.380001,30.459999,31.049999,42936500,29.634395
"29",31.129999,32.139999,28.870001,29.809999,51391900,28.450928
"30",29.82,30.68,27.719999,29.59,55404900,28.240959
"31",29.73,30.540001,28.610001,30.34,38454600,29.105162
"32",30.98,34.450001,30.73,34.360001,57695400,32.961548
"33",34.549999,35.560001,33.290001,34.380001,45048900,32.980734
"34",34.169998,36.990002,33.790001,35.950001,41391500,34.649012
"35",35.950001,36.450001,33.549999,36.25,44285100,34.938155
"36",36.240002,40.439999,35.720001,39.490002,43021100,38.060904
"37",39.560001,40.279999,37,39.830002,45946300,38.560567
"38",40.040001,43.189999,39.98,42.540001,42309800,41.184195
"39",42.939999,43.490002,40.450001,40.84,22830300,39.538375
"40",41.330002,41.790001,38.560001,39.310001,37337200,38.214898
"41",39.43,43.91,38.639999,43.299999,37896700,42.093742
"42",43.27,46.080002,42.919998,45.349998,26365200,44.086632
"43",45.43,48.689999,44.57,47.540001,26096000,46.387959
"44",47.240002,49.950001,45.73,45.799999,29818000,44.690123
"45",45.75,48.5,43.959999,48.18,26324300,47.012449
"46",47.639999,53.5,47.349998,51.799999,40190400,50.739797
"47",52,52.599998,46.970001,48.240002,36290000,47.252663
"48",48.369999,49.040001,45.34,47.970001,26522300,46.988189
"49",48.060001,51.27,47.459999,50.16,24602700,49.328647
"50",50.240002,52.240002,48.98,50.259998,35221600,49.426988
"51",50.349998,50.98,48.330002,50.34,20141100,49.505664
"52",50.490002,52.720001,49.669998,49.860001,28894500,49.227815
"53",49.93,50.139999,42.73,47.740002,45803500,47.134696
"54",47.57,49.200001,46.52,46.610001,23069900,46.019022
"55",46.220001,48.889999,43.919998,46.84,51793900,46.446825
"56",47.07,47.189999,40.09,41.5,55713400,41.151649
"57",41.919998,47,41.650002,45.779999,33436300,45.395721
"58",45.900002,47.939999,44.360001,45.130001,32238800,44.948582
"59",45.080002,47.73,44.380001,47.41,28808600,47.219416
"60",47.639999,50.150002,47.110001,48.950001,28113300,48.753226
"61",49.060001,52.849998,48.189999,52.240002,14644200,52.030001
