"","stock_data$S.Open","stock_data$S.High","stock_data$S.Low","stock_data$S.Close","stock_data$S.Volume","stock_data$S.Adjusted"
"1",4.74,4.98,4.18,4.24,777964300,4.24
"2",4.24,5.08,4.05,4.57,1365516700,4.57
"3",4.68,4.73,3.82,4.06,991300800,4.06
"4",4.15,4.69,4.08,4.63,747737800,4.63
"5",4.63,4.88,4.12,4.13,1031466700,4.13
"6",4.18,4.25,3.7,3.78,1042946100,3.78
"7",3.84,4.46,3.76,4.23,1023356900,4.23
"8",4.3,4.69,4.18,4.52,1112282100,4.52
"9",4.51,4.62,4.12,4.37,1129195000,4.37
"10",4.37,5.26,4.17,4.64,1845582800,4.64
"11",4.7,5.35,4.54,5.18,988856600,5.18
"12",5.25,6.05,5.03,5.85,1175300900,5.85
"13",5.8,6.45,4.98,5.39,1173548500,5.39
"14",5.42,5.75,4.14,4.23,986372400,4.23
"15",4.31,4.32,2.98,3.76,1960125500,3.76
"16",3.79,3.83,2.95,3.04,1088728800,3.04
"17",3.05,3.39,2.1,2.57,2062275800,2.57
"18",2.53,2.94,2.34,2.7,810894000,2.7
"19",2.68,2.85,2.15,2.34,678174300,2.34
"20",2.39,2.41,2.1,2.12,734115800,2.12
"21",2.14,2.6,2.12,2.47,1051639900,2.47
"22",2.49,3.03,2.36,2.85,1123370200,2.85
"23",2.88,2.9,2.3,2.48,1111057500,2.48
"24",2.5,2.67,2.32,2.57,944473900,2.57
"25",2.53,3.33,2.44,3.26,1166665000,3.26
"26",3.26,4.6,3.15,4.36,1493539200,4.36
"27",4.39,5.49,4,4.85,1397084200,4.85
"28",4.85,5.76,4.8,5.52,1157531000,5.52
"29",5.45,6.04,4.79,5.55,2506602300,5.55
"30",5.52,5.76,5.43,5.73,651999800,5.73
"31",5.75,5.83,5.4,5.67,642544500,5.67
"32",5.71,5.97,5.52,5.63,992759000,5.63
"33",5.64,5.95,5.63,5.8,647560100,5.8
"34",5.8,6.22,5.75,6.21,655309700,6.21
"35",6.24,7.35,6.12,7.05,1644335600,7.05
"36",7.07,7.5,7.05,7.3,954927800,7.3
"37",7.3,7.41,6.83,7.02,1667103400,7.02
"38",7,7.21,5.61,5.96,1678836500,5.96
"39",6.05,7.26,6,6.71,434640100,6.71
"40",6.78,6.87,6.02,6.22,363970600,6.22
"41",6.25,7,5.92,6.73,390030300,6.73
"42",6.73,8.75,6.73,8.39,391683800,8.39
"43",8.3,11.47,7.81,10.75,472127000,10.75
"44",10.47,10.69,8.16,8.27,400506800,8.27
"45",8.19,8.77,7.42,8.74,400228700,8.74
"46",8.53,9.46,8.4,9.19,338896000,9.19
"47",9.24,9.6,7.38,8.5,358598700,8.5
"48",8.97,9.76,8.39,9.55,300004300,9.55
"49",9.52,9.75,8.19,8.53,278599000,8.53
"50",8.55,8.68,7.07,7.35,320559100,7.35
"51",7.38,7.6,5.36,5.61,658050000,5.61
"52",5.65,7.15,5.5,6.34,611743500,6.34
"53",6.39,6.45,5.71,5.93,477741300,5.93
"54",5.92,6.25,4.64,5.12,571677000,5.12
"55",5.09,5.09,3.79,4.15,494289200,4.15
"56",4.18,4.55,4.01,4.3,305456400,4.3
"57",4.32,5.28,4.21,5.12,394650700,5.12
"58",5.14,5.45,4.65,4.74,276445700,4.74
"59",4.75,5.39,4.65,5.13,240071600,5.13
"60",5.15,5.29,4.54,4.65,350695300,4.65
"61",4.65,4.8,4.41,4.54,106580900,4.54
