"","stock_data$MU.Open","stock_data$MU.High","stock_data$MU.Low","stock_data$MU.Close","stock_data$MU.Volume","stock_data$MU.Adjusted"
"1",8.72,10.29,8.45,8.49,548852000,8.49
"2",8.51,9,7.26,7.28,728580600,7.28
"3",7.39,7.8,6.36,6.46,616705300,6.46
"4",6.64,7.55,6.5,7.21,730259300,7.21
"5",7.28,8.27,6.76,8.26,747644500,8.26
"6",8.29,8.78,7.09,7.27,692805100,7.27
"7",7.45,8.38,7.32,8.02,598090500,8.02
"8",8.14,10.77,8.14,10.54,926674800,10.54
"9",10.67,11.95,10.27,11.13,788998000,11.13
"10",11.2,11.89,9.65,11.47,1003912500,11.47
"11",11.53,11.83,10.26,11.32,628360300,11.32
"12",11.37,11.41,9.43,10.2,705617100,10.2
"13",10.03,10.03,7.2,7.48,989750200,7.48
"14",7.46,8.2,7.13,7.37,650485200,7.37
"15",7.57,7.59,5.18,5.91,958586500,5.91
"16",5.94,7.42,5.01,5.04,949829500,5.04
"17",4.96,5.9,3.97,5.59,740388000,5.59
"18",5.39,7,5.06,5.99,740194300,5.99
"19",5.96,6.55,5.31,6.29,543903200,6.29
"20",6.64,8.06,6.59,7.6,676873200,7.6
"21",7.74,9.16,7.6,8.55,615388000,8.55
"22",8.59,8.98,7.78,8.1,718809100,8.1
"23",8.17,8.25,6.4,6.59,712448200,6.59
"24",6.57,6.97,5.59,5.84,673277100,5.84
"25",5.7,6.32,5.3,6.31,577002400,6.31
"26",6.73,6.93,5.56,6.21,679890700,6.21
"27",6.31,6.98,6.07,6.21,503246400,6.21
"28",6.21,6.8,5.87,5.98,591177700,5.98
"29",6.07,6.1,5.16,5.43,474903000,5.43
"30",5.52,6.09,5.33,5.97,529045700,5.97
"31",6.02,6.9,5.9,6.34,476319100,6.34
"32",6.6,8.08,6.45,7.56,546271700,7.56
"33",7.65,8.5,7.63,8.38,568930700,8.38
"34",8.32,10.27,8.2,9.98,711683500,9.98
"35",9.97,10.22,9.04,9.42,656337500,9.42
"36",9.42,11.99,9.07,11.68,662546000,11.68
"37",11.74,14.53,11.41,14.33,920360200,14.33
"38",14.47,14.6,12.31,13.24,998110800,13.24
"39",13.38,15.07,13.05,13.57,771687100,13.57
"40",13.78,17.950001,13.7,17.469999,924467300,17.469999
"41",17.540001,18.85,16.17,17.68,1196947600,17.68
"42",17.75,21.309999,17.389999,21.1,809010000,21.1
"43",21.1,23.67,20.809999,21.75,808447200,21.75
"44",21.68,24.5,20.639999,23.040001,762444500,23.040001
"45",23,25.68,22.65,24.190001,618266700,24.190001
"46",23.860001,25.15,21.700001,23.66,570749200,23.66
"47",23.84,26.620001,21.02,26.120001,786200400,26.120001
"48",26.209999,29.030001,25.25,28.59,490841500,28.59
"49",28.610001,33.049999,28.049999,32.950001,612459600,32.950001
"50",33.240002,34.849998,29.85,30.549999,595720600,30.549999
"51",30.879999,33.700001,29.379999,32.599998,418369900,32.599998
"52",32.43,34.849998,29.73,34.259998,523526600,34.259998
"53",34.25,34.400002,26.32,33.09,774214800,33.09
"54",33.189999,36.220001,31.690001,35.950001,326366200,35.950001
"55",35.98,36.59,32.369999,35.009998,359103200,35.009998
"56",35.240002,35.52,28.51,29.27,610506500,29.27
"57",29.25,32.84,28.09,30.67,434318600,30.67
"58",31.08,31.5,25.610001,27.129999,544654100,27.129999
"59",27.129999,29.780001,26.4,28.129999,436295800,28.129999
"60",28.309999,29.25,26.01,27.93,428860500,27.93
"61",27.959999,28.530001,24.940001,25.190001,192064300,25.190001
